
					Giô-ên 1				|
Hỡi các thầy tế lễ, hãy nịt lưng và than khóc. Hỡi các ngươi là kẻ làm việc ở bàn thờ, hãy thở than. Hỡi kẻ chức dịch của Đức Chúa Trời ta, hãy đến mặc áo bao gai mà nằm cả đêm! Vì của lễ chay và lễ quán không được vào trong nhà Đức Chúa Trời các ngươi!|祭 司 阿 、 你 們 當 腰 束 麻 布 痛 哭 ． 伺 候 祭 壇 的 阿 、 你 們 要 哀 號 ． 事 奉 我 　 神 的 阿 、 你 們 要 來 披 上 麻 布 過 夜 ． 因 為 素 祭 、 和 奠 祭 、 從 你 們 　 神 的 殿 中 斷 絕 了 。
Khá định sự kiêng ăn, gọi một hội đồng trọng thể, nhóm các trưởng lão và hết thảy dân cư trong đất lại nơi nhà Giê-hô-va Đức Chúa Trời các ngươi; và hãy kêu cùng Đức Giê-hô-va!|你 們 要 分 定 禁 食 的 日 子 、 宣 告 嚴 肅 會 、 招 聚 長 老 、 和 國 中 的 一 切 居 民 、 到 耶 和 華 你 們 　 神 的 殿 、 向 耶 和 華 哀 求 。
Oi ngày ấy! vì ngày Đức Giê-hô-va đã gần! Nó đến như một tai vạ thả ra bởi Đấng Toàn năng.|哀 哉 、 耶 和 華 的 日 子 臨 近 了 ． 這 日 來 到 、 好 像 毀 滅 從 全 能 者 來 到 。
Lương thực há chẳng phải đã dứt khỏi trước mặt chúng ta, và sự vui mừng hớn hở há chẳng phải đã dứt khỏi nhà Đức Chúa Trời chúng ta hay sao?|糧 食 不 是 在 我 們 眼 前 斷 絕 了 麼 ． 歡 喜 快 樂 不 是 從 我 們 　 神 的 殿 中 止 息 了 麼 。
Hột giống đã teo đi dưới những cục đất nó; kho đụn đã hủy phá, huân lẫm đổ nát, vì lúa mì khô héo.|穀 種 在 土 塊 下 朽 爛 ． 倉 也 荒 涼 、 廩 也 破 壞 ． 因 為 五 穀 枯 乾 了 。
Kìa, súc vật rên siếc! Kìa, bầy bò bối rối! Ay là tại chúng nó không có đồng cỏ nữa! Những bầy chiên cũng khốn khổ.|牲 畜 哀 鳴 、 牛 群 混 亂 、 因 為 無 草 ． 羊 群 也 受 了 困 苦 。
Hỡi Đức Giê-hô-va, tôi kêu cầu Ngài; vì lửa đã nuốt những đám cỏ nơi đồng vắng, ngọn lửa đã thiêu hết thảy cây cối ngoài đồng!|耶 和 華 阿 、 我 向 你 求 告 ． 因 為 火 燒 滅 曠 野 的 草 場 、 火 焰 燒 盡 田 野 的 樹 木 ．
Thật, những thú đồng cũng thở giốc cho Ngài, vì các dòng nước đã khô, lửa đã nuốt những đám cỏ nơi đồng vắng.|田 野 的 走 獸 向 你 發 喘 ． 因 為 溪 水 乾 涸 、 火 也 燒 滅 曠 野 的 草 場 。

					Giô-ên 2				|
						約珥書 2					
Hãy thổi kèn trong Si-ôn; hãy thổi vang ra trên núi thánh ta! Hết thảy dân cư trong đất khá đều run rẩy! Vì ngày Đức Giê-hô-va đến, ngày ấy đã gần:|你 們 要 在 錫 安 吹 角 、 在 我 聖 山 吹 出 大 聲 ． 國 中 的 居 民 、 都 要 發 顫 ． 因 為 耶 和 華 的 日 子 將 到 、 已 經 臨 近 。
tức là ngày mờ mịt và tối tăm, ngày của mây và sương mù. Có một dân lớn và mạnh đến như ánh sáng sớm mai giãi ra trên núi, đến nỗi từ trước chưa hề có, mà về sau nầy, về muôn đời sau nầy cũng sẽ không có như vậy nữa.|那 日 是 黑 暗 、 幽 冥 、 密 雲 、 烏 黑 的 日 子 、 好 像 晨 光 鋪 滿 山 嶺 ． 有 一 隊 蝗 蟲 〔 原 文 是 民 〕 又 大 又 強 ． 從 來 沒 有 這 樣 的 、 以 後 直 到 萬 代 也 必 沒 有 。
Trước mặt nó, có lửa thiêu nuốt, sau lưng nó, có ngọn lửa cháy tiêu. Lúc trước nó, đất nầy như vườn Ê-đen; khi sau nó, ấy là một đồng vắng hoang vu, và không có chi trốn khỏi nó hết.|牠 們 前 面 如 火 燒 滅 、 後 面 如 火 焰 燒 盡 ． 未 到 以 前 、 地 如 伊 甸 園 ． 過 去 以 後 、 成 了 荒 涼 的 曠 野 ． 沒 有 一 樣 能 躲 避 牠 們 的 。
Hình trạng chúng nó như hình trạng ngựa, và chúng nó chạy tới như người cỡi ngựa.|牠 們 的 形 狀 如 馬 、 奔 跑 如 馬 兵 。
Khi chúng nó nhảy lên trên chót núi, thì nghe như tiếng xe cộ, hay là như tiếng ngọn lửa cháy rơm: ấy là như một dân mạnh sắp hành nơi chiến trận.|在 山 頂 ? 跳 的 響 聲 、 如 車 輛 的 響 聲 、 又 如 火 焰 燒 碎 衪 的 響 聲 、 好 像 強 盛 的 民 擺 陣 豫 備 打 仗 。
Khi thấy chúng nó, các dân đều rầu rĩ, hết thảy đều sự tái mặt.|他 們 一 來 、 眾 民 傷 慟 、 臉 都 變 色 。
Chúng nó chạy như những người bạo mạnh; trèo các vách thành như những lính chiến; mỗi người bước đi trước mặt mình, chẳng hề sai hàng ngũ mình.|牠 們 如 勇 士 奔 跑 、 像 戰 士 爬 城 ． 各 都 步 行 、 不 亂 隊 伍 ．
Chúng nó chẳng hề đụng chạm nhau, ai đi đường nấy; xông qua những khí giới mà chẳng bỏ đường mình.|彼 此 並 不 擁 擠 、 向 前 各 行 其 路 ． 直 闖 兵 器 、 不 偏 左 右 。
Chúng nó nhảy trên thành phố, chạy trên tường, trèo lên các nhà, vào bởi các cửa sổ như là kẻ trộm.|他 們 ? 上 城 、 躥 上 牆 、 爬 上 房 屋 、 進 入 窗 戶 如 同 盜 賊 。
Đất run rẩy, trước mặt chúng nó, các từng trời rung rinh mặt trời mặt trăng đều tối tăm, các ngôi sao thâu sự sáng lại.|他 們 一 來 、 地 震 天 動 、 日 月 昏 暗 、 星 宿 無 光 。
Đức Giê-hô-va làm cho vang tiếng ra trước mặt cơ binh Ngài; vì trại quân Ngài rất lớn; và những kẻ làm theo mạng lịnh Ngài rất mạnh. Thật, ngày của Đức Giê-hô-va là lớn và đáng khiếp; ai có thể đương lại?|耶 和 華 在 他 軍 旅 前 發 聲 ． 他 的 隊 伍 甚 大 ． 成 就 他 命 的 、 是 強 盛 者 ． 因 為 耶 和 華 的 日 子 大 而 可 畏 ． 誰 能 當 得 起 呢 。
Đức Giê-hô-va phán: Bây giờ cũng hãy hết lòng trở về cùng ta, kiêng ăn, khóc lóc và buồn rầu.|耶 和 華 說 、 雖 然 如 此 、 你 們 應 當 禁 食 、 哭 泣 、 悲 哀 、 一 心 歸 向 我 。
Hãy xé lòng các ngươi, và đừng xé áo các ngươi. Khá trở lại cùng Giê-hô-va Đức Chúa Trời các ngươi; vì Ngài là nhơn từ và hay thương xót, chậm giận và giàu ơn, đổi ý về sự tai vạ.|你 們 要 撕 裂 心 腸 、 不 撕 裂 衣 服 ． 歸 向 耶 和 華 你 們 的 　 神 ． 因 為 他 有 恩 典 、 有 憐 憫 、 不 輕 易 發 怒 、 有 豐 盛 的 慈 愛 、 並 且 後 悔 不 降 所 說 的 災 。
Ai biết được Ngài sẽ chẳng xây lòng đổi ý, chẳng để lại phước lành sau mình, tức là của lễ chay, lễ quán cho Giê-hô-va Đức Chúa Trời các ngươi, hay sao?|或 者 他 轉 意 後 悔 、 留 下 餘 福 、 就 是 留 下 獻 給 耶 和 華 你 們 　 神 的 素 祭 、 和 奠 祭 、 也 未 可 知 。
Hãy thổi kèn trong Si-ôn; hãy định sự kiêng ăn, gọi một hội đồng trọng thể!|你 們 要 在 錫 安 吹 角 、 分 定 禁 食 的 日 子 、 宣 告 嚴 肅 會 ．
Hãy nhóm dân sự, biệt riêng hội chúng nên thánh; hãy mời các trưởng lão đến đó! Hãy họp lại các con trẻ và những đứa đương bú vú! Người chồng mới khá ra khỏi buồng mình, và người vợ mới khá ra khỏi chốn động phòng!|聚 集 眾 民 、 使 會 眾 自 潔 、 招 聚 老 者 、 聚 集 孩 童 、 和 喫 奶 的 ． 使 新 郎 出 離 洞 房 、 新 婦 出 離 內 室 。
Các thầy tế lễ, là những kẻ hầu việc Đức Giê-hô-va, khá khóc lóc giữa hiên cửa và bàn thờ, và nói rằng: Hãy Đức Giê-hô-va, xin hãy tiếc dân Ngài, và chớ để cơ nghiệp Ngài bị sỉ nhục, và bị các nước cai trị! Làm sao để người ta nói giữa các dân tộc rằng: Nào Đức Chúa Trời chúng nó ở đâu!|事 奉 耶 和 華 的 祭 司 、 要 在 廊 子 和 祭 壇 中 間 哭 泣 、 說 、 耶 和 華 阿 、 求 你 顧 惜 你 的 百 姓 、 不 要 使 你 的 產 業 受 羞 辱 、 列 邦 管 轄 他 們 ． 為 何 容 列 國 的 人 說 、 他 們 的 　 神 在 哪 裡 呢 。
Đức Giê-hô-va đã vì đất mình động lòng ghen; Ngài đã động lòng thương xót dân mình.|耶 和 華 就 為 自 己 的 地 發 熱 心 、 憐 恤 他 的 百 姓 ．
Đức Giê-hô-va đã trả lời, và đã phán cùng dân mình rằng: Nầy, ta sẽ ban cho các ngươi lúa mì, rượu mới, và dầu, các ngươi sẽ no nê về các thứ đó. Ta sẽ chẳng làm các ngươi nên cớ sỉ nhục giữa các dân nữa.|耶 和 華 應 允 他 的 百 姓 、 說 、 我 必 賜 給 你 們 五 穀 、 新 酒 、 和 油 、 使 你 們 飽 足 ． 我 也 不 再 使 你 們 受 列 國 的 羞 辱 ．
Ta sẽ khiến đạo binh đến từ phương bắc lánh xa các ngươi, và đuổi nó vào đất khô khan và hoang vu, quân tiên phong nó vào biển đông. Quân hậu tập nó và biển tây. Mùi hôi nó bay lên, mùi tanh nó dậy lên, vì nó đã làm những việc lớn.|卻 要 使 北 方 來 的 軍 隊 遠 離 你 們 、 將 他 們 趕 到 乾 旱 荒 廢 之 地 、 前 隊 趕 入 東 海 、 後 隊 趕 入 西 海 ． 因 為 他 們 所 行 的 大 惡 、 〔 原 文 是 事 〕 臭 氣 上 升 、 腥 味 騰 空 。
Hỡi đất, chớ sợ chi; hãy nức lòng vui vẻ và mừng rỡ; vì Đức Giê-hô-va đã làm những việc lớn.|地 土 阿 、 不 要 懼 怕 、 要 歡 喜 快 樂 ． 因 為 耶 和 華 行 了 大 事 。
Hỡi các loài thú đồng, đừng sợ; vì những đám cỏ nơi đồng vắng nứt đọt, cây ra trái, cây vả và cây nho đều ra sức nó.|田 野 的 走 獸 阿 、 不 要 懼 怕 ． 因 為 曠 野 的 草 發 生 、 樹 木 結 果 、 無 花 果 樹 、 葡 萄 樹 也 都 效 力 。
Hỡi con cái Si-ôn, các ngươi hãy nức lòng vui vẻ và mừng rỡ trong Giê-hô-va Đức Chúa Trời các ngươi! Vì Ngài ban mưa phải thời cho các ngươi về mùa đầu, và xuống mưa dồi dào về mùa đầu và mùa cuối cho các ngươi nơi tháng đầu tiên.|錫 安 的 民 哪 、 你 們 要 快 樂 、 為 耶 和 華 你 們 的 　 神 歡 喜 ． 因 他 賜 給 你 們 合 宜 的 秋 雨 、 為 你 們 降 下 甘 霖 、 就 是 秋 雨 、 春 雨 、 和 先 前 一 樣 。
Những sân sẽ đầy lúa mì, những thùng tràn rượu mới và dầu.|禾 場 必 滿 了 麥 子 ． 酒 醡 與 油 醡 必 有 新 酒 和 油 盈 溢 。
Ta sẽ đền bù cho các ngươi về mấy năm đã bị cắn phá bởi cào cào, sâu lột vỏ, sâu keo, và châu chấu, là đạo binh lớn mà ta đã sai đến giữa các ngươi.|我 打 發 到 你 們 中 間 的 大 軍 隊 、 就 是 蝗 蟲 、 蝻 子 、 螞 蚱 、 剪 蟲 、 那 些 年 所 喫 的 、 我 要 補 還 你 們 。
Các ngươi sẽ đủ ăn và được no nê. Các ngươi sẽ ngợi khen danh Giê-hô-va Đức Chúa Trời mình, là Đấng đã xử với các ngươi cách lạ lùng. Rồi dân ta sẽ không hề bị xấu hổ nữa.|你 們 必 多 喫 而 得 飽 足 、 就 讚 美 為 你 們 行 奇 妙 事 之 耶 和 華 你 們 　 神 的 名 ． 我 的 百 姓 、 必 永 遠 不 至 羞 愧 。
Chúng nó sẽ biết rằng ta ở giữa Y-sơ-ra-ên, biết rằng ta là Giê-hô-va Đức Chúa Trời các ngươi, và chẳng có ai khác; dân ta sẽ không hề bị xấu hổ nữa.|你 們 必 知 道 我 是 在 以 色 列 中 間 、 又 知 道 我 是 耶 和 華 你 們 的 　 神 、 在 我 以 外 並 無 別 神 、 我 的 百 姓 必 永 遠 不 至 羞 愧 。
Sau đó, ta sẽ đổ Thần ta trên các loài xác thịt; con trai và con gái các ngươi sẽ nói tiên tri; những người già cả các ngươi sẽ thấy chiêm bao, những kẻ trai trẻ các ngươi sẽ xem sự hiện thấy.|以 後 、 我 要 將 我 的 靈 澆 灌 凡 有 血 氣 的 ． 你 們 的 兒 女 要 說 豫 言 ． 你 們 的 老 年 人 要 作 異 夢 ． 少 年 人 要 見 異 象 ．
Trong những ngày đó, dầu những đầy tớ trai và đầy tớ gái, ta cũng đổ Thần ta lên.|在 那 些 日 子 、 我 要 將 我 的 靈 澆 灌 我 的 僕 人 和 使 女 。
Ta sẽ tỏ những sự lạ ra trong các từng trời và trên đất: tức là máu lửa, và những trụ khói.|在 天 上 地 下 、 我 要 顯 出 奇 事 、 有 血 、 有 火 、 有 煙 柱 。
Mặt trời sẽ đổi ra tối tăm, mặt trăng ra máu, trước khi ngày lớn và kinh khiếp của Đức Giê-hô-va chưa đến.|日 頭 要 變 為 黑 暗 、 月 亮 要 變 為 血 、 這 都 在 耶 和 華 大 而 可 畏 的 日 子 未 到 以 前 。
Bấy giờ ai cầu khẩn danh Đức Giê-hô-va thì sẽ được cứu; vì theo lời Đức Giê-hô-va, thì ở trên núi Si-ôn và trong Giê-ru-sa-lem, sẽ có những người còn sống sót, sẽ có kẻ mà Đức Giê-hô-va kêu gọi.|到 那 時 候 、 凡 求 告 耶 和 華 名 的 就 必 得 救 ． 因 為 照 耶 和 華 所 說 的 、 在 錫 安 山 耶 路 撒 冷 必 有 逃 脫 的 人 、 在 剩 下 的 人 中 必 有 耶 和 華 所 召 的 。

					Giô-ên 3				|
						約珥書 3					
Vì nầy, trong những ngày đó, và trong kỳ đó, khi ta sẽ đem phu tù của Giu-đa và Giê-ru-sa-lem trở về,|到 那 日 、 我 使 猶 大 和 耶 路 撒 冷 被 擄 之 人 歸 回 的 時 候 、
thì ta sẽ nhóm hết thảy các nước lại, và đem chúng nó xuống trong trũng Giô-sa-phát. Tại đó, ta sẽ phán xét chúng nó vì cớ dân ta, và Y-sơ-ra-ên là sản nghiệp ta, mà chúng nó đã làm cho tan tác giữa các dân tộc; và chúng nó đã chia đất ta ra,|我 要 聚 集 萬 民 、 帶 他 們 下 到 約 沙 法 谷 ． 在 那 裡 施 行 審 判 、 因 為 他 們 將 我 的 百 姓 、 就 是 我 的 產 業 以 色 列 、 分 散 在 列 國 中 ． 又 分 取 我 的 地 土 ．
và bắt thăm về dân ta; đã đổi con trai mà lấy đĩ, và bán con gái đặng lấy rượu để uống.|且 為 我 的 百 姓 拈 鬮 、 將 童 子 換 妓 女 、 賣 童 女 買 酒 喝 。
Hỡi Ty-rơ và Si-đôn, và hết thảy địa hạt của Phi-li-tin, các ngươi có quan hệ gì cùng ta? Các ngươi muốn báo trả ta, ta sẽ khiến sự báo trả đổ trên đầu các ngươi cách mau kíp và thình lình.|推 羅 西 頓 、 和 非 利 士 四 境 的 人 哪 、 你 們 與 我 何 干 ． 你 們 要 報 復 我 麼 ． 若 報 復 我 、 我 必 使 報 應 速 速 歸 到 你 們 的 頭 上 。
Vì các ngươi đã lấy bạc vàng ta đi, đã đem đồ châu báu rất quí của ta vào trong những đền miếu các ngươi.|你 們 既 然 奪 取 我 的 金 銀 、 又 將 我 可 愛 的 寶 物 帶 入 你 們 宮 殿 、 〔 或 作 廟 中 〕
Các ngươi đã bán con cái của Giu-đa và con cái của Giê-ru-sa-lem cho các con trai Gờ-réc, đặng làm cho chúng nó lìa khỏi bờ cõi mình.|並 將 猶 大 人 、 和 耶 路 撒 冷 人 、 賣 給 希 臘 人 〔 原 文 是 雅 完 人 〕 使 他 們 遠 離 自 己 的 境 界 ．
nầy, ta sẽ giục chúng nó dấy lên từ nơi mà các ngươi đã bán chúng nó cho, và sẽ khiến sự báo trả các ngươi về trên đầu các ngươi.|我 必 激 動 他 們 離 開 你 們 所 賣 到 之 地 、 又 必 使 報 應 歸 到 你 們 的 頭 上 ．
Ta sẽ bán con trai con gái các ngươi và tay con cái Giu-đa, Giu-đa sẽ bán chúng nó cho người Sa-bê, là dân ở xa cách; vì Đức Giê-hô-va đã phán vậy.|我 必 將 你 們 的 兒 女 賣 在 猶 大 人 的 手 中 、 他 們 必 賣 給 遠 方 示 巴 國 的 人 ． 這 是 耶 和 華 說 的 。
Hãy rao điều nầy ra giữa các nước: Khá sắm sửa sự đánh giặc, giục lòng những người mạnh bạo dấy lên. Hết thảy những lính chiến khá sấn tới, và xông vào trận!|當 在 萬 民 中 宣 告 說 、 要 豫 備 打 仗 ． 激 動 勇 士 ． 使 一 切 戰 士 上 前 來 。
Hãy lấy lưỡi cày rèn gươm, lấy liềm rèn giáo. Kẻ yếu khá nói rằng: Ta là mạnh!|要 將 犁 頭 打 成 刀 劍 、 將 鐮 刀 打 成 戈 矛 ． 軟 弱 的 要 說 、 我 有 勇 力 。
Các ngươi hết thảy, là những nước xung quanh, hãy vội vàng đến, và hãy nhóm lại. Hỡi Đức Giê-hô-va, xin khiến những người mạnh mẽ của Ngài xuống đó!|四 圍 的 列 國 阿 、 你 們 要 速 速 地 來 、 一 同 聚 集 ． 耶 和 華 阿 、 求 你 使 你 的 大 能 者 降 臨 。
Các nước khá dấy lên, khá lên trong trũng Giô-sa-phát, vì ở đó là nơi ta sẽ ngồi đặng phán xét hết thảy các dân tộc xung quanh.|萬 民 都 當 興 起 、 上 到 約 沙 法 谷 ． 因 為 我 必 坐 在 那 裡 、 審 判 四 圍 的 列 國 。
Hãy tra lưỡi lái, vì mùa gặt đã chín. Hãy đến, hãy đạp, vì bàn ép đã đầy; các thùng đã tràn, vi tội ác chúng nó là lớn.|開 鐮 罷 ． 因 為 莊 稼 熟 了 ． 踐 踏 罷 。 因 為 酒 醡 滿 了 、 酒 池 盈 溢 ． 他 們 的 罪 惡 甚 大 。
Đoàn đông dường nào, đoàn đông dường nào tại trong trũng đoán định! Vì trong trũng đoán định, ngày Đức Giê-hô-va đã gần.|許 多 許 多 的 人 在 斷 定 谷 ． 因 為 耶 和 華 的 日 子 臨 近 斷 定 谷 。
Mặt trời và mặt trăng tối tăm, các ngôi sao thâu sự sáng lại.|日 月 昏 暗 、 星 宿 無 光 。
Đức Giê-hô-va gầm thét từ Si-ôn; Ngài là cho vang tiếng mình ra từ Giê-ru-sa-lem; các từng trời và đất đầu rúng động. Nhưng Đức Giê-hô-va và nơi ẩn náu cho dân mình, là đồn lũy cho con cái Y-sơ-ra-ên.|耶 和 華 必 從 錫 安 吼 叫 、 從 耶 路 撒 冷 發 聲 ． 天 地 就 震 動 ． 耶 和 華 卻 要 作 他 百 姓 的 避 難 所 、 作 以 色 列 人 的 保 障 。
Như vậy các ngươi sẽ biết ta là Giê-hô-va Đức Chúa Trời các ngươi, ở tại Si-ôn, là núi thánh ta. Bấy giờ Giê-ru-sa-lem sẽ là thánh, và những người ngoại sẽ không đi qua trong đó nữa.|你 們 就 知 道 我 是 耶 和 華 你 們 的 　 神 、 且 又 住 在 錫 安 我 的 聖 山 ． 那 時 、 耶 路 撒 冷 必 成 為 聖 、 外 邦 人 不 再 從 其 中 經 過 。
Trong ngày đó, các núi nhỏ rượu ngọt ra; sữa chảy ra từ các đồi, hết thảy các khe Giu-đa sẽ có nước chảy. Một cái suối sẽ ra từ nhà Đức Giê-hô-va và tưới trũng Si-tim.|到 那 日 、 大 山 要 滴 甜 酒 、 小 山 要 流 奶 子 、 猶 大 溪 河 、 都 有 水 流 ． 必 有 泉 源 從 耶 和 華 的 殿 中 流 出 來 、 滋 潤 什 亭 谷 。
Ê-díp-tô sẽ trở nên hoang vu Ê-đôm thành ta đồng vắng hoang vu, vì cớ chúng nó lấy sự bạo ngược đãi con cái Giu-đa, và làm đổ máu vô tội ra trong đất mình.|埃 及 必 然 荒 涼 、 以 東 變 為 悽 涼 的 曠 野 、 都 因 向 猶 大 人 所 行 的 強 暴 、 又 因 在 本 地 流 無 辜 人 的 血 。
Nhưng Giu-đa sẽ còn đời đời, Giê-ru-sa-lem sẽ còn đời nầy qua đời khác.|但 猶 大 必 存 到 永 遠 ． 耶 路 撒 冷 必 存 到 萬 代 。
Ta sẽ làm sạch máu chúng nó mà ta chưa từng làm sạch; vì Đức Giê-hô-va ngự trong Si-ôn.|我 未 曾 報 復 〔 或 作 洗 除 下 同 〕 流 血 的 罪 、 現 在 我 要 報 復 、 因 為 耶 和 華 住 在 錫 安 。
