
					Phục Truyền Luật Lệ 1				|
Nhưng ta nói cùng các ngươi rằng: Chớ ái ngại và chớ sợ sệt gì.|我 就 對 你 們 說 、 不 要 驚 恐 、 也 不 要 怕 他 們 。
Giê-hô-va Đức Chúa Trời các ngươi đi trước, chính Ngài sẽ chiến-cự cho các ngươi, như Ngài đã thường làm trước mắt các ngươi tại xứ Ê-díp-tô,|在 你 們 前 面 行 的 耶 和 華 你 們 的 　 神 、 必 為 你 們 爭 戰 、 正 如 他 在 埃 及 和 曠 野 、 在 你 們 眼 前 所 行 的 一 樣 ．
và trong đồng vắng-là nơi ngươi thấy rằng trọn dọc đường ngươi đi, cho đến khi tới chốn nầy, Giê-hô-va Đức Chúa Trời ngươi đã bồng ngươi như một người bồng con trai mình.|你 們 在 曠 野 所 行 的 路 上 、 也 曾 見 耶 和 華 你 們 的 　 神 、 撫 養 你 們 、 如 同 人 撫 養 兒 子 一 般 、 直 等 你 們 來 到 這 地 方 。
Dầu vậy, các ngươi vẫn không tin Giê-hô-va Đức Chúa Trời các ngươi,|你 們 在 這 事 上 卻 不 信 耶 和 華 你 們 的 　 神 。
là Đấng đi trước dẫn các ngươi trên đường, để tìm cho các ngươi một nơi đóng trại; ban đêm trong đám lửa, ban ngày trong đám mây, đặng chỉ con đường các ngươi phải đi.|他 在 路 上 、 在 你 們 前 面 行 、 為 你 們 找 安 營 的 地 方 、 夜 間 在 火 柱 裡 、 日 間 在 雲 柱 裡 、 指 示 你 們 所 當 行 的 路 。
Bấy giờ, Đức Giê-hô-va nghe tiếng của lời nói các ngươi, bèn nổi giận và thề rằng:|耶 和 華 聽 見 你 們 這 話 、 就 發 怒 起 誓 說 、
Chẳng một ai của dòng dõi gian ác nầy sẽ thấy xứ tốt đẹp mà ta đã thề ban cho tổ phụ các ngươi,|這 惡 世 代 的 人 、 連 一 個 也 不 得 見 我 起 誓 應 許 賜 給 你 們 列 祖 的 美 地 ．
ngoại trừ Ca-lép, con trai của Giê-phu-nê. Người sẽ thấy xứ đó; và ta sẽ ban cho người cùng con cháu người xứ mà người đã trải qua, bởi vì người có theo Đức Giê-hô-va cách trung tín trọn vẹn.|惟 有 耶 孚 尼 的 兒 子 迦 勒 、 必 得 看 見 、 並 且 我 要 將 他 所 踏 過 的 地 賜 給 他 、 和 他 的 子 孫 、 因 為 他 專 心 跟 從 我 。
Lại, Đức Giê-hô-va vì cớ các ngươi cũng nổi giận cùng ta, mà rằng: Ngươi cũng vậy, sẽ không vào đó đâu.|耶 和 華 為 你 的 緣 故 、 也 向 我 發 怒 、 說 、 你 必 不 得 進 入 那 地 。
Giô-suê, con trai Nun, là đầy tớ ngươi, sẽ được vào đó. Hãy làm cho người vững lòng, vì ấy là người sẽ khiến dân Y-sơ-ra-ên nhận lấy xứ nầy lảm sản nghiệp.|伺 候 你 嫩 的 兒 子 約 書 亞 、 他 必 得 進 入 那 地 、 你 要 勉 勵 他 、 因 為 他 要 使 以 色 列 人 承 受 那 地 為 業 。
Những con trẻ của các ngươi và các ngươi đã nói rằng sẽ thành một miếng mồi, và những con trai các ngươi hiện bây giờ chưa biết điều thiện hay là điều ác, sẽ vào xứ đó. Ta sẽ ban cho chúng nó xứ nầy làm sản nghiệp;|並 且 你 們 的 婦 人 孩 子 、 就 是 你 們 所 說 必 被 擄 掠 的 、 和 今 日 不 知 善 惡 的 兒 女 、 必 進 入 那 地 、 我 要 將 那 地 賜 給 他 們 、 他 們 必 得 為 業 。
nhưng các ngươi hãy trở về, đi đến đồng vắng về hướng Biển đỏ.|至 於 你 們 、 要 轉 回 、 從 紅 海 的 路 往 曠 野 去 。
Lúc đó, các ngươi bèn đáp cùng ta mà rằng: Chúng tôi đã phạm tội cùng Đức Giê-hô-va; chúng tôi sẽ đi lên chiến trận và làm mọi điều Giê-hô-va Đức Chúa Trời chúng tôi đã phán dặn. Mỗi người trong các ngươi nịt binh khí và toan dại dột đi lên núi.|那 時 、 你 們 回 答 我 說 、 我 們 得 罪 了 耶 和 華 、 情 願 照 耶 和 華 我 們 　 神 一 切 所 吩 咐 的 、 上 去 爭 戰 、 於 是 你 們 各 人 帶 著 兵 器 、 爭 先 上 山 地 去 了 。
Đức Giê-hô-va bèn phán cùng ta rằng: Hãy nói cùng dân sự: Chớ đi lên và chớ chiến trận, vì ta không ngự giữa các ngươi; e các ngươi bị quân thù nghịch đánh bại.|耶 和 華 吩 咐 我 說 、 你 對 他 們 說 、 不 要 上 去 、 也 不 要 爭 戰 、 因 我 不 在 你 們 中 間 、 恐 怕 你 們 被 仇 敵 殺 敗 了 。
Ta có thuật lại những lời nầy, nhưng các ngươi không nghe ta, nghịch mạng của Đức Giê-hô-va, đầy sự kiêu ngạo, kéo đi lên núi.|我 就 告 訴 了 你 們 、 你 們 卻 不 聽 從 、 竟 違 背 耶 和 華 的 命 令 、 擅 自 上 山 地 去 了 。
Bấy giờ, người A-mô-rít ở trong núi nầy, đi ra đón và đuổi các ngươi như thể đoàn ong, đánh bại các ngươi tại Sê -i-rơ cho đến Họt-ma.|住 那 山 地 的 亞 摩 利 人 、 就 出 來 攻 擊 你 們 、 追 趕 你 們 如 蜂 擁 一 般 、 在 西 珥 殺 退 你 們 、 直 到 何 珥 瑪 。
Khi trở về, các ngươi có khóc lóc trước mặt Đức Giê-hô-va, nhưng Đức Giê-hô-va không lắng tai và chẳng khứng nghe tiếng của các ngươi.|你 們 便 回 來 、 在 耶 和 華 面 前 哭 號 、 耶 和 華 卻 不 聽 你 們 的 聲 音 、 也 不 向 你 們 側 耳 。
Ay vì thế nên các ngươi ở tại Ca-đe lâu ngày, nhiều ngày biết dường bao!|於 是 你 們 在 加 低 斯 住 了 許 多 日 子 。

					Phục Truyền Luật Lệ 2				|
						申命記 2					
Đoạn, chúng ta trở lại đi vào đồng vắng về hướng Biển đỏ, y như Đức Giê-hô-va đã phán dặn ta, và chúng ta đi vòng lâu ngày quanh núi Sê -i-rơ.|此 後 、 我 們 轉 回 、 從 紅 海 的 路 往 曠 野 去 、 是 照 耶 和 華 所 吩 咐 我 的 ． 我 們 在 西 珥 山 繞 行 了 許 多 日 子 。
Đức Giê-hô-va có phán cùng ta mà rằng:|耶 和 華 對 我 說 、
Các ngươi đi vòng núi nầy cũng đã lâu rồi, hãy trở lên hướng bắc.|你 們 繞 行 這 山 的 日 子 彀 了 、 要 轉 向 北 去 。
Hãy truyền lịnh nầy cho dân sự: Các ngươi sẽ trải qua địa phận của anh em mình, tức là con cháu Ê-sau, ở tại Sê -i-rơ, và chúng nó sẽ sợ các ngươi. Nhưng hãy giữ lấy mình,|你 吩 咐 百 姓 說 、 你 們 弟 兄 以 掃 的 子 孫 、 住 在 西 珥 、 你 們 要 經 過 他 們 的 境 界 ． 他 們 必 懼 怕 你 們 、 所 以 你 們 要 分 外 謹 慎 。
chớ có tranh cùng chúng nó, vì ta sẽ không cho các ngươi xứ của chúng nó đâu, dầu đến nỗi một thẻo đất bằng bàn chân cũng không cho. Ta đã ban cho Ê-sau núi Sê -i-rơ làm sản nghiệp.|不 可 與 他 們 爭 戰 、 他 們 的 地 、 連 腳 掌 可 踏 之 處 、 我 都 不 給 你 們 、 因 我 已 將 西 珥 山 賜 給 以 掃 為 業 。
Các ngươi sẽ dùng tiền bạc mà mua lương thức của chúng nó mà ăn, nước mà uống.|你 們 要 用 錢 向 他 們 買 糧 喫 、 也 要 用 錢 向 他 們 買 水 喝 。
Vì Giê-hô-va Đức Chúa Trời ngươi đã ban phước cho mọi công việc làm của tay ngươi; Ngài đã biết cuộc đi đường ngươi ngang qua đồng vắng lớn lao nầy. Trong bốn mười năm nầy, Giê-hô-va Đức Chúa Trời ngươi vẫn ở cùng ngươi; ngươi không thiếu chi hết.|因 為 耶 和 華 你 的 　 神 、 在 你 手 裡 所 辦 的 一 切 事 上 、 已 賜 福 與 你 ． 你 走 這 大 曠 野 他 都 知 道 了 ． 這 四 十 年 、 耶 和 華 你 的 　 神 常 與 你 同 在 、 故 此 你 一 無 所 缺 。
Vậy, chúng ta có đi ngang qua cách xa anh em ta, là con cháu Ê-sau, ở tại Sê -i-rơ, và bắt đi về hướng đồng vắng Mô-áp, đặng tránh con đường đồng bằng, cùng Ê-lát và Ê-xi-ôn-Ghê-be.|於 是 我 們 離 了 我 們 弟 兄 以 掃 子 孫 所 住 的 西 珥 、 從 亞 拉 巴 的 路 、 經 過 以 拉 他 、 以 旬 迦 別 、 轉 向 摩 押 曠 野 的 路 去 。
Đức Giê-hô-va bèn phán cùng ta rằng: Chớ đương địch và chớ chiến trận với dân Mô-áp; vì ta không cho ngươi chi trong xứ dân ấy làm sản nghiệp đâu, bởi ta đã ban A-rơ cho con cháu Lót làm sản nghiệp.|耶 和 華 吩 咐 我 說 、 不 可 擾 害 摩 押 人 、 也 不 可 與 他 們 爭 戰 ． 他 們 的 地 我 不 賜 給 你 為 業 、 因 我 已 將 亞 珥 賜 給 羅 得 的 子 孫 為 業 。
(Lúc trước, dân Ê-mim ở tại đó. Ay là một dân lớn, đông, hình giềng giàng như dân A-na-kim vậy.|（ 先 前 、 有 以 米 人 住 在 那 裡 、 民 數 眾 多 、 身 體 高 大 、 像 亞 衲 人 一 樣 。
Người ta cũng cho dân nầy là dân giềng giàng như dân A-na-kim; nhưng dân Mô-áp gọi họ là Ê-mim.|這 以 米 人 像 亞 衲 人 、 也 算 為 利 乏 音 人 、 摩 押 人 稱 他 們 為 以 米 人 。
Dân Hô-rít lúc trước cũng ở tại Sê -i-rơ; song con cháu Ê-sau diệt dân ấy, đoạt lấy xứ họ và ở thế cho, y như Y-sơ-ra-ên làm trong xứ mà Đức Giê-hô-va đã ban cho người làm sản nghiệp).|先 前 、 何 利 人 也 住 在 西 珥 、 但 以 掃 的 子 孫 將 他 們 除 滅 、 得 了 他 們 的 地 、 接 著 居 住 、 就 如 以 色 列 在 耶 和 華 賜 給 他 為 業 之 地 所 行 的 一 樣 。 ）
Bây giờ, hãy đứng dậy, đi ngang qua khe Xê-rết. Vậy, chúng ta có đi ngang khe Xê-rết.|現 在 起 來 過 撒 烈 溪 ． 於 是 我 們 過 了 撒 烈 溪 。
Vả, thì giờ về các cuộc đi đường của chúng ta, từ khi lìa khỏi Ca-đe-Ba-nê -a, tới lúc đi ngang qua khe Xê-rết, cộng là ba mươi tám năm, cho đến chừng các người chiến sĩ về đời ấy đã diệt mất khỏi trại quân, y như Đức Giê-hô-va đã thề cùng các người đó.|自 從 離 開 加 低 斯 巴 尼 亞 、 到 過 了 撒 烈 溪 的 時 候 、 共 有 三 十 八 年 、 等 那 世 代 的 兵 丁 、 都 從 營 中 滅 盡 、 正 如 耶 和 華 向 他 們 所 起 的 誓 。
Vả lại, tay Đức Giê-hô-va cũng tra vào họ đặng diệt họ khỏi trại quân, cho đến chừng nào họ đều tiêu diệt hết.|耶 和 華 的 手 也 攻 擊 他 們 、 將 他 們 從 營 中 除 滅 、 直 到 滅 盡 。
Xảy khi các người chiến sĩ đã bị tiêu diệt và chết mất khỏi dân sự,|兵 丁 從 民 中 都 滅 盡 死 亡 以 後 、
thì Đức Giê-hô-va phán cùng ta mà rằng:|耶 和 華 吩 咐 我 說 、
Ngày nay ngươi sẽ đi ngang qua A-rơ, bờ cõi của dân Mô-áp,|你 今 天 要 從 摩 押 的 境 界 亞 珥 經 過 、
và đến gần con cháu Am-môn. Chớ đương địch và chớ chiến trận cùng chúng nó; vì ta không cho ngươi chi hết của xứ con cháu Am-môn làm sản nghiệp, bởi ta đã ban xứ đó cho con cháu của Lót làm sản nghiệp.|走 近 亞 捫 人 之 地 、 不 可 擾 害 他 們 、 也 不 可 與 他 們 爭 戰 、 亞 捫 人 的 地 我 不 賜 給 你 們 為 業 、 因 我 已 將 那 地 賜 給 羅 得 的 子 孫 為 業 。
(Nguyên xứ nầy gọi là xứ Rê-pha-im. Xưa kia dân Rê-pha-im ở đó, dân Am-môn gọi là Xam-xu-mim;|（ 那 地 也 算 為 利 乏 音 人 之 地 、 先 前 、 利 乏 音 人 住 在 那 裡 、 亞 捫 人 稱 他 們 為 散 送 冥 。
ấy là một dân lớn, đông, hình giềng giàng như dân A-na-kim. Nhưng Đức Giê-hô-va diệt dân Rê-pha-im trước mặt dân Am-môn; dân Am-môn đoạt lấy xứ của họ và ở thế cho.|那 民 眾 多 身 體 高 大 、 像 亞 衲 人 一 樣 、 但 耶 和 華 從 亞 捫 人 面 前 除 滅 他 們 、 亞 捫 人 就 得 了 他 們 的 地 、 接 著 居 住 ．
Ay Ngài đã làm cho con cháu Ê-sau, ở tại Sê -i-rơ, là như vậy, khi Ngài hủy diệt dân Hô-rít trước mặt con cháu Ê-sau; họ chiếm lấy xứ dân ấy và ở thế vào chỗ cho đến ngày nay.|正 如 耶 和 華 從 前 為 住 西 珥 的 以 掃 子 孫 、 將 何 利 人 從 他 們 面 前 除 滅 ． 他 們 得 了 何 利 人 的 地 、 接 著 居 住 一 樣 、 直 到 今 日 。
Còn dân A-vim, ở trong những làng cho đến Ga-xa, dân Cáp-tô-rim ở từ Cáp-tô ra hủy diệt họ, và ở thế vào cho).|從 迦 斐 託 出 來 的 迦 斐 託 人 、 將 先 前 住 在 鄉 村 直 到 迦 薩 的 亞 衛 人 除 滅 、 接 著 居 住 。 ）
Hãy đứng dậy đi ngang qua khe At-nôn. Kìa, ta đã phó Si-hôn, vua Hết-bôn, là người A-mô-rít, cùng xứ người vào tay ngươi; hãy khởi chiếm lấy và giao chiến cùng người.|你 們 起 來 前 往 、 過 亞 嫩 谷 、 我 已 將 亞 摩 利 人 希 實 本 王 西 宏 、 和 他 的 地 、 交 在 你 手 中 、 你 要 與 他 爭 戰 得 他 的 地 為 業 。
Ngày nay, ta khởi rải trên các dân tộc trong thiên hạ sự sợ hãi và kinh khủng về danh ngươi, đến nỗi khi nghe nói về ngươi, các dân tộc đó sẽ run rẩy và bị sự kinh khủng áp hãm trước mặt ngươi.|從 今 日 起 我 要 使 天 下 萬 民 、 聽 見 你 的 名 聲 都 驚 恐 、 懼 怕 、 且 因 你 發 顫 傷 慟 。
Bấy giờ, từ đồng vắng Kê-đê-mốt, ta sai sứ giả đến Si-hôn, vua Hết-bôn, lấy lời hòa hảo đặng nói cùng người rằng:|我 從 基 底 莫 的 曠 野 、 差 遣 使 者 去 見 希 實 本 王 西 宏 、 用 和 睦 的 話 說 、
Xin cho phép tôi đi ngang qua xứ vua; tôi đi theo đường cái luôn luôn, không xây qua bên hữu hay bên tả.|求 你 容 我 從 你 的 地 經 過 、 只 走 大 道 、 不 偏 左 右 。
Vua sẽ nhận lấy bạc bán lương thực cho, để tôi có mà ăn; sẽ nhận lấy bạc bán nước, để tôi có mà uống. Chỉ hãy để cho tôi đi ngang qua luôn,|你 可 以 賣 糧 給 我 喫 、 也 可 以 賣 水 給 我 喝 、 只 要 容 我 步 行 過 去 ．
cũng như con cháu Ê-sau ở tại Sê -i-rơ, và dân Mô-áp ở tại A-rơ đã cho phép vậy, cho đến chừng nào tôi đi qua Giô-đanh, đặng vào xứ mà Giê-hô-va Đức Chúa Trời tôi ban cho tôi.|就 如 住 西 珥 的 以 掃 子 孫 、 和 住 亞 珥 的 摩 押 人 待 我 一 樣 、 等 我 過 了 約 但 河 、 好 進 入 耶 和 華 我 們 　 神 所 賜 給 我 們 的 地 。
Nhưng Si-hôn, vua Hết-bôn, không khứng chúng ta đi ngang qua địa phận người; vì Giê-hô-va Đức Chúa Trời ngươi đã khiến cho tánh người ngoan ngạch, lòng người cứng cỏi, để phó người vào tay ngươi, y như điều đã xảy đến ngày nay.|但 希 實 本 王 西 宏 、 不 容 我 們 從 他 那 裡 經 過 、 因 為 耶 和 華 你 的 　 神 使 他 心 中 剛 硬 、 性 情 頑 梗 、 為 要 將 他 交 在 你 手 中 、 像 今 日 一 樣 。
Đức Giê-hô-va phán cùng ta rằng: kìa, từ bây giờ, ta phó Si-hôn và xứ người cho ngươi. Hãy khởi chiếm lấy xứ người đặng làm cơ nghiệp.|耶 和 華 對 我 說 、 從 此 起 首 、 我 要 將 西 宏 和 他 的 地 、 交 給 你 、 你 要 得 他 的 地 為 業 。
Vậy, Si-hôn và cả dân sự người ra đón chúng ta, đặng giao chiến tại Gia-hát.|那 時 西 宏 和 他 的 眾 民 、 出 來 攻 擊 我 們 、 在 雅 雜 與 我 們 交 戰 。
Nhưng Giê-hô-va Đức Chúa Trời chúng ta phó người cho chúng ta, và chúng ta đánh bại người, các con trai cùng cả dân sự của người.|耶 和 華 我 們 的 　 神 、 將 他 交 給 我 們 、 我 們 就 把 他 和 他 的 兒 子 、 並 他 的 眾 民 都 擊 殺 了 。
Trong lúc đó, ta chiếm hết các thành người, khấn vái diệt hết các thành, cả người nam, người nữ, và các con trẻ, không chừa lại một ai.|我 們 奪 了 他 的 一 切 城 邑 、 將 有 人 煙 的 各 城 、 連 女 人 帶 孩 子 、 盡 都 毀 滅 、 沒 有 留 下 一 個 。
Chúng ta chỉ có cướp lấy cho phần mình súc vật và hóa tài của các thành mình đã thắng được.|惟 有 牲 畜 、 和 所 奪 的 各 城 、 並 其 中 的 財 物 、 都 取 為 自 己 的 掠 物 。
Từ A-rô -e, ở trên mé khe At-nôn, và cái thành ở trong trũng, cho đến Ga-la-át, chẳng có một thành nào lấy làm kiên cố quá cho chúng ta; Giê-hô-va Đức Chúa Trời chúng ta đã phó các thành đó cho chúng ta hết.|從 亞 嫩 谷 邊 的 亞 羅 珥 、 和 谷 中 的 城 、 直 到 基 列 、 耶 和 華 我 們 的 　 神 都 交 給 我 們 了 、 沒 有 一 座 城 高 得 使 我 們 不 能 攻 取 的 。
Chỉn ngươi không có lại gần xứ của con cháu Am-môn, ở dọc khắp mé khe Gia-bốc, hoặc các thành trên núi hay là chỗ nào Giê-hô-va Đức Chúa Trời chúng ta cấm không cho chúng ta chiếm lấy.|惟 有 亞 捫 人 之 地 、 凡 靠 近 雅 博 河 的 地 、 並 山 地 的 城 邑 、 與 耶 和 華 我 們 　 神 所 禁 止 我 們 去 的 地 方 、 都 沒 有 挨 近 。

					Phục Truyền Luật Lệ 3				|
						申命記 3					
