
					Lu-ca 1				|
Nhưng thiên sứ nói cùng người rằng: Hỡi Xa-cha-ri, đừng sợ, vì lời cầu nguyện ngươi đã được nhậm rồi. Ê-li-sa-bét vợ ngươi, sẽ sanh một con trai, ngươi khá đặt tên là Giăng.|天 使 對 他 說 、 撒 迦 利 亞 、 不 要 害 怕 ． 因 為 你 的 祈 禱 已 經 被 聽 見 了 、 你 的 妻 子 以 利 沙 伯 要 給 你 生 一 個 兒 子 、 你 要 給 他 起 名 叫 約 翰 。
Con trai đó sẽ làm cho ngươi vui mừng hớn hở, và nhiều kẻ sẽ mừng rỡ về sự sanh người ra.|你 必 歡 喜 快 樂 ． 有 許 多 人 因 他 出 世 、 也 必 喜 樂 。
Vì người sẽ nên tôn trọng trước mặt Chúa; không uống rượu hay là giống gì làm cho say, và sẽ được đầy dẫy Đức Thánh Linh từ khi còn trong lòng mẹ.|他 在 主 面 前 將 要 為 大 、 淡 酒 濃 酒 都 不 喝 、 從 母 腹 裡 就 被 聖 靈 充 滿 了 。
Người sẽ làm cho nhiều con trai Y-sơ-ra-ên trở lại cùng Chúa, là Đức Chúa Trời của họ;|他 要 使 許 多 以 色 列 人 回 轉 、 歸 於 主 他 們 的 　 神 。
chính người lại sẽ lấy tâm thần quyền phép Ê-li mà đi trước mặt Chúa, để đem lòng cha trở về con cái, kẻ loạn nghịch đến sự khôn ngoan của người công bình, đặng sửa soạn cho Chúa một dân sẵn lòng.|他 必 有 以 利 亞 的 心 志 能 力 、 行 在 主 的 前 面 、 叫 為 父 的 心 轉 向 兒 女 、 叫 悖 逆 的 人 轉 從 義 人 的 智 慧 ． 又 為 主 豫 備 合 用 的 百 姓 。
Xa-cha-ri thưa rằng: Bởi sao tôi biết được điều đó? Vì tôi đã già, vợ tôi đã cao tuổi rồi.|撒 迦 利 亞 對 天 使 說 、 我 憑 著 甚 麼 可 知 道 這 事 呢 、 我 已 經 老 了 、 我 的 妻 子 也 年 紀 老 邁 了 。
Thiên sứ trả lời rằng: Ta là Gáp-ri-ên, đứng rồi mặt Đức Chúa Trời; Ngài đã sai ta đến truyền cho ngươi và báo tin mừng nầy.|天 使 回 答 說 、 我 是 站 在 　 神 面 前 的 加 百 列 、 奉 差 而 來 、 對 你 說 話 、 將 這 好 信 息 報 給 你 。
Nầy, ngươi sẽ câm, không nói được cho đến ngày nào các điều ấy xảy ra, vì ngươi không tin lời ta, là lời đến kỳ sẽ ứng nghiệm.|到 了 時 候 、 這 話 必 然 應 驗 ． 只 因 你 不 信 、 你 必 啞 吧 不 能 說 話 、 直 到 這 事 成 就 的 日 子 。
Bấy giờ, dân chúng đợi Xa-cha-ri, và lấy làm lạ, vì người ở lâu trong nơi thánh.|百 姓 等 候 撒 迦 利 亞 、 詫 異 他 許 久 在 殿 裡 。
Khi Xa-cha-ri ra, không nói với chúng được, thì họ mới hiểu rằng người đã thấy sự hiện thấy gì trong đền thánh; người ra dấu cho họ, mà vẫn còn câm.|及 至 他 出 來 、 不 能 和 他 們 說 話 ． 他 們 就 知 道 他 在 殿 裡 見 了 異 象 ． 因 為 他 直 向 他 們 打 手 式 、 竟 成 了 啞 吧 。
Khi những ngày về phần việc mình đã trọn, người trở về nhà.|他 供 職 的 日 子 已 滿 、 就 回 家 去 了 。
Khỏi ít lâu, vợ người là Ê-li-sa-bét chịu thai, ẩn mình đi trong năm tháng, mà nói rằng:|這 些 日 子 以 後 、 他 的 妻 子 以 利 沙 伯 懷 了 孕 、 就 隱 藏 了 五 個 月 、
Ay là ơn Chúa đã làm cho tôi, khi Ngài đã đoái đến tôi, để cất sự xấu hổ tôi giữa mọi người.|說 、 主 在 眷 顧 我 的 日 子 、 這 樣 看 待 我 、 要 把 我 在 人 間 的 羞 恥 除 掉 。
Đến tháng thứ sáu, Đức Chúa Trời sai thiên sứ Gáp-ri-ên đến thành Na-xa-rét, xứ Ga-li-lê,|到 了 第 六 個 月 、 天 使 加 百 列 奉 　 神 的 差 遣 、 往 加 利 利 的 一 座 城 去 、 這 城 名 叫 拿 撒 勒 ．
tới cùng một người nữ đồng trinh tên là Ma-ri, đã hứa gả cho một người nam tên là Giô-sép, về dòng vua Đa-vít.|到 一 個 童 女 那 裡 、 是 已 經 許 配 大 衛 家 的 一 個 人 、 名 叫 約 瑟 、 童 女 的 名 字 叫 馬 利 亞 。
Thiên sứ vào chỗ người nữ ở, nói rằng: Hỡi người được ơn, mừng cho ngươi; Chúa ở cùng ngươi.|天 使 進 去 、 對 他 說 、 蒙 大 恩 的 女 子 、 我 問 你 安 、 主 和 你 同 在 了 。
Ma-ri nghe nói thì bối rối, tự hỏi rằng lời chào ấy có nghĩa gì.|馬 利 亞 因 這 話 就 很 驚 慌 、 又 反 復 思 想 這 樣 問 安 是 甚 麼 意 思 。
Thiên-sứ bèn nói rằng: Hỡi Ma-ri, đừng sợ, vì ngươi đã được ơn trước mặt Đức Chúa Trời.|天 使 對 他 說 、 馬 利 亞 、 不 要 怕 ． 你 在 　 神 面 前 已 經 蒙 恩 了 。
Nầy, ngươi sẽ chịu thai và sanh một con trai mà đặt tên là Jêsus.|你 要 懷 孕 生 子 、 可 以 給 他 起 名 叫 耶 穌 。
Con trai ấy sẽ nên tôn trọng, được xưng là Con của Đấng Rất Cao; và Chúa, là Đức Chúa Trời, sẽ ban cho Ngài ngôi Đa-vít là tổ phụ Ngài.|他 要 為 大 、 稱 為 至 高 者 的 兒 子 ． 主 　 神 要 把 他 祖 大 衛 的 位 給 他 ．
Ngài sẽ trị vì đời đời nhà Gia-cốp, nước Ngài vô cùng.|他 要 作 雅 各 家 的 王 、 直 到 永 遠 ． 他 的 國 也 沒 有 窮 盡 。
Ma-ri bèn thưa rằng: Tôi chẳng hề nhận biết người nam nào, thì làm sao có được sự đó?|馬 利 亞 對 天 使 說 、 我 沒 有 出 嫁 、 怎 麼 有 這 事 呢 。
Thiên sứ truyền rằng: Đức Thánh Linh sẽ đến trên ngươi, và quyền phép Đấng Rất Cao sẽ che phủ ngươi dưới bóng mình, cho nên con thánh sanh ra, phải xưng là Con Đức Chúa Trời.|天 使 回 答 說 、 聖 靈 要 臨 到 你 身 上 、 至 高 者 的 能 力 要 蔭 庇 你 ． 因 此 所 要 生 的 聖 者 、 必 稱 為 　 神 的 兒 子 。 〔 或 作 所 要 生 的 必 稱 為 聖 稱 為 　 神 的 兒 子 〕
Kìa, Ê-li-sa-bét, bà con ngươi, cũng đã chịu thai một trai trong lúc già nua; người ấy vốn có tiếng là son, mà nay cưu mang được sáu tháng rồi.|況 且 你 的 親 戚 以 利 沙 伯 、 在 年 老 的 時 候 、 也 懷 了 男 胎 ． 就 是 那 素 來 稱 為 不 生 育 的 、 現 在 有 孕 六 個 月 了 。
Bởi vì không việc chi Đức Chúa Trời chẳng làm được.|因 為 出 於 　 神 的 話 、 沒 有 一 句 不 帶 能 力 的 。
Ma-ri thưa rằng: Tôi đây là tôi tớ Chúa; xin sự ấy xảy ra cho tôi như lời người truyền! Đoạn thiên sứ kìa khỏi Ma-ri.|馬 利 亞 說 、 我 是 主 的 使 女 、 情 願 照 你 的 話 成 就 在 我 身 上 。 天 使 就 離 開 他 去 了 。
Trong những ngày đó, Ma-ri chờ dậy, lật đật đi trong miền núi, đến một thành về xứ Giu-đa,|那 時 候 馬 利 亞 起 身 、 急 忙 往 山 地 裡 去 、 來 到 猶 大 的 一 座 城 ．
vào nhà Xa-cha-ri mà chào Ê-li-sa-bét.|進 了 撒 迦 利 亞 的 家 、 問 以 利 沙 伯 安 。
Vả, Ê-li-sa-bét vừa nghe tiếng Ma-ri chào, con nhỏ trong lòng liền nhảy nhót; và Ê-li-sa-bét được đầy Đức Thánh Linh,|以 利 沙 伯 一 聽 馬 利 亞 問 安 、 所 懷 的 胎 就 在 腹 裡 跳 動 、 以 利 沙 伯 且 被 聖 靈 充 滿 ．
bèn cất tiếng kêu rằng: Ngươi có phải trong đám đờn bà, thai trong lòng ngươi cũng được phước.|高 聲 喊 著 說 、 你 在 婦 女 中 是 有 福 的 、 你 所 懷 的 胎 也 是 有 福 的 。
Nhơn đâu ta được sự vẻ vang nầy, là mẹ Chúa ta đến thăm ta?|我 主 的 母 到 我 這 裡 來 、 這 是 從 那 裡 得 的 呢 ．
Bởi vì tai ta mới nghe tiếng ngươi chào, thì con nhỏ ở trong lòng ta liền nhảy mừng.|因 為 你 問 安 的 聲 音 、 一 入 我 耳 、 我 腹 裡 的 胎 、 就 歡 喜 跳 動 。
Phước cho người đã tin, vì lời Chúa truyền cho sẽ được ứng nghiệm!|這 相 信 的 女 子 是 有 福 的 ． 因 為 主 對 裡 所 說 的 話 、 都 要 應 驗 。
Ma-ri bèn nói rằng: Linh hồn tôi ngợi khen Chúa,|馬 利 亞 說 、 我 心 尊 主 為 大 、
Tâm thần tôi mừng rỡ trong Đức Chúa Trời, là Cứu Chúa tôi.|我 靈 以 　 神 我 的 救 主 為 樂 。
Vì Ngài đã đoái đến sự hèn hạ của tôi tớ Ngài. Nầy, từ rày về sau, muôn đời sẽ khen tôi là có phước;|因 為 他 顧 念 他 使 女 的 卑 微 ． 從 今 以 後 、 萬 代 要 稱 我 有 福 。
Bởi Đấng Toàn Năng đã làm các việc lớn cho tôi. Danh Ngài là thánh,|那 有 權 能 的 為 我 成 就 了 大 事 ． 他 的 名 為 聖 。
Và Ngài thương xót kẻ kính sợ Ngài từ đời nầy sang đời kia.|他 憐 憫 敬 畏 他 的 人 、 直 到 世 世 代 代 。
Ngài đã dùng cánh tay mình để tỏ ra quyền phép; Và phá tan mưu của kẻ kiêu ngạo toan trong lòng.|他 用 膀 臂 施 展 大 能 ． 那 狂 傲 的 人 、 正 心 裡 妄 想 、 就 被 他 趕 散 了 。
Ngài đã cách người có quyền khỏi ngôi họ, Và nhắc kẻ khiêm nhượng lên.|他 叫 有 權 柄 的 失 位 、 叫 卑 賤 的 升 高 ．
Ngài đã làm cho kẻ đói được đầy thức ăn ngon, Và đuổi kẻ giàu về tay không.|叫 飢 餓 的 得 飽 美 食 、 叫 富 足 的 空 手 回 去 。
Ngài đã vùa giúp Y-sơ-ra-ên, tôi tớ Ngài, Và nhớ lại sự thương xót mình. Đối với Ap-ra-ham cùng con cháu người luôn luôn,|他 扶 助 了 他 的 僕 人 以 色 列 、
Như Ngài đã phán cùng tổ phụ chúng ta vậy.|為 要 記 念 亞 伯 拉 罕 和 他 的 後 裔 、 施 憐 憫 、 直 到 永 遠 、 正 如 從 前 對 我 們 列 祖 所 說 的 話 。
Ma-ri với Ê-li-sa-bét chừng ba tháng, rồi trở về nhà mình.|馬 利 亞 和 以 利 沙 伯 同 住 、 約 有 三 個 月 、 就 回 家 去 了 。
Bấy giờ, đến ngày mãn nguyệt, Ê-li-sa-bét sanh được một trai.|以 利 沙 伯 的 產 期 到 了 、 就 生 了 一 個 兒 子 。
Xóm riềng bà con nghe Chúa tỏ ra sự thương xót cả thể cho Ê-li-sa-bét, thì chia vui cùng người.|鄰 里 親 族 、 聽 見 主 向 他 大 施 憐 憫 、 就 和 他 一 同 歡 樂 。
Qua ngày thứ tám, họ đều đến để làm lễ cắt bì cho con trẻ; và đặt tên là Xa-cha-ri theo tên của cha.|到 了 第 八 日 、 他 們 來 要 給 孩 子 行 割 禮 ． 並 要 照 他 父 親 的 名 字 、 叫 他 撒 迦 利 亞 。
Nhưng mẹ nói rằng: Không! phải đặt tên con là Giăng.|他 母 親 說 、 不 可 ． 要 叫 他 約 翰 。
Họ nói: Trong bà con ngươi không ai có tên đó.|他 們 說 、 你 親 族 中 沒 有 叫 這 名 字 的 。
Họ bèn ra dấu hỏi cha muốn đặt tên gì cho con.|他 們 就 向 他 父 親 打 手 式 、 問 他 要 叫 這 孩 子 甚 麼 名 字 。
Xa-cha-ri biểu lấy bảng nhỏ, và viết rằng: Giăng là tên nó. Ai nấy đều lấy làm lạ.|他 要 了 一 塊 寫 字 的 板 、 就 寫 上 說 、 他 的 名 字 是 約 翰 。 他 們 便 都 希 奇 。
Tức thì miệng người mở ra, lưỡi được thong thả, nói và ngợi khen Đức Chúa Trời.|撒 迦 利 亞 的 口 立 時 開 了 、 舌 頭 也 舒 展 了 、 就 說 出 話 來 、 稱 頌 　 神 。
Hết thảy xóm giềng đều kinh sợ, và người ta nói chuyện với nhau về mọi sự ấy khắp miền núi xứ Giu-đê.|周 圍 居 住 的 人 都 懼 怕 、 這 一 切 的 事 就 傳 遍 了 猶 太 的 山 地 。
Ai nghe cũng ghi vào lòng mà nói rằng: Ay vậy, con trẻ đó sẽ ra thể nào? Vì tay Chúa ở cùng con trẻ ấy.|凡 聽 見 的 人 、 都 將 這 事 放 在 心 裡 、 說 、 這 個 孩 子 、 將 來 怎 麼 樣 呢 ． 因 為 有 主 與 他 同 在 。
Bấy giờ, Xa-cha-ri, cho con trẻ ấy, được đầy dẫy Đức Thánh Linh, thì nói tiên tri rằng:|他 父 親 撒 迦 利 亞 、 被 聖 靈 充 滿 了 、 就 豫 言 說 、
Ngợi khen Chúa, là Đức Chúa Trời của Y-sơ-ra-ên, Vì đã thăm viếng và chuộc dân Ngài,|主 以 色 列 的 　 神 、 是 應 當 稱 頌 的 ． 因 他 眷 顧 他 的 百 姓 、 為 他 們 施 行 救 贖 ．
Cùng sanh ra cho chúng tôi trong nhà Đa-vít, tôi tớ Ngài, Một Đấng Cứu thế có quyền phép!|在 他 僕 人 大 衛 家 中 、 為 我 們 興 起 了 拯 救 的 角 、
Như lời Ngài đã dùng miệng các thánh tiên tri phán từ thuở trước,|（ 正 如 主 藉 著 從 創 世 以 來 、 聖 先 知 的 口 所 說 的 話 。 ）
Ngài cứu chúng tôi khỏi kẻ thù và tay mọi người ghen ghét chúng tôi;|拯 救 我 們 脫 離 仇 敵 、 和 一 切 恨 我 們 之 人 的 手 ．
Ngài tỏ lòng thương xót đến tổ tông chúng tôi, Và nhớ lại giao ước thánh của Ngài,|向 我 們 列 祖 施 憐 憫 、 記 念 他 的 聖 約 ．
Theo như Ngài đã thề với Ap-ra-ham là tổ phụ chúng tôi,|就 是 他 對 我 們 祖 宗 亞 伯 拉 罕 所 起 的 誓 、
Mà hứa rằng khi chúng tôi đã được cứu khỏi tay kẻ nghịch thù, Ngài sẽ ban ơn lành cho chúng tôi, trước một Ngài,|叫 我 們 既 從 仇 敵 手 中 被 救 出 來 、
Lấy sự thánh khiết và công bình mà hầu việc Ngài, trọn đời mình không sợ hãi chi hết.|就 可 以 終 身 在 他 面 前 、 坦 然 無 懼 的 用 聖 潔 公 義 事 奉 他 。
Hỡi con trẻ, người ta sẽ kêu con là tiên tri của Đấng Rất Cao; Con sẽ đi trước mặt Chúa, dọn đường Ngài,|孩 子 阿 、 你 要 稱 為 至 高 者 的 先 知 ． 因 為 你 要 行 在 主 的 前 面 、 豫 備 他 的 道 路 ．
Để cho dân Ngài bởi sự tha tội họ mà biết sự rỗi.|叫 他 的 百 姓 因 罪 得 赦 、 就 知 道 救 恩 ．
Vì Đức Chúa Trời chúng tôi động lòng thương xót, Và mặt trời mọc lên từ nơi cao thăm viếng chúng tôi,|因 我 們 　 神 憐 憫 的 心 腸 、 叫 清 晨 的 日 光 從 高 天 臨 到 我 們 、
Để soi những kẻ ngồi chỗ tối tăm và trong bóng sự chết, Cùng đưa chơn chúng tôi đi đường bình an.|要 照 亮 坐 在 黑 暗 中 死 蔭 裡 的 人 ． 把 我 們 的 腳 引 到 平 安 的 路 上 。
Vả, con trẻ ấy lớn lên, tâm thần mạnh mẽ, ở nơi đồng vắng cho đến ngày tỏ mình ra cùng dân Y-sơ-ra-ên.|那 孩 子 漸 漸 長 大 、 心 靈 強 健 、 住 在 曠 野 、 直 到 他 顯 明 在 以 色 列 人 面 前 的 日 子 。

					Lu-ca 2				|
						路加福音 2					
Lúc ấy, Sê-sa Au-gút-tơ ra chiếu chỉ phải lập sổ dân trong cả thiên hạ.|當 那 些 日 子 、 該 撒 亞 古 士 督 有 旨 意 下 來 、 叫 天 下 人 民 都 報 名 上 冊 。
Việc lập sổ dân nầy là trước hết, và nhằm khi Qui-ri-ni -u làm quan tổng đốc xứ Sy-ri.|這 是 居 里 扭 作 敘 利 亞 巡 撫 的 時 候 、 頭 一 次 行 報 名 上 冊 的 事 。
Ai nấy đều đến thành mình khai tên vào sổ.|眾 人 各 歸 各 城 、 報 名 上 冊 。
Vì Giô-sép là dòng dõi nhà Đa-vít, cho nên cũng từ thành Na-xa-rét, xứ Ga-li-lê, lên thành Đa-vít, gọi là Bết-lê-hem, xứ Giu-đê,|約 瑟 也 從 加 利 利 的 拿 撒 勒 城 上 猶 太 去 、 到 了 大 衛 的 城 、 名 叫 伯 利 恆 、 因 他 本 是 大 衛 一 族 一 家 的 人 ．
để khai vào sổ tên mình và tên Ma-ri, là người đã hứa gả cho mình đương có thai.|要 和 他 所 聘 之 妻 馬 利 亞 、 一 同 報 名 上 冊 ． 那 時 馬 利 亞 的 身 孕 已 經 重 了 。
Đang khi hai người ở nơi đó, thì ngày sanh đẻ của Ma-ri đã đến.|他 們 在 那 裡 的 時 候 、 馬 利 亞 的 產 期 到 了 。
Người sanh con trai đầu lòng, lấy khăn bọc con mình, đặt nằm trong máng cỏ, vì nhà quán không có đủ chỗ ở.|就 生 了 頭 胎 的 兒 子 、 用 布 包 起 來 、 放 在 馬 槽 裡 、 因 為 客 店 裡 沒 有 地 方 。
Vả, cũng trong miền đó, có mấy kẻ chăn chiên trú ngoài đồng, thức đêm canh giữ bầy chiên.|在 伯 利 恆 之 野 地 裡 有 牧 羊 的 人 、 夜 間 按 著 更 次 看 守 羊 群 。
Một thiên sứ của Chúa đến gần họ, và sự vinh hiển của Chúa chói lòa xung quanh, họ rất sợ hãi.|有 主 的 使 者 站 在 他 們 旁 邊 、 主 的 榮 光 四 面 照 著 他 們 ． 牧 羊 的 人 就 甚 懼 怕 。
Thiên sứ bèn phán rằng: Đừng sợ chi; vì nầy, ta báo cho các ngươi một Tin Lành, sẽ làm một sự vui mừng lớn cho muôn dân;|那 天 使 對 他 們 說 、 不 要 懼 怕 、 我 報 給 你 們 大 喜 的 信 息 、 是 關 乎 萬 民 的 ．
ấy là hôm nay tại thành Đa-vít đã sanh cho các ngươi một Đấng Cứu thế, là Christ, là Chúa.|因 今 天 在 大 衛 的 城 裡 、 為 你 們 生 了 救 主 、 就 是 主 基 督 。
Nầy là dấu cho các ngươi nhìn nhận Ngài: Các ngươi sẽ gặp một con trẻ bọc bằng khăn, nằm trong máng cỏ.|你 們 要 看 見 一 個 嬰 孩 、 包 著 布 、 臥 在 馬 槽 裡 、 那 就 是 記 號 了 。
Bỗng chúc có muôn vàn thiên binh với thiên sứ đó ngợi khen Đức Chúa Trời rằng:|忽 然 有 一 大 隊 天 兵 、 同 那 天 使 讚 美 　 神 說 、
Sáng danh Chúa trên các từng trời rất cao, Bình an dưới đất, ân trạch cho loài người!|在 至 高 之 處 榮 耀 歸 與 　 神 、 在 地 上 平 安 歸 與 他 所 喜 悅 的 人 。 〔 有 古 卷 作 喜 悅 歸 與 人 〕
Sau khi các thiên sứ lìa họ lên trời rồi, bọn chăn nói với nhau rằng: Chúng ta hãy tới thành Bết-lê-hem, xem việc đã xảy đến mà Chúa cho chúng ta hay.|眾 天 使 離 開 他 們 升 天 去 了 、 牧 羊 的 人 彼 此 說 、 我 們 往 伯 利 恆 去 、 看 看 所 成 的 事 、 就 是 主 所 指 示 我 們 的 。
Vậy, họ vội vàng đi đến đó, thấy Ma-ri, Giô-sép, và thấy con trẻ đang nằm trong máng cỏ.|他 們 急 忙 去 了 、 就 尋 見 馬 利 亞 和 約 瑟 、 又 有 那 嬰 孩 臥 在 馬 槽 裡 。
Đã thấy vậy, họ bèn thuật lại những lời thiên sứ nói về con trẻ đó.|既 然 看 見 、 就 把 天 使 論 這 孩 子 的 話 傳 開 了 。
Ai nấy nghe chuyện bọn chăn chiên nói, đều lấy làm lạ.|凡 聽 見 的 、 就 詫 異 牧 羊 之 人 對 他 們 所 說 的 話 。
Còn Ma-ri thì ghi nhớ mọi lời ấy và suy nghĩ trong lòng.|馬 利 亞 卻 把 這 一 切 的 事 存 在 心 裡 、 反 復 思 想 。
Bọn chăn chiên trở về, làm sáng danh và ngợi khen Đức Chúa Trời về mọi điều mình đã nghe và thấy y như lời đã bảo trước cùng mình.|牧 羊 的 人 回 去 了 ． 因 所 聽 見 所 看 見 的 一 切 事 、 正 如 天 使 向 他 們 所 說 的 、 就 歸 榮 耀 與 　 神 、 讚 美 他 。
Đến ngày thứ tám, là ngày phải làm phép cắt bì cho con trẻ, thì họ đặt tên là Jêsus, là tên thiên sứ đã đặt cho, trước khi chịu cưu mang trong lòng mẹ.|滿 了 八 天 、 就 給 孩 子 行 割 禮 、 與 他 起 名 叫 耶 穌 、 這 就 是 沒 有 成 胎 以 前 、 天 使 所 起 的 名 。
Khi đã hết những ngày tinh sạch rồi, theo luật pháp Môi-se, Giô-sép và Ma-ri đem con trẻ lên thành Giê-ru-sa-lem để dâng cho Chúa,|按 摩 西 律 法 滿 了 潔 淨 的 日 子 、 他 們 帶 著 孩 子 上 耶 路 撒 冷 去 、 要 把 他 獻 與 主 ．
như đã chép trong luật pháp Chúa rằng: Hễ con trai đầu lòng, phải dâng cho Chúa,|（ 正 如 主 的 律 法 上 所 記 、 『 凡 頭 生 的 男 子 、 必 稱 聖 歸 主 。 』 ）
lại dâng một cặp chim cu, hoặc chim bò câu con, như luật pháp Chúa đã truyền.|又 要 照 主 的 律 法 上 所 說 、 或 用 一 對 班 鳩 、 或 用 兩 隻 雛 鴿 獻 祭 。
Vả, trong thành Giê-ru-sa-lem có một người công bình đạo đức, tên là Si-mê-ôn, trông đợi sự yên ủi dân Y-sơ-ra-ên, và Đức Thánh Linh ngự trên người.|在 耶 路 撒 冷 有 一 個 人 名 叫 西 面 ． 這 人 又 公 義 又 虔 誠 、 素 常 盼 望 以 色 列 的 安 慰 者 來 到 、 又 有 聖 靈 在 他 身 上 。
Đức Thánh Linh đã bảo trước cho người biết mình sẽ không chết trước khi thấy Đấng Christ của Chúa.|他 得 了 聖 靈 的 啟 示 、 知 道 自 己 未 死 以 前 、 必 看 見 主 所 立 的 基 督 。
Vậy người cảm bởi Đức Thánh Linh vào đền thờ, lúc có cha mẹ đem con trẻ là Jêsus đến, để làm trọn cho Ngài các thường lệ mà luật pháp đã định,|他 受 了 聖 靈 的 感 動 、 進 入 聖 殿 ． 正 遇 見 耶 穌 的 父 母 抱 著 孩 子 進 來 、 要 照 律 法 的 規 矩 辦 理 。
thì người bồng ẵm con trẻ, mà ngợi khen Đức Chúa Trời rằng:|西 面 就 用 手 接 過 他 來 、 稱 頌 　 神 說 、
Lạy Chúa, bây giờ xin Chúa cho tôi tớ Chúa được qua đời bình an, theo như lời Ngài;|主 阿 、 如 今 可 以 照 你 的 話 、 釋 放 僕 人 安 然 去 世 ．
Vì con mắt tôi đã thấy sự cứu vớt của Ngài,|因 為 我 的 眼 睛 已 經 看 見 你 的 救 恩 、
Mà Ngài đã sắm sửa đặng làm ánh sáng trước mặt muôn dân,|就 是 你 在 萬 民 面 前 所 豫 備 的 ．
Soi khắp thiên hạ, Và làm vinh hiển cho dân Y-sơ-ra-ên là dân Ngài.|是 照 亮 外 邦 人 的 光 、 又 是 你 民 以 色 列 的 榮 耀 。
Cha mẹ con trẻ lấy làm lạ về mấy lời người ta nói về con.|孩 子 的 父 母 、 因 這 論 耶 穌 的 話 就 希 奇 。
Si-mê-ôn bèn chúc phước cho hai vợ chồng, nói với Ma-ri, mẹ con trẻ rằng: Đây, con trẻ nầy đã định làm một cớ cho nhiều người trong Y-sơ-ra-ên vấp ngã hoặc dấy lên, và định làm một dấu gây nên sự cãi trả;|西 面 給 他 們 祝 福 、 又 對 孩 子 的 母 親 馬 利 亞 說 、 這 孩 子 被 立 、 是 要 叫 以 色 列 中 許 多 人 跌 倒 、 許 多 人 興 起 ． 又 要 作 毀 謗 的 話 柄 ． 叫 許 多 人 心 裡 的 意 念 顯 露 出 來 ． 你 自 己 的 心 也 要 被 刀 剌 透 。
còn phần ngươi, có một thanh gươm sẽ đâm thấu qua lòng ngươi. Ay vậy tư tưởng trong lòng nhiều người sẽ được bày tỏ.|見 上 節
Lại có bà tiên tri An-ne, con gái của Pha-nu-ên, về chi phái A-se, đã cao tuổi lắm. Từ lúc còn đồng trinh đã ở với chồng được bảy năm;|又 有 女 先 知 名 叫 亞 拿 、 是 亞 設 支 派 法 內 力 的 女 兒 、 年 紀 已 經 老 邁 、 從 作 童 女 出 嫁 的 時 候 、 同 丈 夫 住 了 七 年 、 就 寡 居 了 ．
rồi thì ở góa. Bấy giờ đã tám mươi bốn tuổi, chẳng hề ra khỏi đền thờ, cứ đêm ngày kiêng ăn và cầu nguyện.|現 在 已 經 八 十 四 歲 、 〔 或 作 就 寡 居 了 八 十 四 年 〕 並 不 離 開 聖 殿 、 禁 食 祈 求 、 晝 夜 事 奉 　 神 。
