
					Ða-ni-ên 1				|
Sau đó, sẽ nhìn nét mặt chúng tôi với nét mặt những kẻ trai trẻ ăn đồ ăn ngon của vua; rồi ông sẽ làm cho những kẻ tôi tớ ông theo như điều ông đã thấy.|然 後 看 看 我 們 的 面 貌 、 和 用 王 膳 那 少 年 人 的 面 貌 ． 就 照 你 所 看 的 待 僕 人 罷 。
Ham-mên-xa nhậm lời họ xin, và thử họ trong mười ngày.|委 辦 便 允 准 他 們 這 件 事 、 試 看 他 們 十 天 。
Mười ngày ấy qua rồi, thấy mặt họ lại có vẻ xinh tươi đầy đặn hơn mọi kẻ trai trẻ khác đã ăn đồ ngon vua ăn.|過 了 十 天 、 見 他 們 的 面 貌 、 比 用 王 膳 的 一 切 少 年 人 更 加 俊 美 肥 胖 ．
Vậy, Ham-nên-xa cất phần đồ ăn ngon và rượu của họ, và cho họ ăn rau.|於 是 委 辦 撤 去 他 們 用 的 膳 、 飲 的 酒 、 給 他 們 素 菜 喫 。
Vả, Đức Chúa Trời ban cho bốn người trai trẻ đó được thông biết tỏ sáng trong mọi thứ học thức và khôn ngoan. Đa-ni-ên cũng biết được mọi sự hiện thấy và chiêm bao.|這 四 個 少 年 人 、 　 神 在 各 樣 文 字 學 問 上 、 〔 學 問 原 文 作 智 慧 〕 賜 給 他 們 聰 明 知 識 ． 但 以 理 又 明 白 各 樣 的 異 象 和 夢 兆 。
Đến kỳ vua định để đem họ đến, thì người làm đầu hoạn quan dắt họ đến trước mặt Nê-bu-cát-nết-sa.|尼 布 甲 尼 撒 王 豫 定 帶 進 少 年 人 來 的 日 期 滿 了 、 太 監 長 就 把 他 們 帶 到 王 面 前 。
Vua nói chuyện cùng họ; và trong hết thảy bọn họ, không thấy ai bằng Đa-ni-ên, Ha-na-nia, Mi-sa-ên, và A-sa-ria; vậy họ được đứng chầu trước mặt vua.|王 與 他 們 談 論 、 見 少 年 人 中 、 無 一 人 能 比 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 、 所 以 留 他 們 在 王 面 前 侍 立 。
Vả, khi vua hỏi họ những câu hỏi về mọi sự khôn ngoan sáng suốt, thì thấy họ giỏi hơn gấp mười những đồng bóng và thuật sĩ trong cả nước mình.|王 考 問 他 們 一 切 事 、 就 見 他 們 的 智 慧 聰 明 、 比 通 國 的 術 士 、 和 用 法 術 的 、 勝 過 十 偣 。
Vậy nên Đa-ni-ên cứ ở đó cho đến năm đầu đời vua Si-ru.|到 古 列 王 元 年 、 但 以 理 還 在 。

					Ða-ni-ên 2				|
						但以理書 2					
Trong năm thứ hai đời vua Nê-bu-cát-nết-sa, vua thấy chiêm bao, thì trong lòng bối rối và mất giấc ngủ.|尼 布 甲 尼 撒 在 位 第 二 年 、 他 作 了 夢 、 心 裡 煩 亂 、 不 能 睡 覺 。
Vậy vua truyền đòi các đồng bóng, thuật sĩ, thầy bói, và người Canh-đê để cắt nghĩa chiêm bao cho vua. Họ bèn đến chầu trước mặt vua.|王 吩 咐 人 將 術 士 、 用 法 術 的 、 行 邪 術 的 、 和 迦 勒 底 人 召 來 、 要 他 們 將 王 的 夢 告 訴 王 ． 他 們 就 來 站 在 王 前 ．
Vua nói cùng họ rằng: Ta đã thấy một chiêm bao; và lòng ta bối rối, muốn biết chiêm bao đó.|王 對 他 們 說 、 我 作 了 一 夢 、 心 裡 煩 亂 、 要 知 道 這 是 甚 麼 夢 。
Những người Canh-đê nói cùng vua bằng tiếng A-ram rằng: Tâu vua, chúc vua sống đời đời! Xin thuật chiêm bao cho những kẻ tôi tớ vua, và chúng tôi sẽ giải nghĩa.|迦 勒 底 人 、 用 亞 蘭 的 言 語 對 王 說 、 願 王 萬 歲 、 請 將 那 夢 告 訴 僕 人 、 僕 人 就 可 以 講 解 。
Vua trả lời cho những người Canh-đê rằng: Sự ấy đã ra khỏi ta. Nếu các ngươi không nói cho ta biết chiêm bao đó thể nào và lời giải nó làm sao, thì các ngươi sẽ bị phân thây, nhà các ngươi sẽ trở nên đống phân.|王 回 答 迦 勒 底 人 說 、 夢 我 巳 經 忘 了 、 〔 或 作 我 巳 定 命 八 節 同 〕 你 們 若 不 將 夢 和 夢 的 講 解 告 訴 我 、 就 必 被 凌 遲 、 你 們 的 房 屋 必 成 為 糞 堆 ．
Nhưng nếu các ngươi tỏ chiêm bao và lời giải nó cho ta, thì các ngươi sẽ được lễ vật, phần thưởng, và vinh hiển lớn từ nơi ta. Các ngươi hãy tỏ cho ta chiêm bao đó và lời giải nó thế nào.|你 們 若 將 夢 和 夢 的 講 解 告 訴 我 、 就 必 從 我 這 裡 得 贈 品 、 和 賞 賜 、 並 大 尊 榮 。 現 在 你 們 要 將 夢 和 夢 的 講 解 告 訴 我 。
Họ tâu lại lần thứ hai rằng: Xin vua kể chiêm bao cho những kẻ tôi tớ vua, và chúng tôi sẽ cắt nghĩa.|他 們 第 二 次 對 王 說 、 請 王 將 夢 告 訴 僕 人 、 僕 人 就 可 以 講 解 。
Vua rằng: Ta biết chắc các ngươi tìm cách để huỡn thì giờ, vì các ngươi thấy sự ấy đã ra khỏi ta.|王 回 答 說 、 我 准 知 道 你 們 是 故 遲 延 、 因 為 你 們 知 道 那 夢 我 巳 經 忘 了 ．
Nhưng, nếu các ngươi không tỏ cho ta biết chiêm bao, thì cũng chỉ có một luật cho các ngươi; vì các ngươi đã điều đình với nhau đem những lời giả dối bậy bạ nói cùng ta, cho đến ngày giờ sẽ thay đổi. Vậy, hãy nói chiêm bao cho ta, và ta sẽ biết rằng các ngươi có thể giải nghĩa được.|你 們 若 不 將 夢 告 訴 我 、 只 有 一 法 待 你 們 、 因 為 你 們 豫 備 了 謊 言 亂 語 向 我 說 、 要 等 候 時 勢 改 變 。 現 在 你 們 要 將 夢 告 訴 我 、 因 我 知 道 你 們 能 將 夢 的 講 解 告 訴 我 。
Những người Canh-đê tâu lại cùng vua rằng: Chẳng có người nào trên đất nầy có thể tỏ ra việc của vua; vì chẳng có vua nào, chúa nào, người cai trị nào đem việc như thế hỏi đồng bóng, thuật sĩ, hay người Canh-đê nào.|迦 勒 底 人 在 王 面 前 回 答 說 、 世 上 沒 有 人 能 將 王 所 問 的 事 說 出 來 、 因 為 沒 有 君 王 、 大 臣 、 掌 權 的 、 向 術 士 、 或 用 法 術 的 、 或 迦 勒 底 人 、 問 過 這 樣 的 事 ．
Vì sự vua đòi là hiếm có, và không ai có thể tỏ cho vua được, chỉ có các vì thần không ở với loài xác thịt.|王 所 問 的 事 甚 難 、 除 了 不 與 世 人 同 居 的 神 明 、 沒 有 人 在 王 面 前 能 說 出 來 。
Vậy nên vua phát tức mình và giận dữ lắm, bèn truyền mạng lịnh giết chết hết những bác sĩ của Ba-by-lôn.|因 此 王 氣 忿 忿 的 大 發 烈 怒 、 吩 咐 滅 絕 巴 比 倫 所 有 的 哲 士 ．
Vậy mạng lịnh đó đã truyền ra; người ta hầu đem giết hết thảy những bác sĩ, lại tìm Đa-ni-ên cùng đồng bạn người để giết.|於 是 命 令 發 出 、 哲 士 將 要 見 殺 、 人 就 尋 找 但 以 理 和 他 的 同 伴 、 要 殺 他 們 。
Bấy giờ Đa-ni-ên lấy sự khôn ngoan trí thức mà nói với A-ri-ốc, quan thị vệ của vua, đã đi ra đặng giết những bác sĩ của Ba-by-lôn.|王 的 護 衛 長 亞 略 出 來 、 要 殺 巴 比 倫 的 哲 士 、 但 以 理 就 用 婉 言 回 答 他 、
Người cất tiếng nói cùng A-ri-ốc, quan thị vệ của vua, rằng: Sao lại có mạng lịnh nghiêm cấp dường ấy ra từ vua? A-ri-ốc bèn kể chuyện cho Đa-ni-ên rõ.|向 王 的 護 衛 長 亞 略 說 、 王 的 命 令 為 何 這 樣 緊 急 呢 ． 亞 略 就 將 情 節 告 訴 但 以 理 。
Tức thì Đa-ni-ên vào, xin vua cho mình một hạn nữa, hầu có thể giải nghĩa điềm chiêm bao đó cho vua.|但 以 理 遂 進 去 求 王 寬 限 、 就 可 以 將 夢 的 講 解 告 訴 王 。
Đoạn, Đa-ni-ên trở về nhà, và tỏ sự ấy cho các bạn mình là Ha-na-nia, Mi-sa-ên và A-xa-ria.|但 以 理 回 到 他 的 居 所 、 將 這 事 告 訴 他 的 同 伴 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 、
Người xin họ cầu Đức Chúa Trời ở trên trời dủ lòng thương xót họ về sự kín nhiệm nầy, hầu cho Đa-ni-ên và đồng bạn mình khỏi phải chết với những bác sĩ khác của Ba-by-lôn.|要 他 們 祈 求 天 上 的 　 神 施 憐 憫 、 將 這 奧 秘 的 事 指 明 、 免 得 但 以 理 和 他 的 同 伴 、 與 巴 比 倫 其 餘 的 哲 士 、 一 同 滅 亡 。
Vậy sự kín nhiệm được tỏ ra cho Đa-ni-ên trong sự hiện thấy ban đêm; Đa-ni-ên bèn ngợi khen Chúa trên trời.|這 奧 秘 的 事 、 就 在 夜 間 異 象 中 、 給 但 以 理 顯 明 。 但 以 理 便 稱 頌 天 上 的 　 神 ．
Đoạn Đa-ni-ên cất tiếng nói rằng: Ngợi khen danh Đức Chúa Trời đời đời vô cùng! vì sự khôn ngoan và quyền năng đều thuộc về Ngài.|但 以 理 說 、 　 神 的 名 是 應 當 稱 頌 的 、 從 亙 古 直 到 永 遠 、 因 為 智 慧 能 力 都 屬 乎 他 ．
Chính Ngài thay đổi thì giờ và mùa, bỏ và lập các vua; ban sự khôn ngoan cho kẻ khôn ngoan, và sự thông biết cho kẻ tỏ sáng.|他 改 變 時 候 、 日 期 、 廢 王 、 立 王 、 將 智 慧 賜 與 智 慧 人 、 將 知 識 賜 與 聰 明 人 ．
Chính Ngài tỏ ra những sự sâu xa kín nhiệm; Ngài biết những sự ở trong tối tăm và sự sáng ở với Ngài.|他 顯 明 深 奧 隱 秘 的 事 、 知 道 暗 中 所 有 的 、 光 明 也 與 他 同 居 。
Hỡi Đức Chúa Trời của tổ phụ tôi! Tôi cảm ơn và ngợi khen Ngài, vì Ngài đã ban cho tôi sự khôn ngoan và quyền phép, và bây giờ Ngài đã khiến tôi biết điều chúng tôi cầu hỏi Ngài, mà tỏ cho chúng tôi biết việc của vua.|我 列 袓 的 　 神 阿 、 我 感 謝 你 、 讚 美 你 、 因 你 將 智 慧 才 能 賜 給 我 ． 允 准 我 們 所 求 的 、 把 王 的 事 給 我 們 指 明 。
Vậy nên Đa-ni-ên đến nhà A-ri-ốc, là người vua đã truyền cho diệt những bác sĩ của Ba-by-lôn; và nói cùng người như vầy: Đừng diệt những bác sĩ của Ba-by-lôn; nhưng hãy đưa tôi vào trước mặt vua, thì tôi sẽ giải nghĩa điềm chiêm bao cho vua.|於 是 但 以 理 進 去 見 亞 略 、 就 是 王 所 派 滅 絕 巴 比 倫 哲 士 的 、 對 他 說 、 不 要 滅 絕 巴 比 倫 的 哲 士 、 求 你 領 我 到 王 面 前 、 我 要 將 夢 的 講 解 告 訴 王 。
Bấy giờ A-ri-ốc vội vàng dẫn Đa-ni-ên đến trước mặt vua, và tâu cùng vua như vầy: Tôi đã tìm thấy một người trong những con cái Giu-đa bị bắt làm phu tù, người ấy sẽ cho vua biết sự giải nghĩa đó.|亞 略 就 急 忙 將 但 以 理 領 到 王 面 前 、 對 王 說 、 我 在 被 擄 的 猶 大 人 中 遇 見 一 人 、 他 能 將 夢 的 講 解 告 訴 王 。
Vua cất tiếng nói cùng Đa-ni-ên, mà người ta vậy gọi là Bên-sơ-xát-sa, rằng: Quả thật rằng ngươi có thể tỏ cho ta biết điềm chiêm bao ta đã thấy, và lời giải nó chăng?|王 問 稱 為 伯 提 沙 撒 的 但 以 理 說 、 你 能 將 我 所 作 的 夢 、 和 夢 的 講 解 、 告 訴 我 麼 。
Đa-ni-ên ở trước mặt vua trả lời rằng: Sự kín nhiệm mà vua đã đòi, thì những bác sĩ, thuật sĩ, đồng bóng, thầy bói đều không có thể tỏ cho vua được.|但 以 理 在 王 面 前 回 答 說 、 王 所 問 的 那 奧 秘 事 、 哲 士 、 用 法 術 的 、 術 士 、 觀 兆 的 、 都 不 能 告 訴 王 ．
Nhưng có một Đức Chúa Trời ở trên trời tỏ ra những đều kín nhiệm; và đã cho vua Nê-bu-cát-nết-sa biết điều sẽ tới trong những ngày sau rốt. Vậy, chiêm bao của vua và các sự hiện thấy của đầu vua đã thấy trên giường mình là như vầy:|只 有 一 位 在 天 上 的 　 神 、 能 顯 明 奧 秘 的 事 他 巳 將 日 後 必 有 的 事 、 指 示 尼 布 甲 尼 撒 王 ． 你 的 夢 、 和 你 在 床 上 腦 中 的 異 象 是 這 樣 。
Hỡi vua, khi vua nằm trên giường, có những tư tưởng về sự xảy đến sau nầy, thì Đấng hay tỏ sự kín nhiệm đã cho vua biết sự sẽ xảy đến.|王 阿 、 你 在 床 上 想 到 後 來 的 事 、 那 顯 明 奧 秘 事 的 主 、 把 將 來 必 有 的 事 指 示 你 ．
Về phần tôi, sự kín nhiệm đó đã tỏ ra cho tôi, không phải vì tôi có sự khôn ngoan gì hơn người nào sống; nhưng để được giải nghĩa cho vua hiểu, và cho vua biết những ý tưởng trong lòng mình.|至 於 那 奧 秘 的 事 顯 明 給 我 、 並 非 因 我 的 智 慧 勝 過 一 切 活 人 、 乃 為 使 王 知 道 夢 的 講 解 、 和 心 裡 的 思 念 。
Hỡi vua, vua nhìn xem, và nầy, có một pho tượng lớn. Pho tượng đó to lớn và rực rỡ lạ thường; đứng trước mặt vua, và hình dạng dữ tợn.|王 阿 、 你 夢 見 一 個 大 像 、 這 像 甚 高 、 極 其 光 耀 、 站 在 你 面 前 、 形 狀 甚 是 可 怕 ．
Đầy pho tượng nầy bằng vàng ròng; ngực và cách tay bằng bạc; bụng và vế bằng đồng;|這 像 的 頭 是 精 金 的 、 胸 膛 和 膀 臂 是 銀 的 、 肚 腹 和 腰 是 銅 的 、
ống chơn bằng sắt; và bàn chơn thì một phần bằng sắt một phần bằng đất sét.|腿 是 鐵 的 、 腳 是 半 鐵 半 泥 的 ．
Vua nhìn pho tượng cho đến khi có một hòn đó chẳng phải bởi tay đục ra, đến đập vào bàn chơn bằng sắt và đất sét của tượng, và làm cho tan nát.|你 觀 看 、 見 有 一 塊 非 人 手 鑿 出 來 的 石 頭 、 打 在 這 像 半 鐵 半 泥 的 腳 上 、 把 腳 砸 碎 、
Bấy giờ sắt, đất sét, đồng, bạc, và vàng đều cùng nhau tan nát cả; trở nên như rơm rác bay trên sân đạp lúa mùa họ, phải gió đùa đi, chẳng tìm nơi nào cho chúng nó; nhưng hòn đã đập vào pho tượng thì hóa ra một hòn núi lớn và đầy khắp đất.|於 是 金 、 銀 、 銅 、 鐵 、 泥 、 都 一 同 砸 得 粉 碎 、 成 如 夏 天 禾 場 上 的 糠 秕 、 被 風 吹 散 、 無 處 可 尋 ． 打 碎 這 像 的 石 頭 、 變 成 一 座 大 山 、 充 滿 天 下 。
Đó là điềm chiêm bao. Bây giờ chúng tôi sẽ giải nghĩa ra trước mặt vua.|這 就 是 那 夢 、 我 們 在 王 面 前 要 講 解 那 夢 ．
Hỡi vua, vua là vua các vua, vì Chúa trên trời đã ban nước, quyền, sức mạnh, và sự vinh hiển cho vua.|王 阿 、 你 是 諸 王 之 王 、 天 上 的 　 神 巳 將 國 度 、 權 柄 、 能 力 、 尊 榮 、 都 賜 給 你 ．
Ngài đã trao trong tay vua những con cái loài người, những thú đồng và chim trời, dầu chúng nó ở nơi nào, Ngài cũng đã làm cho vua được cai trị hết thảy; vậy vua là cái đầu bằng vàng.|凡 世 人 所 住 之 地 的 走 獸 、 並 天 空 的 飛 鳥 、 他 都 交 付 你 手 、 使 你 掌 管 這 一 切 、 你 就 是 那 金 頭 ．
Nhưng sau vua, sẽ dấy lên một nước khác, kém nước của vua; rồi một nước thứ ba, tức là đồng, sẽ cai quản khắp đất.|在 你 以 後 必 另 興 一 國 、 不 及 於 你 ． 又 有 第 三 國 、 就 是 銅 的 、 必 掌 管 天 下 ．
Lại có một nước thứ tư mạnh như sắt; vì sắt hay đập vỡ và bắt phục mọi vật, thì nước ấy cũng sẽ đập vỡ và nghiền nát như là sắt vậy.|第 四 國 、 必 堅 壯 如 鐵 、 鐵 能 打 碎 剋 制 百 物 、 又 能 壓 碎 一 切 、 那 國 也 必 打 碎 壓 制 列 國 。
Còn như vua đã thấy bàn chơn và ngón chơn nửa bằng đất sét nửa bằng sắt, ấy là một nước sẽ phải phân chia ra; nhưng trong nước đó sẽ có sức mạnh của sắt, theo như vua đã thấy sắt lộn với đất sét.|你 既 見 像 的 腳 和 腳 指 頭 、 一 半 是 ? 匠 的 泥 、 一 半 是 鐵 、 那 國 將 來 也 必 分 開 ． 你 既 見 鐵 與 泥 攙 雜 、 那 國 也 必 有 鐵 的 力 量 ．
Những ngón chơn nửa sắt nửa đất sét, nước đó cũng nửa mạnh nửa giòn.|那 腳 指 頭 、 既 是 半 鐵 半 泥 、 那 國 也 必 半 強 半 弱 ．
Vua đã thấy sắt lộn với đất sét, ấy là chúng nó lộn nhau bởi giống loài người; song không dính cùng nhau, cũng như sắt không ăn với đất sét.|你 既 見 鐵 與 泥 攙 雜 、 那 國 民 也 必 與 各 種 人 攙 雜 、 卻 不 能 彼 此 相 合 、 正 如 鐵 與 泥 不 能 相 合 一 樣 。
Trong đời các vua nầy, Chúa trên trời sẽ dựng nên một nước không bao giờ bị hủy diệt, quyền nước ấy không bao giờ để co một dân tộc khác; song nó sẽ đánh tan và hủy diệt hết các nước trước kia, mà mình thì đứng đời đời;|當 那 列 王 在 位 的 時 候 、 天 上 的 　 神 必 另 立 一 國 、 永 不 敗 壞 、 也 不 歸 別 國 的 人 、 卻 要 打 碎 滅 絕 那 一 切 國 、 這 國 必 存 到 永 遠 。
Theo như vua đã xem thấy hòn đá đục ra từ núi, chẳng phải bởi tay, đã đập vỡ sắt, đồng, đất sét, bạc và vàng. Đức Chúa Trời lớn đã cho vua biết sự sau nầy sẽ đến. Điềm chiêm bao nầy là thật, và lời giải nó là chắc chắn.|你 既 看 見 非 人 手 鑿 出 來 的 一 塊 石 頭 、 從 山 而 出 、 打 碎 金 、 銀 、 銅 、 鐵 、 泥 、 那 就 是 至 大 的 　 神 把 後 來 必 有 的 事 給 王 指 明 ． 這 夢 準 是 這 樣 、 這 講 解 也 是 確 實 的 。
Bấy giờ vua Nê-bu-cát-nết-sa sấp mặt xuống, lạy Đa-ni-ên, và truyền dâng lễ vật cùng đồ thơm cho người.|當 時 尼 布 甲 尼 撒 王 、 俯 伏 在 地 、 向 但 以 理 下 拜 、 並 且 吩 咐 人 給 他 奉 上 供 物 和 香 品 。
Đoạn, vua cất tiếng nói cùng Đa-ni-ên rằng: Quả thật, Đức Chúa Trời các ngươi là Đức Chúa Trời của các thần, và là Chúa của các vua; chính Ngài là Đấng tỏ ra những sự kín nhiệm nầy.|王 對 但 以 理 說 、 你 既 能 顯 明 這 奧 秘 的 事 、 你 們 的 　 神 、 誠 然 是 萬 　 神 之 　 神 、 萬 王 之 主 、 又 是 顯 明 奧 秘 事 的 。
Vua bèn tôn Đa-ni-ên lên sang trọng và ban cho người nhiều lễ vật trọng. Vua lập người cai trị cả tỉnh Ba-by-lôn, và làm đầu các quan cai những bác sĩ của Ba-by-lôn.|於 是 王 高 抬 但 以 理 、 賞 賜 他 許 多 上 等 禮 物 、 派 他 管 理 巴 比 倫 全 省 、 又 立 他 為 總 理 、 掌 管 巴 比 倫 的 一 切 哲 士 。
Đa-ni-ên cầu xin vua, thì vua lập Sa-đơ-rắc, Mê-sác và A-bết-Nê-gô cùng cai trị tỉnh Ba-by-lôn, còn Đa-ni-ên thì chầu nơi cửa vua.|但 以 理 求 王 、 王 就 派 沙 得 拉 、 米 煞 、 亞 伯 尼 歌 、 管 理 巴 比 倫 省 的 事 務 、 只 是 但 以 理 常 在 朝 中 侍 立 。

					Ða-ni-ên 3				|
						但以理書 3					
Vua Nê-bu-cát-nết-sa làm một pho tượng bằng vàng, cao sáu mươi cu-đê và ngang sáu cu-đê, để đứng trong đồng bằng Đu-ca, thuộc tỉnh Ba-by-lôn.|尼 布 甲 尼 撒 王 造 了 一 個 金 像 、 高 六 十 肘 、 寬 六 肘 、 立 在 巴 比 倫 省 杜 拉 平 原 ．
Đoạn, vua Nê-bu-cát-nết-sa sai nhóm các quan trấn thủ, lãnh binh, các công tước, các quan đề hình, thủ kho, các nghị viên, quản đốc, và các quan làm đầu các tỉnh, để dự lễ khánh thành pho tượng mà vua Nê-bu-cát-nết-sa đã dựng lên.|尼 布 甲 尼 撒 王 差 人 將 總 督 、 欽 差 、 巡 撫 、 臬 司 、 藩 司 、 謀 士 、 法 官 、 和 各 省 的 官 員 、 都 召 了 來 、 為 尼 布 甲 尼 撒 王 所 立 的 像 、 行 開 光 之 禮 。
Vậy, các quan trấn thủ, lãnh binh, các công tước, các quan đề hình, thủ kho, các nghị viên, quản đốc, và hết thảy những người làm đầu các tỉnh đều nhóm lại để dự lễ khánh thành pho tượng mà vua Nê-bu-cát-nết-sa đã dựng lên; và họ đứng trước pho tượng mà vua Nê-bu-cát-nết-sa đã dựng.|於 是 總 督 、 欽 差 、 巡 撫 、 臬 司 、 藩 司 、 謀 士 、 法 官 、 和 各 省 的 官 員 、 都 聚 集 了 來 、 要 為 尼 布 甲 尼 撒 王 所 立 的 像 、 行 開 光 之 禮 、 就 站 在 尼 布 甲 尼 撒 所 立 的 像 前 。
Bấy giờ sứ giả rao lớn tiếng lên rằng: Các dân, các nước, các thứ tiếng, đây nầy, lịnh truyền cho các ngươi.|那 時 傳 令 的 、 大 聲 呯 叫 說 、 各 方 、 各 國 、 各 族 的 人 哪 〔 族 原 文 作 舌 下 同 〕 、 有 令 傳 與 你 們 。
Khi nào các ngươi nghe tiếng còi, kèn, đờn cầm, đờn sắt, quyển, sáo và các thứ nhạc khí, thì khá sấp mình xuống để thờ lạy tượng vàng mà vua Nê-bu-cát-nết-sa đã dựng.|你 們 一 聽 見 角 、 笛 、 琵 琶 、 琴 、 瑟 、 笙 、 和 各 樣 樂 器 的 聲 音 、 就 當 俯 伏 敬 拜 尼 布 甲 尼 撒 王 所 立 的 金 像 ．
Kẻ nào không sấp mình xuống và không thờ lạy, tức thì sẽ phải quăng vào giữa lò lửa hực.|凡 不 俯 伏 敬 拜 的 、 必 立 時 扔 在 烈 火 的 ? 中 。
Vậy nên, khi các dân nghe tiếng còi, kèn, đờn cầm, đờn sắt, quyển, và các thứ nhạc khí, thì các dân, các nước, các thứ tiếng, thảy đều sấp mình xuống, và thờ lạy pho tượng vàng mà vua Nê-bu-cát-nết-sa đã dựng.|因 此 各 方 、 各 國 、 各 族 的 人 民 、 一 聽 見 角 、 笛 、 琵 琶 、 琴 、 瑟 和 各 樣 樂 器 的 聲 音 、 就 都 俯 伏 敬 拜 尼 布 甲 尼 撒 王 所 立 的 金 像 。
Khi ấy, có mấy người Canh-đê đến gần để tố cáo những người Giu-đa.|那 時 有 幾 個 迦 勒 底 人 、 進 前 來 控 告 猶 大 人 ．
Vậy họ cất tiếng và tâu cùng vua Nê-bu-cát-nết-sa rằng: Hỡi vua, nguyền vua sống đời đời!|他 們 對 尼 布 甲 尼 撒 王 說 、 願 王 萬 歲 ．
