
					I Ti-mô-thê 1				|
cầm giữ đức tin và lương tâm tốt. Mấy kẻ đã chối bỏ lương tâm đó, thì đức tin họ bị chìm đắm:|常 存 信 心 、 和 無 虧 的 良 心 ． 有 人 丟 棄 良 心 、 就 在 真 道 上 如 同 船 破 壞 了 一 般 。
trong số ấy có Hy-mê-nê và A-léc-xan-đơ, ta đã phó cho quỉ Sa-tan rồi, hầu cho họ học biết đừng phạm thượng nữa.|其 中 有 許 米 乃 和 亞 力 山 大 ． 我 已 經 把 他 們 交 給 撒 但 、 使 他 們 受 責 罰 、 就 不 再 謗 瀆 了 。

					I Ti-mô-thê 2				|
						提摩太前書 2					
Vậy, trước hết mọi sự ta dặn rằng, phải khẩn nguyện, cầu xin, kêu van, tạ ơn cho mọi người,|我 勸 你 第 一 要 為 萬 人 懇 求 、 禱 告 、 代 求 、 祝 謝 ．
cho các vua, cho hết thảy các bậc cầm quyền, để chúng ta được lấy điều nhơn đức và thành thật mà ở đời cho bình tịnh yên ổn.|為 君 王 和 一 切 在 位 的 也 該 如 此 ． 使 我 們 可 以 敬 虔 端 正 、 平 安 無 事 的 度 日 。
Ay là một sự lành và đẹp mắt Đức Chúa Trời, là Cứu Chúa chúng ta,|這 是 好 的 、 在 　 神 我 們 救 主 面 前 可 蒙 悅 納 。
Ngài muốn cho mọi người được cứu rỗi và hiểu biết lẽ thật.|他 願 意 萬 人 得 救 、 明 白 真 道 ．
Vì chỉ có một Đức Chúa Trời, và chỉ có một Đấng Trung bảo ở giữa Đức Chúa Trời và loài người, tức là Đức Chúa Jêsus Christ, là người;|因 為 只 有 一 位 　 神 、 在 　 神 和 人 中 間 、 只 有 一 位 中 保 、 乃 是 降 世 為 人 的 基 督 耶 穌 。
Ngài đã phó chính mình Ngài làm giá chuộc mọi người. Ay là lời chứng đã làm đúng kỳ₫|他 捨 自 己 作 萬 人 的 贖 價 ． 到 了 時 候 、 這 事 必 證 明 出 來 。
, vì lời chứng ấy, ta đã được cử làm thầy giảng, là sứ đồ và giáo sư cho dân ngoại, để dạy họ về đức tin và về lẽ thật.|我 為 此 奉 派 、 作 傳 道 的 、 作 使 徒 、 作 外 邦 人 的 師 傅 、 教 導 他 們 相 信 、 學 習 真 道 。 我 說 的 是 真 話 、 並 不 是 謊 言 。
Vậy, ta muốn những người đờn ông đều giơ tay tinh sạch lên trời, mà cầu nguyện khắp mọi nơi, chớ có giận dữ và cãi cọ.|我 願 男 人 無 忿 怒 、 無 爭 論 、 〔 爭 論 或 作 疑 惑 〕 舉 起 聖 潔 的 手 、 隨 處 禱 告 。
Ta cũng muốn rằng những người đờn bà ăn mặc một cách gọn ghẽ, lấy nết na và đức hạnh giồi mình, không dùng những tóc gióc, vàng, châu ngọc và áo quần quí giá,|又 願 女 人 廉 恥 、 自 守 、 以 正 派 衣 裳 為 妝 飾 、 不 以 編 髮 、 黃 金 、 珍 珠 、 和 貴 價 的 衣 裳 為 妝 飾 ．
nhưng dùng việc lành, theo lẽ đương nhiên của người đờn bà tin kính Chúa.|只 要 有 善 行 ． 這 纔 與 自 稱 是 敬 　 神 的 女 人 相 宜 。
Đờn bà phải yên lặng mà nghe dạy, lại phải vâng phục mọi đàng.|女 人 要 沉 靜 學 道 、 一 味 的 順 服 。
Ta không cho phép đờn bà dạy dỗ, cũng không được cầm quyền trên đờn ông; nhưng phải ở yên lặng.|我 不 許 女 人 講 道 、 也 不 許 他 轄 管 男 人 、 只 要 沉 靜 。
Vì A-đam được dựng nên trước nhứt, rồi mới tới Ê-va.|因 為 先 造 的 是 亞 當 、 後 造 的 是 夏 娃 。
Lại không phải A-đam bị dỗ dành mà sa vào tội lỗi.|且 不 是 亞 當 被 引 誘 、 乃 是 女 人 被 引 誘 、 陷 在 罪 裡 。
Dầu vậy, nếu đờn bà lấy đức hạnh mà bền đỗ trong đức tin, trong sự yêu thương, và trong sự nên thánh, thì sẽ nhơn đẻ con mà được cứu rỗi.|然 而 女 人 若 常 存 信 心 愛 心 、 又 聖 潔 自 守 、 就 必 在 生 產 上 得 救 。

					I Ti-mô-thê 3				|
						提摩太前書 3					
Ví bằng có kẻ mong được làm giám mục, ấy là ưa muốn một việc tốt lành; lời đó là phải lắm.|人 若 想 要 得 監 督 的 職 分 、 就 是 羨 慕 善 工 ． 這 話 是 可 信 的 ．
Vậy, người giám mục cần phải không chỗ trách được, là chồng chỉ một vợ mà thôi, có tiết độ, có tài trí, xứng đáng, hay tiếp khách và khéo dạy dỗ.|作 監 督 的 、 必 須 無 可 指 責 、 只 作 一 個 婦 人 的 丈 夫 、 有 節 制 、 自 守 、 端 正 、 樂 意 接 待 遠 人 、 善 於 教 導 ．
Đừng mê rượu, cũng đừng hung bạo, nhưng phải mềm mại hòa nhã; lại đừng ham tiền bạc;|不 因 酒 滋 事 、 不 打 人 、 只 要 溫 和 、 不 爭 競 、 不 貪 財 ．
phải khéo cai trị nhà riêng mình, giữ con cái mình cho vâng phục và ngay thật trọn vẹn;|好 好 管 理 自 己 的 家 、 使 兒 女 凡 事 端 莊 順 服 。 〔 或 作 端 端 莊 莊 的 使 兒 女 順 服 〕
vì nếu có ai không biết cai trị nhà riêng mình, thì làm sao cai trị được Hội thánh của Đức Chúa Trời?|人 若 不 知 道 管 理 自 己 的 家 、 焉 能 照 管 　 神 的 教 會 呢 。
Người mới tin đạo không được làm giám mục, e người tự kiêu mà sa vào án phạt của ma quỉ chăng.|初 入 教 的 不 可 作 監 督 、 恐 怕 他 自 高 自 大 、 就 落 在 魔 鬼 所 受 的 刑 罰 裡 。
Người giám mục lại phải được người ngoại làm chứng tốt cho, kẻo bị sỉ nhục và mắc bẫy ma quỉ.|監 督 也 必 須 在 教 外 有 好 名 聲 、 恐 怕 被 人 毀 謗 、 落 在 魔 鬼 的 網 羅 裡 。
Các chấp sự cũng phải cho nghiêm trọng, không được nói hai lời, không được ghiền rượu, không được tham lợi phi nghĩa,|作 執 事 的 也 是 如 此 、 必 須 端 莊 、 不 一 口 兩 舌 、 不 好 喝 酒 、 不 貪 不 義 之 財 ．
nhưng phải lấy lương tâm thanh sạch giữ lẽ mầu nhiệm của đức tin.|要 存 清 潔 的 良 心 、 固 守 真 道 的 奧 秘 。
Những người đó cũng phải chịu thử thách trước đã, nếu không chỗ trách được thì mới được làm chức chấp sự.|這 等 人 也 要 先 受 試 驗 ． 若 沒 有 可 責 之 處 、 然 後 叫 他 們 作 執 事 。
Vợ các chấp sự cũng phải nghiêm trọng, chớ nói xấu, phải có tiết độ và trung tín trong mọi việc.|女 執 事 〔 原 文 作 女 人 〕 也 是 如 此 、 必 須 端 莊 、 不 說 讒 言 、 有 節 制 、 凡 事 忠 心 。
Các chấp sự chỉ nên làm chồng của một vợ mà thôi, phải khéo cai trị con cái và nhà riêng mình.|執 事 只 要 作 一 個 婦 人 的 丈 夫 、 好 好 管 理 兒 女 和 自 己 的 家 。
Vì ai khéo làm chức vụ mình thì được bực cao trọng và lòng rất dạn dĩ trong đức tin đến Đức Chúa Jêsus Christ.|因 為 善 作 執 事 的 、 自 己 就 得 到 美 好 的 地 步 、 並 且 在 基 督 耶 穌 裡 的 真 道 上 大 有 膽 量 。
Ta mong mau mau đến thăm con, nhưng viết thơ nầy,|我 指 望 快 到 你 那 裡 去 、 所 以 先 將 這 些 事 寫 給 你 ．
phòng ta có chậm đến, thì con biết làm thể nào trong nhà Đức Chúa Trời, tức là Hội thánh của Đức Chúa Trời hằng sống, trụ và nền của lẽ thật vậy.|倘 若 我 耽 延 日 久 、 你 也 可 以 知 道 在 　 神 的 家 中 當 怎 樣 行 ． 這 家 就 是 永 生 　 神 的 教 會 、 真 理 的 柱 石 和 根 基 。
Mọi người đều cho sự mầu nhiệm của sự tin kính là lớn lắm: Đấng đã được tỏ ra trong xác thịt, Thì đã được Đức Thánh Linh xưng là công bình, Được thiên sứ trông thấy, Được giảng ra cho dân ngoại, Được thiên hạ tin cậy, Được cất lên trong sự vinh hiển.|大 哉 、 敬 虔 的 奧 秘 、 無 人 不 以 為 然 ． 就 是 　 神 在 肉 身 顯 現 、 被 聖 靈 稱 義 、 〔 或 作 在 靈 性 稱 義 〕 被 天 使 看 見 、 被 傳 於 外 邦 、 被 世 人 信 服 、 被 接 在 榮 耀 裡 。

					I Ti-mô-thê 4				|
						提摩太前書 4					
Vả, Đức Thánh Linh phán tỏ tường rằng, trong đời sau rốt, có mấy kẻ sẽ bội đạo mà theo các thần lừa dối, và đạo lý của quỉ dữ,|聖 靈 明 說 、 在 後 來 的 時 候 、 必 有 人 離 棄 真 道 、 聽 從 那 引 誘 人 的 邪 靈 、 和 鬼 魔 的 道 理 。
bị lầm lạc bởi sự giả hình của giáo sư dối, là kẻ có lương tâm đã lì,|這 因 為 說 謊 之 人 的 假 冒 ． 這 等 人 的 良 心 、 如 同 被 熱 鐵 烙 慣 了 一 般 。
họ sẽ cấm cưới gả, và biểu kiêng các thức ăn Đức Chúa Trời đã dựng nên cho kẻ có lòng tin và biết lẽ thật, tạ ơn mà dùng lấy.|他 們 禁 止 嫁 娶 、 又 禁 戒 食 物 、 〔 或 作 又 叫 人 戒 葷 〕 就 是 　 神 所 造 叫 那 信 而 明 白 真 道 的 人 、 感 謝 著 領 受 的 。
Vả, mọi vật Đức Chúa Trời đã dựng nên đều là tốt lành cả, không một vật chi đáng bỏ, miễn là mình cảm ơn mà ăn lấy thì được;|凡 　 神 所 造 的 物 、 都 是 好 的 ． 若 感 謝 著 領 受 、 就 沒 有 一 樣 可 棄 的 ．
vì nhờ lời Đức Chúa Trời và lời cầu nguyện mà vật đó được nên thánh.|都 因 　 神 的 道 和 人 的 祈 求 、 成 為 聖 潔 了 。
Con giải tỏ các việc đó cho anh em, thì con sẽ nên kẻ giúp việc ngay lành của Đức Chúa Jêsus Christ, được nuôi bởi các lời của đức tin và đạo lý lành mà con đã theo.|你 若 將 這 些 事 題 醒 弟 兄 們 、 便 是 基 督 耶 穌 的 好 執 事 、 在 真 道 的 話 語 、 和 你 向 來 所 服 從 的 善 道 上 、 得 了 教 育 。
Những lời hư ngụy phàm tục giống như chuyện bịa các bà già, thì hãy bỏ đi, và tập tành sự tin kính.|只 是 要 棄 絕 那 世 俗 的 言 語 、 和 老 婦 荒 渺 的 話 、 在 敬 虔 上 操 練 自 己 。
Vì sự tập tành thân thể ích lợi chẳng bao lăm, còn như sự tin kính là ích cho mọi việc, vì có lời hứa về đời nầy và về đời sau nữa.|操 練 身 體 、 益 處 還 少 ． 惟 獨 敬 虔 、 凡 事 都 有 益 處 ． 因 有 今 生 和 來 生 的 應 許 ．
Ay đó là một lời nói chắc chắn, đáng đem lòng tin trọn vẹn mà nhận lấy.|這 話 是 可 信 的 、 是 十 分 可 佩 服 的 。
Vả, nếu chúng ta khó nhọc và đánh trận, ấy là đã để sự trông cậy ta trong Đức Chúa Trời hằng sống, Ngài là Cứu Chúa của mọi người, mà nhứt là của tín đồ.|我 們 勞 苦 努 力 、 正 是 為 此 ． 因 我 們 的 指 望 在 乎 永 生 的 　 神 ． 他 是 萬 人 的 救 主 、 更 是 信 徒 的 救 主 。
Kìa là điều con phải rao truyền và dạy dỗ.|這 些 事 你 要 吩 咐 人 、 也 要 教 導 人 。
Chớ để người ta khinh con vì trẻ tuổi; nhưng phải lấy lời nói, nết làm, sự yêu thương, đức tin và sự tinh sạch mà làm gương cho các tín đồ.|不 可 叫 人 小 看 你 年 輕 ． 總 要 在 言 語 、 行 為 、 愛 心 、 信 心 、 清 潔 上 ． 都 作 信 徒 的 榜 樣 。
Hãy chăm chỉ đọc sách, khuyên bảo, dạy dỗ, cho đến chừng ta đến.|你 要 以 宣 讀 、 勸 勉 、 教 導 為 念 、 直 等 到 我 來 。
Đừng bỏ quên ơn ban trong lòng con, là ơn bởi lời tiên tri nhơn hội trưởng lão đặt tay mà đã ban cho con vậy.|你 不 要 輕 忽 所 得 的 恩 賜 、 就 是 從 前 藉 著 豫 言 、 在 眾 長 老 按 手 的 時 候 、 賜 給 你 的 。
Hãy săn sóc chuyên lo những việc đó, hầu cho thiên hạ thấy sự tấn tới của con.|這 些 事 你 要 殷 勤 去 作 、 並 要 在 此 專 心 、 使 眾 人 看 出 你 的 長 進 來 。
Hãy giữ chính mình con và sự dạy dỗ của con; phải bền đỗ trong mọi sự đó, vì làm như vậy thì con và kẻ nghe con sẽ được cứu.|你 要 謹 慎 自 己 和 自 己 的 教 訓 、 要 在 這 些 事 上 恆 心 ． 因 為 這 樣 行 、 又 能 救 自 己 、 又 能 救 聽 你 的 人 。

					I Ti-mô-thê 5				|
						提摩太前書 5					
Chớ quở nặng người già cả, nhưng hãy khuyên dỗ họ như cha, còn kẻ trẻ thì như anh em,|不 可 嚴 責 老 年 人 、 只 要 勸 他 如 同 父 親 ． 勸 少 年 人 如 同 弟 兄 ．
đờn bà có tuổi cũng như mẹ, bọn thiếu nữ như chị em, mà phải lấy cách thánh sạch trọn vẹn.|勸 老 年 婦 女 如 同 母 親 ． 勸 少 年 婦 女 如 同 姐 妹 ． 總 要 清 清 潔 潔 的 。
Hãy kính những người đờn bà góa thật là góa.|要 尊 敬 那 真 為 寡 婦 的 。
Nhưng nếu bà góa có con hoặc cháu, thì con cháu trước phải học làm điều thảo đối với nhà riêng mình và báo đáp cha mẹ; vì điều đó đẹp lòng Đức Chúa Trời.|若 寡 婦 有 兒 女 、 或 有 孫 子 孫 女 、 便 叫 他 們 先 在 自 己 家 中 學 著 行 孝 、 報 答 親 恩 ． 因 為 這 在 　 神 面 前 是 可 悅 納 的 。
Người thật góa ở một mình, đã để lòng trông cậy nơi Đức Chúa Trời, ngày đêm bền lòng cầu nguyện nài xin.|那 獨 居 無 靠 真 為 寡 婦 的 、 是 仰 賴 　 神 、 晝 夜 不 住 的 祈 求 禱 告 。
Nhưng về phần kẻ ưa sự vui chơi, thì dẫu sống cũng như chết.|但 那 好 宴 樂 的 寡 婦 、 正 活 著 的 時 候 、 也 是 死 的 。
Hãy nhắc lại những điều đó cho họ hầu cho họ không chỗ trách được.|這 些 事 你 要 囑 咐 他 們 、 叫 他 們 無 可 指 責 。
Ví bằng có ai không săn sóc đến bà con mình, nhứt là không săn sóc đến người nhà mình, ấy là người chối bỏ đức tin, lại xấu hơn người không tin nữa.|人 若 不 看 顧 親 屬 、 就 是 背 了 真 道 、 比 不 信 的 人 還 不 好 ． 不 看 顧 自 己 家 裡 的 人 、 更 是 如 此 。
Cho được ghi tên vào sổ đờn bà góa, thì người đờn bà phải đủ sáu mươi tuổi, vốn chỉ có một chồng mà thôi,|寡 婦 記 在 冊 子 上 、 必 須 年 紀 到 六 十 歲 、 從 來 只 作 一 個 丈 夫 的 妻 子 、
phải là người được tiếng khen vì việc phước đức mình, như đã nuôi con cái, đãi đằng khách lạ, rửa chơn thánh đồ, cứu giúp kẻ khốn nạn, và làm đủ các việc phước đức.|又 有 行 善 的 名 聲 、 就 如 養 育 兒 女 、 接 待 遠 人 、 洗 聖 徒 的 腳 、 救 濟 遭 難 的 人 、 竭 力 行 各 樣 善 事 。
Nhưng hãy từ chối người đờn bà góa còn trẻ quá; vì lúc thú vui xui họ lìa khỏi Đấng Christ, thì họ muốn lấy chồng,|至 於 年 輕 的 寡 婦 、 就 可 以 辭 他 ． 因 為 他 們 的 情 慾 發 動 、 違 背 基 督 的 時 候 、 就 想 要 嫁 人 。
bội lời thệ ước ban đầu mà chuốc lấy điều quở trách vào mình.|他 們 被 定 罪 、 是 因 廢 棄 了 當 初 所 許 的 願 ．
Đó là vì họ hay ở không, quen thói chạy nhà nầy sang nhà khác; còn thày lay thóc mách, hay nói những việc không đáng nói nữa.|並 且 他 們 又 習 慣 懶 惰 、 挨 家 閒 遊 ． 不 但 是 懶 惰 、 又 說 長 道 短 、 好 管 閒 事 、 說 些 不 當 說 的 話 。
Vậy ta muốn những gái góa còn trẻ nên lấy chồng, sanh con cái, cai trị nhà mình, khỏi làm cớ cho kẻ thù nghịch nói xấu.|所 以 我 願 意 年 輕 的 寡 婦 嫁 人 、 生 養 兒 女 、 治 理 家 務 、 不 給 敵 人 辱 罵 的 把 柄 ．
Vì đã có một vài bà góa bội đi mà theo quỉ Sa-tan.|因 為 已 經 有 轉 去 隨 從 撒 但 的 。
Nếu tín đồ nào có đờn bà góa trong nhà mình, thì phải giúp đỡ họ, cho khỏi lụy đến Hội thánh, hầu cho Hội thánh có thể giúp đỡ những người thật góa.|信 主 的 婦 女 、 若 家 中 有 寡 婦 、 自 己 就 當 救 濟 他 們 、 不 可 累 著 教 會 、 好 使 教 會 能 救 濟 那 真 無 倚 靠 的 寡 婦 。
Các trưởng lão khéo cai trị Hội thánh thì mình phải kính trọng bội phần, nhứt là những người chịu chức rao giảng và dạy dỗ.|那 善 於 管 理 教 會 的 長 老 、 當 以 為 配 受 加 倍 的 敬 奉 ． 那 勞 苦 傳 道 教 導 人 的 、 更 當 如 此 。
Vì Kinh Thánh rằng: Ngươi chớ khớp miệng con bò đương đạp lúa; và người làm công thì đáng được tiền công mình.|因 為 經 上 說 、 『 牛 在 埸 上 踹 穀 的 時 候 、 不 可 籠 住 他 的 嘴 。 』 又 說 、 『 工 人 得 工 價 是 應 當 的 。 』
Đừng chấp một cái đơn nào kiện một trưởng lão mà không có hai hoặc ba người làm chứng.|控 告 長 老 的 呈 子 、 非 有 兩 三 個 見 證 就 不 要 收 。
Kẻ có lỗi, hãy quở trách họ trước mặt mọi người, để làm cho kẻ khác sợ.|犯 罪 的 人 、 當 在 眾 人 面 前 責 備 他 、 叫 其 餘 的 人 也 可 以 懼 怕 。
Trước mặt Đức Chúa Trời, trước mặt Đức Chúa Jêsus Christ, và trước mặt các thiên sứ được chọn, ta răn bảo con giữ những điều đó, đừng in trí trước, phàm việc gì cũng chớ tây vị bên nào.|我 在 　 神 和 基 督 耶 穌 並 蒙 揀 選 的 天 使 面 前 囑 咐 你 、 要 遵 守 這 些 話 、 不 可 存 成 見 、 行 事 也 不 可 有 偏 心 。
Đừng vội vàng đặt tay trên ai, chớ hề nhúng vào tội lỗi kẻ khác; hãy giữ mình cho thanh sạch.|給 人 行 按 手 的 禮 、 不 可 急 促 ． 不 要 在 別 人 的 罪 上 有 分 ． 要 保 守 自 己 清 潔 。
Đừng chỉ uống nước luôn; nhưng phải uống một ít rượu, vì cớ tì vị con, và con hay khó ở.|因 你 胃 口 不 清 、 屢 次 患 病 、 再 不 要 照 常 喝 水 、 可 以 稍 微 用 點 酒 。
Có người thì tội lỗi bị bày tỏ và chỉ người đó ra trước khi phán xét; còn có người thì sau rồi mới bị bày tỏ ra.|有 些 人 的 罪 是 明 顯 的 、 如 同 先 到 審 判 案 前 ． 有 些 人 的 罪 是 隨 後 跟 了 去 的 。
Các việc lành cũng vậy: có việc thì bày ra, lại có việc thì không bày ra, mà sau rồi cũng không giấu kín được.|這 樣 、 善 行 也 有 明 顯 的 ． 那 不 明 顯 的 、 也 不 能 隱 藏 。

					I Ti-mô-thê 6				|
						提摩太前書 6					
Hết thảy những kẻ dưới ách đầy tớ phải coi chủ mình là đáng trọng mọi đàng, hầu cho danh hiệu và đạo lý của Đức Chúa Trời khỏi bị làm trò cho người phạm thượng.|凡 在 軛 下 作 僕 人 的 、 當 以 自 己 主 人 配 受 十 分 的 恭 敬 、 免 得 　 神 的 名 和 道 理 、 被 人 褻 瀆 。
Ai có chủ là tín đồ, thì không nên lấy cớ anh em mà khinh dể, nhưng phải càng hầu việc hơn, vì kẻ được công của mình là tín đồ và người rất yêu dấu. Đó là điều con phải dạy dỗ khuyên bảo họ.|僕 人 有 信 道 的 主 人 、 不 可 因 為 與 他 是 弟 兄 就 輕 看 他 ． 更 要 加 意 服 事 他 ． 因 為 得 服 事 之 益 處 的 、 是 信 道 蒙 愛 的 。 你 要 以 此 教 訓 人 、 勸 勉 人 。
Ví thử có người dạy dỗ đạo khác, không theo lời có ích của Đức Chúa Jêsus Christ chúng ta và đạo lý theo sự tôn kính,|若 有 人 傳 異 教 、 不 服 從 我 們 主 耶 穌 基 督 純 正 的 話 、 與 那 合 乎 敬 虔 的 道 理 ．
thì người đó là lên mình kiêu ngạo, không biết chi hết; nhưng có bịnh hay gạn hỏi, cãi lẫy, bởi đó sanh sự ghen ghét, tranh cạnh, gièm chê, nghi ngờ xấu xa,|他 是 自 高 自 大 、 一 無 所 知 、 專 好 問 難 、 爭 辯 言 詞 、 從 此 就 生 出 嫉 妒 、 分 爭 、 毀 謗 、 妄 疑 、
cùng những lời cãi lẽ hư không của kẻ có lòng hư xấu, thiếu mất lẽ thật, coi sự tôn kính như là nguồn lợi vậy.|並 那 壞 了 心 術 、 失 喪 真 理 之 人 的 爭 競 。 他 們 以 敬 虔 為 得 利 的 門 路 ．
Vả, sự tôn kính cùng sự thỏa lòng ấy là một lợi lớn.|然 而 敬 虔 加 上 知 足 的 心 便 是 大 利 了 ．
Vì chúng ta ra đời chẳng đem gì theo, chúng ta qua đời cũng chẳng đem gì đi được.|因 為 我 們 沒 有 帶 甚 麼 到 世 上 來 、 也 不 能 帶 甚 麼 去 ．
Như vậy, miễn mà đủ ăn đủ mặc thì phải thỏa lòng;|只 要 有 衣 有 食 、 就 當 知 足 。
Còn như kẻ muốn nên giàu có, ắt sa vào sự cám dỗ, mắc bẫy dò, ngã trong nhiều sự tham muốn vô lý thiệt hại kia, là sự làm đắm người ta vào sự hủy diệt hư mất.|但 那 些 想 要 發 財 的 人 、 就 陷 在 迷 惑 、 落 在 網 羅 、 和 許 多 無 知 有 害 的 私 慾 裡 、 叫 人 沉 在 敗 壞 和 滅 亡 中 。
Bởi chưng sự tham tiền bạc là cội rễ mọi điều ác, có kẻ vì đeo đuổi nó mà bội đạo, chuốc lấy nhiều điều đau đớn.|貪 財 是 萬 惡 之 根 ． 有 人 貪 戀 錢 財 、 就 被 引 誘 離 了 真 道 、 用 許 多 愁 苦 把 自 己 刺 透 了 。
