
					I-sai-a 1				|
và nhiều dân tộc sẽ đến mà nói rằng: Hãy đến; chúng ta hãy lên núi Đức Giê-hô-va, nơi nhà Đức Chúa Trời của Gia-cốp: Ngài sẽ dạy chúng ta về đường lối Ngài, chúng ta sẽ đi trong các nẻo Ngài. Vì luật pháp sẽ ra từ Si-ôn, lời Đức Giê-hô-va sẽ ra từ Giê-ru-sa-lem.|必 有 許 多 國 的 民 前 往 、 說 、 來 罷 、 我 們 登 耶 和 華 的 山 、 奔 雅 各 　 神 的 殿 ． 主 必 將 他 的 道 教 訓 我 們 、 我 們 也 要 行 他 的 路 ． 因 為 訓 誨 必 出 於 錫 安 、 耶 和 華 的 言 語 、 必 出 於 耶 路 撒 冷 。
Ngài sẽ làm sự phán xét trong các nước, đoán định về nhiều dân. Bấy giờ họ sẽ lấy gươm rèn lưỡi cày, lấy giáo rèn lưỡi liềm. Nước nầy chẳng còn giá gươm lên nghịch cùng nước khác, người ta chẳng còn tập sự chiến tranh.|他 必 在 列 國 中 施 行 審 判 、 為 許 多 國 民 斷 定 是 非 ． 他 們 要 將 刀 打 成 犁 頭 、 把 槍 打 成 鐮 刀 ． 這 國 不 舉 刀 攻 擊 那 國 、 他 們 也 不 再 學 習 戰 事 。
Hỡi nhà Gia-cốp, hãy đến, chúng ta hãy bước đi trong sự sáng của Đức Giê-hô-va.|雅 各 家 阿 、 來 罷 、 我 們 在 耶 和 華 的 光 明 中 行 走 。
Thật Chúa đã bỏ dân Ngài, là nhà Gia-cốp, vì họ đầy dẫy tục phương đông, và bói khoa như người Phi-li-tin, lại giao ước với con cái dân ngoại.|耶 和 華 、 你 離 棄 了 你 百 姓 雅 各 家 、 是 因 他 們 充 滿 了 東 方 的 風 俗 、 作 觀 兆 的 、 像 非 利 士 人 一 樣 、 並 與 外 邦 人 擊 掌 。
Xứ nó đầy bạc và vàng, của cải vô cùng; xứ nó đầy những ngữa, xe cộ vô số.|他 們 的 國 滿 了 金 銀 、 財 寶 也 無 窮 ． 他 們 的 地 滿 了 馬 匹 、 車 輛 也 無 數 。
Xứ nó chan chứa những hình tượng, họ thờ lạy đồ tay mình làm ra, đồ ngón tay mình tạo nên.|他 們 的 地 滿 了 偶 像 ． 他 們 跪 拜 自 己 手 所 造 的 、 就 是 自 己 指 頭 所 作 的 。
Kẻ hèn sẽ bị khuất, người sang sẽ bị hạ mình; vậy Chúa đừng tha họ!|卑 賤 人 屈 膝 、 尊 貴 人 下 跪 ． 所 以 不 可 饒 恕 他 們 。
Ngươi khá vào nơi vầng đá, ẩn mình trong bụi đất, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sự chói sáng của uy nghiêm Ngài.|你 當 進 入 巖 穴 、 藏 在 土 中 、 躲 避 耶 和 華 的 驚 嚇 、 、 和 他 威 嚴 的 榮 光 。
Con mắt ngó cao của loài người sẽ bị thấp xuống, sự kiêu ngạo của người ta sẽ bị hạ đi; trong ngày đó chỉ Đức Giê-hô-va là tôn trọng.|到 那 日 、 眼 目 高 傲 的 必 降 為 卑 、 性 情 狂 傲 的 都 必 屈 膝 ． 惟 獨 耶 和 華 被 尊 崇 。
Vì sẽ có một ngày của Đức Giê-hô-va vạn quân đến trên mọi vật kiêu căng, ngạo mạn, tự cao; nó sẽ bị hạ xuống;|必 有 萬 軍 耶 和 華 降 罰 的 一 個 日 子 、 要 臨 到 驕 傲 狂 妄 的 、 一 切 自 高 的 都 必 降 為 卑 ．
lại đến trên mọi cây dẽ của Ba-san;|又 臨 到 利 巴 嫩 高 大 的 香 柏 樹 、 、 和 巴 珊 的 橡 樹 ．
cùng trên mọi núi cao, mọi đồi cả,|又 臨 到 一 切 高 山 的 峻 嶺 ．
trên mọi tháp cao và mọi vách thành vững bền,|又 臨 到 高 臺 、 、 和 堅 固 城 牆 ．
trên mọi tàu bè của Ta-rê-si, và mọi vật chi đẹp mắt.|又 臨 到 他 施 的 船 隻 、 並 一 切 可 愛 的 美 物 ．
Sự tự cao của loài người sẽ bị dằn xuống, và sự cậy mình của người ta sẽ bị hạ đi; trong ngày đó chỉ Đức Giê-hô-va là tôn trọng.|驕 傲 的 必 屈 膝 、 狂 妄 的 必 降 卑 ． 在 那 日 、 惟 獨 耶 和 華 被 尊 崇 。
Bấy giờ các thần tượng sẽ qua hết đi.|偶 像 必 全 然 廢 棄 。
Người ta sẽ vào trong hang đá, trong hầm đất, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sẽ chói sáng của uy nghiêm Ngài, khi Ngài dấy lên đặng làm rúng động đất cách mạnh lắm.|耶 和 華 興 起 使 地 大 震 動 的 時 候 、 人 就 進 入 石 洞 、 進 入 土 穴 、 躲 避 耶 和 華 的 驚 嚇 、 、 和 他 威 嚴 的 榮 光 。
Trong ngày đó, người ta sẽ ném cho chuột cho dơi những thần tượng bằng bạc bằng vàng mà họ làm ra cho mình thờ lạy;|到 那 日 、 人 必 將 為 拜 而 造 的 金 偶 像 、 銀 偶 像 、 拋 給 田 鼠 、 和 蝙 蝠 ．
và vào trong hang đá, trong kẽ đá, đặng tránh khỏi sự kinh khiếp Đức Giê-hô-va và sự chói sáng của uy nghiêm Ngài, khi Ngài dấy lên đặng làm rúng động đất cách mạnh lắm.|到 耶 和 華 興 起 使 地 大 震 動 的 時 候 、 人 好 進 入 磐 石 洞 中 、 、 和 巖 石 穴 裡 、 躲 避 耶 和 華 的 驚 嚇 、 、 和 他 威 嚴 的 榮 光 。
Chớ cậy ở loài người, là loài có hơi thở trong lỗ mũi; vì họ nào có đáng kể gì đâu?|你 們 休 要 倚 靠 世 人 、 他 鼻 孔 裡 不 過 有 氣 息 ． 他 在 一 切 事 上 可 算 甚 麼 呢 。

					I-sai-a 3				|
						以賽亞書 3					
Nầy, Chúa, là Đức Giê-hô-va vạn quân, sẽ cất lấy chói và gậy khỏi Giê-ru-sa-lem và Giu-đa, tức là cả bánh nó cậy và cả nước nó nhờ.|主 萬 軍 之 耶 和 華 從 耶 路 撒 冷 和 猶 大 、 除 掉 眾 人 所 倚 靠 的 、 所 仗 賴 的 、 就 是 所 倚 靠 的 糧 、 所 仗 賴 的 水 ．
Ngài sẽ cất lấy những người mạnh mẽ, chiến sĩ, quan xét, đấng tiên tri, thầy bói, trưởng lão,|除 掉 勇 士 、 和 戰 士 、 審 判 官 、 和 先 知 、 占 卜 的 、 和 長 老 ．
cai đội, dòng quí phái, mưu sĩ, lương công, và thuật sĩ.|五 十 夫 長 、 和 尊 貴 人 ． 謀 士 、 和 有 巧 藝 的 、 以 及 妙 行 法 術 的 。
Ta sẽ ban cho họ những người trai trẻ làm quan trưởng, và con nít sẽ cai trị họ.|主 說 、 我 必 使 孩 童 作 他 們 的 首 領 、 使 嬰 孩 轄 管 他 們 。
Dân sự hà hiếp nhau, người với người, lân cận với lân cận; con nít lấn lướt kẻ già cả, người hèn hạ lấn lướt người tôn trọng.|百 姓 要 彼 此 欺 壓 、 各 人 受 鄰 舍 的 欺 壓 ． 少 年 人 必 侮 慢 老 年 人 、 卑 賤 人 必 侮 慢 尊 貴 人 。
Khi một người sẽ bắt anh em mình tại nhà cha mà nói với rằng: Ngươi có áo choàng; hãy làm đầu chúng ta, và sự bại hoại nầy hãy thuộc về dưới tay ngươi!|人 在 父 家 拉 住 弟 兄 、 說 、 你 有 衣 服 、 可 以 作 我 們 的 官 長 、 這 敗 落 的 事 歸 在 你 手 下 罷 ．
Trong ngày đó người kia lên tiếng đáp rằng: Không, ta không làm thầy chữa lành, và trong nhà ta không có bánh cũng không có áo; chớ lập ta làm quan cai dân sự.|那 時 他 必 揚 聲 說 、 我 不 作 醫 治 你 們 的 人 ． 因 我 家 中 沒 有 糧 食 、 也 沒 有 衣 服 ． 你 們 不 可 立 我 作 百 姓 的 官 長 。
Giê-ru-sa-lem phải nghiêng úp, và Giu-đa xiêu đổ; vì lời nói việc làm của họ nghịch cùng Đức Giê-hô-va, và trêu chọc con mắt của uy nghiêm Ngài.|耶 路 撒 冷 敗 落 、 猶 大 傾 倒 ． 因 為 他 們 的 舌 頭 、 和 行 為 、 與 耶 和 華 反 對 、 惹 了 他 榮 光 的 眼 目 。
Bộ mặt họ làm chứng nghịch cùng mình; họ bêu tội rõ ràng như thành Sô-đôm chẳng giấu chút nào. Khốn thay cho linh hồn họ! vì họ đã làm hại cho mình!|他 們 的 面 色 證 明 自 己 的 不 正 ． 他 們 述 說 自 己 的 罪 惡 、 並 不 隱 瞞 、 好 像 所 多 瑪 一 樣 。 他 們 有 禍 了 ． 因 為 作 惡 自 害 。
Hãy rao cho kẻ công bình được phước; vì họ sẽ ăn trái của việc làm mình.|你 們 要 論 義 人 說 、 他 必 享 福 樂 ． 因 為 要 喫 自 己 行 為 所 結 的 果 子 。
Khốn cho kẻ hung ác, ắt mang họa! Vì họ sẽ thâu lại việc tự tay mình làm ra!|惡 人 有 禍 了 ． 他 必 遭 災 難 ． 因 為 要 照 自 己 手 所 行 的 受 報 應 。
Dân ta bị con nít hà hiếp, và đờn bà cai trị nó. Hỡi dân ta, kẻ dẫn ngươi làm cho ngươi sai lạc, và họ phá hoại đường lối ngươi.|至 於 我 的 百 姓 、 孩 童 欺 壓 他 們 、 婦 女 轄 管 他 們 。 我 的 百 姓 阿 、 引 導 你 的 、 使 你 走 錯 、 並 毀 壞 你 所 行 的 道 路 。
Đức Giê-hô-va dấy lên đặng biện luận, Ngài đứng mà xét đoán các dân.|耶 和 華 起 來 辯 論 、 站 著 審 判 眾 民 。
Đức Giê-hô-va xét đoán các trưởng lão của dân Ngài với các quan trưởng nó: Ay chính các ngươi là kẻ đã nuốt vườn nho; của cướp bóc kẻ nghèo đương ở trong nhà các ngươi!|耶 和 華 必 審 問 他 民 中 的 長 老 、 和 首 領 、 說 、 喫 盡 葡 萄 園 果 子 的 、 就 是 你 們 ． 向 貧 窮 人 所 奪 的 、 都 在 你 們 家 中 。
Các ngươi có ý gì mà đè ép dân ta, giày vò mặt kẻ nghèo khó? Chúa, là Đức Giê-hô-va vạn quân, phán vậy.|主 萬 軍 之 耶 和 華 說 、 你 們 為 何 壓 制 我 的 百 姓 搓 磨 貧 窮 人 的 臉 呢 。
Đức Giê-hô-va lại phán rằng: Vì những con gái Si-ôn kiêu ngạo, ngóng cổ bước tới, liếc mắt trêu ngươi, vừa đi õng ẹo, vừa khua động tiếng dưới chơn,|耶 和 華 又 說 、 因 為 錫 安 的 女 子 狂 傲 、 行 走 挺 項 、 賣 弄 眼 目 、 俏 步 徐 行 、 腳 下 玎 璫 ．
nên Chúa sẽ làm cho đỉnh đầu con gái Si-ôn đóng vảy, và Đức Giê-hô-va sẽ lột truồng chúng nó.|所 以 主 必 使 錫 安 的 女 子 頭 長 禿 瘡 、 耶 和 華 又 使 他 們 赤 露 下 體 。
Trong ngày đó, Chúa sẽ cất những vòng mắt cá họ trang sức đi, cái lưới và cái cài;|到 那 日 、 主 必 除 掉 他 們 華 美 的 腳 釧 、 髮 網 、 月 牙 圈 ．
hoa tai, xuyến và lúp;|耳 環 、 手 鐲 、 蒙 臉 的 帕 子 ．
mão, chuyền mắt cá, nít lưng, hợp hương và bùa đeo;|華 冠 、 足 鍊 、 華 帶 、 香 盒 、 符 囊 ．
cà rá và khoen đeo mũi;|戒 指 、 鼻 環 ．
áo lễ, áo lá rộng, áo choàng, túi nhỏ;|吉 服 、 外 套 、 雲 肩 、 荷 包 ．
gương tay, vải mỏng, khăn bịt đầu và màn che mặt.|手 鏡 、 細 麻 衣 、 裹 頭 巾 、 蒙 身 的 帕 子 。
Sẽ có mùi hôi hám thay vì thơm tho; dây tói thay vì nịt lưng; đầy sói thay vì tóc quăn; bao gai quấn mình thay vì áo dài phấp phới; dấu phỏng thay vì sắc đẹp.|必 有 臭 爛 代 替 馨 香 、 繩 子 代 替 腰 帶 、 光 禿 代 替 美 髮 、 麻 衣 繫 腰 代 替 華 服 、 烙 傷 代 替 美 容 。
Lính chiến ngươi sẽ ngã dưới gươm, những kẻ anh hùng ngươi sẽ bị tử trận.|你 的 男 丁 、 必 倒 在 刀 下 、 你 的 勇 士 、 必 死 在 陣 上 。
Các cửa nó sẽ than khóc và thảm sầu; nó vắng vẻ ngồi trên đất.|錫 安 〔 原 文 作 他 〕 的 城 門 必 悲 傷 、 哀 號 ． 他 必 荒 涼 坐 在 地 上 。

					I-sai-a 4				|
						以賽亞書 4					
Trong ngày đó, bảy người nữ sẽ bắt lấy một người nam, và nói rằng: Chúng tôi ăn bánh của mình, mặc áo của mình; chỉ xin cho phép chúng tôi mang danh ngươi; hãy cất sự xấu hổ của chúng tôi đi.|在 那 日 、 七 個 女 人 必 拉 住 一 個 男 人 、 說 、 我 們 喫 自 己 的 食 物 、 穿 自 己 的 衣 服 ． 但 求 你 許 我 們 歸 你 名 下 ． 求 你 除 掉 我 們 的 羞 恥 。
Trong ngày đó, chồi của Đức Giê-hô-va sẽ làm đồ trang sức vinh hiển của những kẻ sót lại trong Y-sơ-ra-ên, sản vật dưới đất sẽ làm sự tốt đẹp cho chúng nó.|到 那 日 、 耶 和 華 發 生 的 苗 、 必 華 美 尊 榮 、 地 的 出 產 、 必 為 以 色 列 逃 脫 的 人 顯 為 榮 華 茂 盛 。
Phàm những kẻ còn ở lại Si-ôn, những kẻ sót lại ở Giê-ru-sa-lem, tức là những kẻ ở Giê-ru-sa-lem được chép vào sổ người sống, thì sẽ được xưng là thánh;|主 以 公 義 的 靈 、 和 焚 燒 的 靈 、 將 錫 安 女 子 的 污 穢 洗 去 、 又 將 耶 路 撒 冷 中 殺 人 的 血 除 淨 、 那 時 、 賸 在 錫 安 留 在 耶 路 撒 冷 的 、 就 是 一 切 住 耶 路 撒 冷 、 在 生 命 冊 上 記 名 的 、 必 稱 為 聖 。
khi Chúa đem thần công bình cùng thần thiêu đốt mà rửa sự ô uế của những con gái Si-ôn, tẩy sạch huyết Giê-ru-sa-lem khỏi giữa nó.|見 上 節
Trên khắp nơi núi Si-ôn, trên khắp các hội nó, Đức Giê-hô-va sẽ dựng lên một đám mây bọc khói trong ban ngày, và ngọn lửa soi sáng trong ban đêm. Vì một cái màn sẽ che cả sự vinh hiển:|耶 和 華 也 必 在 錫 安 全 山 、 並 各 會 眾 以 上 、 使 白 日 有 煙 雲 、 黑 夜 有 火 燄 的 光 ． 因 為 在 全 榮 耀 之 上 必 有 遮 蔽 。
sẽ có trại làm bóng mát tránh nắng ban ngày, và dùng làm nơi núp chổ đụp cho khỏi gió táp mưa sa.|必 有 亭 子 、 白 日 可 以 得 蔭 避 暑 、 也 可 以 作 為 藏 身 之 處 、 躲 避 狂 風 暴 雨 。

					I-sai-a 5				|
						以賽亞書 5					
Ta sẽ hát cho bạn rất yêu dấu ta một bài ca của bạn yêu dấu ta về việc vườn nho người. Bạn rất yêu dấu ta có một vườn nho ở trên gò đất tốt.|我 要 為 我 所 親 愛 的 唱 歌 、 是 我 所 愛 者 的 歌 、 論 他 葡 萄 園 的 事 。 我 所 親 愛 的 有 葡 萄 園 、 在 肥 美 的 山 岡 上 ．
Người khai phá ra; cất bỏ những đá; trồng những gốc nho xinh tốt; dựng một cái tháp giữa vườn, và đào một nơi ép rượu. Vả, người mong rằng sẽ sanh trái nho; nhưng nó lại sanh trái nho hoang.|他 刨 挖 園 子 、 撿 去 石 頭 、 栽 種 上 等 的 葡 萄 樹 、 在 園 中 蓋 了 一 座 樓 、 又 鑿 出 壓 酒 池 ． 指 望 結 好 葡 萄 、 反 倒 結 了 野 葡 萄 。
Hỡi dân ở Giê-ru-sa-lem cùng người Giu-đa, vậy thì bây giờ ta xin các ngươi hãy đoán xét giữa ta với vườn nho ta.|耶 路 撒 冷 的 居 民 、 和 猶 大 人 哪 、 請 你 們 現 今 在 我 與 我 的 葡 萄 園 中 、 斷 定 是 非 。
Có điều chi nên làm cho vườn nho ta mà ta không làm cho nó chăng? Cớ sao khi ta mong sanh trái nho, thì nó lại sanh trái nho hoang vậy?|我 為 我 葡 萄 園 所 作 之 外 、 還 有 甚 麼 可 作 的 呢 ． 我 指 望 結 好 葡 萄 、 怎 麼 倒 結 了 野 葡 萄 呢 。
Nầy, ta sẽ bảo các ngươi về điều ta định làm cho vườn nho ta: Ta phá rào, nó sẽ bị cắn nuốt; ta hạ tường xuống, nó sẽ bị giày đạp.|現 在 我 告 訴 你 們 、 我 要 向 我 葡 萄 園 怎 樣 行 ． 我 必 撤 去 籬 笆 、 使 他 被 吞 滅 、 拆 毀 牆 垣 、 使 他 被 踐 踏 ．
Ta sẽ để nó hoang loạn, chẳng tỉa sửa, chẳng vun xới; nhưng tại đó sẽ mọc lên những gai gốc và chà chuôm; ta lại truyền cho mây đừng làm mưa xuống trên nó nữa.|我 必 使 他 荒 廢 、 不 再 修 理 、 不 再 鋤 刨 ． 荊 棘 蒺 藜 倒 要 生 長 ． 我 也 必 命 雲 不 降 雨 在 其 上 。
