
					A-mốt 1				|
Con chim, nếu chẳng có bẫy gài để bắt nó, thì nó há sa vào trong lưới giăng ra trên đất sao? Bằng chẳng bắt được gì thì lưới há có dựt lên khỏi đất?|若 沒 有 機 檻 、 雀 鳥 豈 能 陷 在 網 羅 裡 呢 。 網 羅 若 無 所 得 、 豈 能 從 地 上 翻 起 呢 。
Kèn thổi trong thành thì dân sự há chẳng sợ sao? Sự tai vạ há có xảy ra cho một thành kia nếu mà Đức Giê-hô-va chẳng làm?|城 中 若 吹 角 、 百 姓 豈 不 驚 恐 呢 。 災 禍 若 臨 到 一 城 、 豈 非 耶 和 華 所 降 的 麼 。
Cũng vậy, Chúa Giê-hô-va chẳng có làm một việc gì mà Ngài chưa tỏ sự kín nhiệm Ngài ra trước cho tôi tớ Ngài, là các Đấng tiên tri.|主 耶 和 華 若 不 將 奧 秘 指 示 他 的 僕 人 眾 先 知 、 就 一 無 所 行 。
Khi sư tử gầm thét, thì ai mà chẳng sợ? Khi Chúa Giê-hô-va đã phán dạy, thì ai mà chẳng nói tiên tri?|獅 子 吼 叫 、 誰 不 懼 怕 呢 。 主 耶 和 華 發 命 、 誰 能 不 說 豫 言 呢 。
Hãy rao truyền ra trong các đền đài Ach-đốt và trong các đền đài của đất Ê-díp-tô, và nói rằng: Các ngươi khá nhóm lại trên các núi của Sa-ma-ri; hãy xem nhiều sự rối loạn lớn lao ở đó, và những sự bạo ngược giữa nó.|要 在 亞 實 突 的 宮 殿 中 、 和 埃 及 地 的 宮 殿 裡 傳 揚 說 、 你 們 要 聚 集 在 撒 瑪 利 亞 的 山 上 、 就 看 見 城 中 有 何 等 大 的 擾 亂 與 欺 壓 的 事 。
Đức Giê-hô-va phán: Chúng nó không biết làm sự ngay thẳng; chúng nó chất chứa của hung dữ và cướp dựt ở trong các đền đài mình.|那 些 以 強 暴 搶 奪 財 物 、 積 蓄 在 自 己 家 中 的 人 不 知 道 行 正 直 的 事 ． 這 是 耶 和 華 說 的 。
Vậy nên Chúa Giê-hô-va phán như vầy: Nầy, kẻ nghịch sẽ đến vây bọc đất nầy; nó cất mất sức mạnh ngươi, và những đền đài ngươi sẽ bị cướp phá.|所 以 主 耶 和 華 如 此 說 、 敵 人 必 來 圍 攻 這 地 、 使 你 的 勢 力 衰 微 、 搶 掠 你 的 家 宅 。
Đức Giê-hô-va phán như vầy: Như kẻ chăn chiên chỉ gỡ được hai giò hay một tai ra khỏi họng sư tử, thì những con cái Y-sơ-ra-ên, là những kẻ ngồi tại Sa-ma-ri nơi góc giường và trên thảm của Đa-mách, cũng sẽ được cứu cách như vậy.|耶 和 華 如 此 說 、 牧 人 怎 樣 從 獅 子 口 中 搶 回 兩 條 羊 腿 或 半 個 耳 朵 、 住 撒 瑪 利 亞 的 以 色 列 人 躺 臥 在 床 角 上 或 鋪 繡 花 毯 的 榻 上 、 他 們 得 救 也 不 過 如 此 。
Chúa Giê-hô-va, Đức Chúa Trời vạn quân phán rằng: Hãy nghe, và làm chứng nghịch cùng nhà Gia-cốp.|主 耶 和 華 萬 軍 之 　 神 說 、 當 聽 這 話 、 警 戒 雅 各 家 。
Đến ngày mà ta sẽ thăm phạt Y-sơ-ra-ên về tội lỗi nó, ta cũng sẽ thăm phạt các bàn thờ của Bê-tên; những sừng của bàn thờ sẽ bị chặt và rơi xuống đất.|我 討 以 色 列 罪 的 日 子 、 也 要 討 伯 特 利 祭 壇 的 罪 ． 壇 角 必 被 砍 下 、 墜 落 於 地 。
Bấy giờ ta sẽ đánh nhà mùa đông và nhà mùa hạ; những nhà bằng ngà voi sẽ bị phá, và những nhà lớn sẽ bị hủy diệt, Đức Giê-hô-va phán vậy.|我 要 拆 毀 過 冬 和 過 夏 的 房 屋 、 象 牙 的 房 屋 也 必 毀 滅 、 高 大 的 房 屋 都 歸 無 有 、 這 是 耶 和 華 說 的 。

					A-mốt 4				|
						阿摩司書 4					
Hỡi những bò cái của Ba-san hãy nghe, bay ở trên núi của Sa-ma-ri; hiếp đáp kẻ nghèo nàn, hành hạ kẻ thiếu thốn, nói cùng chúa chúng nó rằng: Hãy đem đến, chúng ta cùng uống!|你 們 住 撒 瑪 利 亞 山 如 巴 珊 母 牛 的 阿 、 當 聽 我 的 話 你 們 欺 負 貧 寒 的 、 壓 碎 窮 乏 的 、 對 家 主 說 、 拿 酒 來 、 我 們 喝 罷 。
Chúa Giê-hô-va đã dùng sự thánh khiết Ngài mà thề rằng: Nầy, những ngày sẽ đến trên các ngươi, người ta sẽ dùng móc bắt lấy các ngươi, dân sót lại của các ngươi sẽ bị bắt lấy bởi những lưỡi câu.|主 耶 和 華 指 著 自 己 的 聖 潔 起 誓 說 、 日 子 快 到 、 人 必 用 鉤 子 將 你 們 鉤 去 、 用 魚 鉤 將 你 們 餘 剩 的 鉤 去 。
Các ngươi sẽ đi ra bởi những nơi sứt mẻ, mỗi người đi thẳng trước mặt mình, và các ngươi sẽ ném mình vào Ha-môn, Đức Giê-hô-va phán vậy.|你 們 各 人 必 從 破 口 直 往 前 行 、 投 入 哈 門 ． 這 是 耶 和 華 說 的 。
Hãy đi đến Bê-tên, và phạm tội; hãy đi đến Ghinh-ganh, và phạm tội thêm! Mỗi buổi sáng hãy đem của lễ mình đến, và cứ ba ngày thì dâng các phần mười của các ngươi!|以 色 列 人 哪 、 任 你 們 往 伯 特 利 去 犯 罪 、 到 吉 甲 加 增 罪 過 ． 每 日 早 晨 獻 上 你 們 的 祭 物 、 每 三 日 奉 上 你 們 的 十 分 之 一 。
Hãy đốt của lễ thù ân có men; hãy rao ra những của lễ lạc hiến; hãy làm cho thiên hạ biết; hỡi con cái Y-sơ-ra-ên, vì các ngươi ưa thích điều đó, Chúa Giê-hô-va phán vậy.|任 你 們 獻 有 酵 的 感 謝 祭 、 把 甘 心 祭 宣 傳 報 告 給 眾 人 ． 因 為 是 你 們 所 喜 愛 的 ． 這 是 主 耶 和 華 說 的 。
Còn như ta, ta đã làm cho răng các ngươi nên sạch trong mọi thành các ngươi, và làm cho thiếu bánh trong mọi nơi các ngươi ở. Đức Giê-hô-va phán: Dầu vậy các ngươi cũng không trở lại cùng ta!|我 使 你 們 在 一 切 城 中 牙 齒 乾 淨 、 在 你 們 各 處 糧 食 缺 乏 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Ta cũng đã không xuống mưa cho các ngươi trong ba tháng trước mùa gặt; ta đã mưa trên thành nầy và không mưa trên thành khác. Ruộng nầy đã được mưa, còn ruộng kia không được nhuận tưới thì khô héo.|在 收 割 的 前 三 月 我 使 雨 停 止 、 不 降 在 你 們 那 裡 ． 我 降 雨 在 這 城 、 不 降 雨 在 那 城 ． 這 塊 地 有 雨 、 那 塊 地 無 雨 ． 無 雨 的 就 枯 乾 了 。
Dường ấy, người trong hai hoặc ba thành đi đến một thành đặng uống nước, mà không tìm đến cho đỡ khát. Nhưng các ngươi không trở về cùng ta, Đức Giê-hô-va phán vậy.|這 樣 、 兩 三 城 的 人 湊 到 一 城 去 找 水 、 卻 喝 不 足 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Ta đã dùng gió nóng và sâu lúa mà đánh các ngươi. Có nhiều vườn rau, vườn nho, cây vả, cây ô-li-ve của các ngươi đã bị sâu keo cắn phá. Nhưng các ngươi chẳng trở về cùng ta, Đức Giê-hô-va phán vậy.|我 以 旱 風 、 霉 爛 攻 擊 你 們 ． 你 們 園 中 許 多 菜 蔬 、 葡 萄 樹 、 無 花 果 樹 、 橄 欖 樹 都 被 剪 蟲 所 喫 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Ta đã khiến ôn dịch đến trong các ngươi, cũng như trong Ê-díp-tô. Ta đã dùng gươm giết chết những kẻ trai trẻ của các ngươi, và những ngựa của các ngươi đã bị đem đi. Ta đã làm cho mùi hôi hám từ trong trại quân các ngươi bay lên lỗ mũi các ngươi. Nhưng các ngươi chẳng trở về cùng ta, Đức Giê-hô-va phán vậy.|我 降 瘟 疫 在 你 們 中 間 、 像 在 埃 及 一 樣 ． 用 刀 殺 戮 你 們 的 少 年 人 、 使 你 們 的 馬 匹 被 擄 掠 、 營 中 屍 首 的 臭 氣 撲 鼻 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Ta đã lật đổ giữa các ngươi, như Đức Chúa Trời đã lập đổ Sô-đôm và Gô-mô-rơ, và các ngươi đã như cái que rút ra khỏi lửa. Nhưng các ngươi chẳng trở về cùng ta, Giê-hô-va phán vậy.|我 傾 覆 你 們 中 間 的 城 邑 、 如 同 我 從 前 傾 覆 所 多 瑪 蛾 摩 拉 一 樣 、 使 你 們 好 像 從 火 中 抽 出 來 的 一 根 柴 ． 你 們 仍 不 歸 向 我 ． 這 是 耶 和 華 說 的 。
Hỡi Y-sơ-ra-ên, vậy nên ta sẽ đãi ngươi dường ấy; hỡi Y-sơ-ra-ên, vì ta sẽ đãi ngươi dường ấy, nên ngươi khá sửa soạn mà gặp Đức Chúa Trời ngươi.|以 色 列 阿 、 我 必 向 你 如 此 行 ． 以 色 列 阿 、 我 既 這 樣 行 、 你 當 豫 備 迎 見 你 的 　 神 。
Thật, ấy là Ngài đã làm nên các núi và dựng nên gió. Ay là Ngài làm cho người ta biết ý tưởng riêng của mình, đổi ban mai ra tối tăm, và bước đi trên những chỗ cao trên đất. Danh Ngài là Giê-hô-va Đức Chúa Trời vạn quân.|那 創 山 、 造 風 、 將 心 意 指 示 人 、 使 晨 光 變 為 幽 暗 、 腳 踏 在 地 之 高 處 的 ． 他 的 名 是 耶 和 華 萬 軍 之 　 神 。

					A-mốt 5				|
						阿摩司書 5					
Hỡi nhà Y-sơ-ra-ên, hãy nghe lời nầy, là bài ca thương mà ta sẽ làm về các ngươi!|以 色 列 家 阿 、 要 聽 我 為 你 們 所 作 的 哀 歌 。
Gái đồng trinh của Y-sơ-ra-ên đã ngã xuống, sẽ không dậy nữa; nó đã bị ném bỏ trên đất nó, mà không ai đỡ dậy.|以 色 列 民 〔 原 文 作 處 女 〕 跌 倒 、 不 得 再 起 ． 躺 在 地 上 、 無 人 攙 扶 。
Vì Chúa Giê-hô-va phán như vầy: Thành nào ra một ngàn quân, chỉ còn có một trăm; thành nào dấy lên một trăm người, chỉ còn có mười người trong nhà Y-sơ-ra-ên sót lại.|主 耶 和 華 如 此 說 、 以 色 列 家 的 城 發 出 一 千 兵 的 、 只 剩 一 百 、 發 出 一 百 的 、 只 剩 十 個 。
Đức Giê-hô-va phán cùng nhà Y-sơ-ra-ên như vầy: Hãy tìm kiếm ta, thì các ngươi sẽ sống!|耶 和 華 向 以 色 列 家 如 此 說 、 你 們 要 尋 求 我 、 就 必 存 活 。
Chớ tìm kiếm Bê-tên, chớ vào trong Ghinh-ganh, đừng đi đến Bê -e-Sê-ba. Vì Ghinh-ganh sẽ bị đày, Bê-tên sẽ trở nên một nơi đổ nát.|不 要 往 伯 特 利 尋 求 、 不 要 進 入 吉 甲 、 不 要 過 到 別 是 巴 ． 因 為 吉 甲 必 被 擄 掠 、 伯 特 利 也 必 歸 於 無 有 。
Hãy tìm kiếm Đức Giê-hô-va, thì các ngươi sẽ sống; bằng chẳng vậy, Ngài sẽ như một ngọn lửa thiêu đốt hừng lên trong nhà Giô-sép, ở Bê-tên không ai có thể tắt được.|要 尋 求 耶 和 華 、 就 必 存 活 ． 免 得 他 在 約 瑟 家 像 火 發 出 、 在 伯 特 利 焚 燒 、 無 人 撲 滅 。
Các ngươi đổi sự ngay thẳng ra ngải cứu, và ném sự công bình xuống đất!|你 們 這 使 公 平 變 為 茵 蔯 、 將 公 義 丟 棄 於 地 的 、
Hãy tìm Đấng đã dựng nên những sao Rau và sao Cày; đổi bóng tối tăm ra ban mai, đổi ban ngày ra đêm thẳm, gọi nước biển mà đổ nó ra trên mặt đất: danh Ngài là Giê-hô-va.|要 尋 求 那 造 昴 星 和 參 星 、 使 死 蔭 變 為 晨 光 、 使 白 日 變 為 黑 夜 、 命 海 水 來 澆 在 地 上 的 、 （ 耶 和 華 是 他 的 名 ）
Ay chính Ngài làm cho kẻ mạnh thình lình bị diệt vong, đến nỗi sự hủy hoại đến trên đồn lũy.|他 使 力 強 的 忽 遭 滅 亡 、 以 致 保 障 遭 遇 毀 壞 。
Chúng nó ghét người trách móc nơi cửa thành, và gớm ghiếc kể nói ngay thẳng.|你 們 怨 恨 那 在 城 門 口 責 備 人 的 、 憎 惡 那 說 正 直 話 的 。
Vì các ngươi hiếp đáp kẻ nghèo và đòi họ nộp thuế lúa mì, vậy nên những nhà bằng đá vuông nầy mà các ngươi đã xây nên, các ngươi sẽ không ở được. Các ngươi đã trồng những vườn nho ngon ngọt, nhưng sẽ không uống rượu nó.|你 們 踐 踏 貧 民 、 向 他 們 勒 索 麥 子 ． 你 們 用 鑿 過 的 石 頭 建 造 房 屋 、 卻 不 得 住 在 其 內 、 栽 種 美 好 的 葡 萄 園 、 卻 不 得 喝 所 出 的 酒 。
Vì ta biết tội ác các ngươi nhiều là bao nhiêu, các ngươi là kẻ hiếp đáp người công bình, nhận lấy của hối lộ, ở nơi cửa thành làm cong lẽ thẳng của những kẻ nghèo.|我 知 道 你 們 的 罪 過 何 等 多 、 你 們 的 罪 惡 何 等 大 ． 你 們 苦 待 義 人 、 收 受 賄 賂 、 在 城 門 口 屈 枉 窮 乏 人 。
Bởi đó cho nên, trong thời như thế, người khôn ngoan sẽ làm thinh; vì là thời khốn nạn.|所 以 通 達 人 見 這 樣 的 時 勢 、 必 靜 默 不 言 ． 因 為 時 勢 真 惡 。
Hãy tìm điều lành và đừng tìm đều dữ, hầu cho các ngươi được sống, thì Giê-hô-va Đức Chúa Trời vạn quân sẽ ở cùng ngươi, như các ngươi nói vậy.|你 們 要 求 善 、 不 要 求 惡 、 就 必 存 活 。 這 樣 、 耶 和 華 萬 軍 之 　 神 必 照 你 們 所 說 的 、 與 你 們 同 在 。
Hãy ghét điều dữ mà ưa điều lành; hãy lập sự công bình nơi cửa thành. Của lễ Giê-hô-va Đức Chúa Trời vạn quân sẽ ra ơn cho những kẻ còn sót lại của Giô-sép!|要 惡 惡 好 善 、 在 城 門 口 秉 公 行 義 ． 或 者 耶 和 華 萬 軍 之 　 神 向 約 瑟 的 餘 民 施 恩 。
Vậy nên, Chúa Giê-hô-va, Đức Chúa Trời vạn quân, phán như vầy: Trong mọi nơi phố trợ, người ta sẽ than khóc; trong mọi đường phố, người ta sẽ kêu la rằng: Hỡi ôi! Hỡi ôi! Người ta sẽ mời kẻ cày ruộng đến thảm sầu, và những kẻ giỏi than van đến kêu khóc.|主 耶 和 華 萬 軍 之 　 神 如 此 說 、 在 一 切 寬 闊 處 必 有 哀 號 的 聲 音 ． 在 各 街 市 上 必 有 人 說 、 哀 哉 、 哀 哉 ． 又 必 叫 農 夫 來 哭 號 、 叫 善 唱 哀 歌 的 來 舉 哀 。
Trong các vườn nho vang tiếng khóc than, vì ta sẽ qua giữa ngươi, Đức Giê-hô-va phán vậy.|在 各 葡 萄 園 必 有 哀 號 的 聲 音 ． 因 為 我 必 從 你 中 間 經 過 ． 這 是 耶 和 華 說 的 。
Khốn thay cho các ngươi là kẻ trông mong ngày của Đức Giê-hô-va! Các ngươi trông mong ngày của Đức Giê-hô-va làm gì? Ay là ngày tối tăm, không phải là ngày ánh sáng.|想 望 耶 和 華 日 子 來 到 的 、 有 禍 了 ． 你 們 為 何 想 望 耶 和 華 的 日 子 呢 ． 那 日 黑 暗 沒 有 光 明 ．
