
					Ê-phê-sô 1				|
Chúng ta hết thảy cũng đều ở trong số ấy, trước kia sống theo tư dục xác thịt mình, làm trọn các sự ham mê của xác thịt và ý tưởng chúng ta, tự nhiên làm con của sự thạnh nộ, cũng như mọi người khác.|我 們 從 前 也 都 在 他 們 中 間 、 放 縱 肉 體 的 私 慾 、 隨 著 肉 體 和 心 中 所 喜 好 的 去 行 、 本 為 可 怒 之 子 、 和 別 人 一 樣 ．
Nhưng Đức Chúa Trời, là Đấng giàu lòng thương xót, vì cớ lòng yêu thương lớn Ngài đem mà yêu chúng ta,|然 而 　 神 既 有 豐 富 的 憐 憫 ． 因 他 愛 我 們 的 大 愛 、
nên đang khi chúng ta chết vì tội mình, thì Ngài làm cho chúng ta sống với Đấng Christ, ấy là nhờ ân điển mà anh em được cứu,|當 我 們 死 在 過 犯 中 的 時 候 、 便 叫 我 們 與 基 督 一 同 活 過 來 ． （ 你 們 得 救 是 本 乎 恩 ）
và Ngài làm cho chúng ta đồng sống lại và đồng ngồi trong các nơi trên trời trong Đức Chúa Jêsus Christ,|他 又 叫 我 們 與 基 督 耶 穌 一 同 復 活 、 一 同 坐 在 天 上 、
hầu cho về đời sau tỏ ra sự giàu có vô hạn của ân điển Ngài, mà Ngài bởi lòng nhơn từ đã dùng ra cho chúng ta trong Đức Chúa Jêsus Christ.|要 將 他 極 豐 富 的 恩 典 、 就 是 他 在 基 督 耶 穌 裡 向 我 們 所 施 的 恩 慈 、 顯 明 給 後 來 的 世 代 看 ．
Vả, ấy là nhờ ân điển, bởi đức tin, mà anh em được cứu, điều đó không phải đến từ anh em, bèn là sự ban cho của Đức Chúa Trời.|你 們 得 救 是 本 乎 恩 、 也 因 著 信 、 這 並 不 是 出 於 自 己 、 乃 是 　 神 所 賜 的 ．
Ay chẳng phải bởi việc làm đâu, hầu cho không ai khoe mình;|也 不 是 出 於 行 為 、 免 得 有 人 自 誇 。
vì chúng ta là việc Ngài làm ra, đã được dựng nên trong Đức Chúa Jêsus Christ để làm việc lành mà Đức Chúa Trời đã sắm sẵn trước cho chúng ta làm theo.|我 們 原 是 他 的 工 作 、 在 基 督 耶 穌 裡 造 成 的 、 為 要 叫 我 們 行 善 、 就 是 　 神 所 豫 備 叫 我 們 行 的 。
Vậy, anh em, theo xác thịt là người ngoại, bị những kẻ xưng mình là người chịu cắt bì bởi tay người ta, gọi anh em mà người không chịu cắt bì, hãy nhớ lại lúc trước,|所 以 你 們 應 當 記 念 、 你 們 從 前 按 肉 體 是 外 邦 人 、 是 稱 為 沒 受 割 禮 的 這 名 原 是 那 些 憑 人 手 在 肉 身 上 稱 為 受 割 禮 之 人 所 起 的 ．
trong thuở đó, anh em không có Đấng Christ, bị ngoại quyền công dân trong Y-sơ-ra-ên, chẳng dự vào giao ước của lời hứa, ở thế gian không có sự trông cậy và không có Đức Chúa Trời.|那 時 、 你 們 與 基 督 無 關 、 在 以 色 列 國 民 以 外 、 在 所 應 許 的 諸 約 上 是 局 外 人 ． 並 且 活 在 世 上 沒 有 指 望 、 沒 有 　 神 。
Nhưng trong Đức Chúa Jêsus Christ, anh em là kẻ ngày trước cách xa, hiện nay đã nhờ huyết Đấng Christ mà được gần rồi.|你 們 從 前 遠 離 　 神 的 人 、 如 今 卻 在 基 督 耶 穌 裡 、 靠 著 他 的 血 、 已 經 得 親 近 了 。
Vì, ấy chính Ngài là sự hòa hiệp của chúng ta; Ngài đã hiệp cả hai làm một, phá đổ bức thường ngăn cách,|因 他 使 我 們 和 睦 、 〔 原 文 作 因 他 是 我 們 的 和 睦 〕 將 兩 下 合 而 為 一 、 拆 毀 了 中 間 隔 斷 的 牆 ．
là sự thù nghịch đã phân rẽ ra, bởi vì Ngài đã đem thân mình mà trừ bỏ luật pháp của các điều răn chép thành điều lệ. Như vậy, khi làm cho hòa nhau, Ngài muốn lấy cả hai lập nên một người mới ở trong Ngài,|而 且 以 自 己 的 身 體 、 廢 掉 冤 仇 、 就 是 那 記 在 律 法 上 的 規 條 ． 為 要 將 兩 下 、 藉 著 自 己 造 成 一 個 新 人 、 如 此 便 成 就 了 和 睦 ．
và vì bởi thập tự giá Ngài đã làm cho sự thù nghịch tiêu diệt, nên nhờ thập tự giá đó Ngài khiến cả hai hiệp thành một thể, mà làm hòa thuận với Đức Chúa Trời.|既 在 十 字 架 上 滅 了 冤 仇 、 便 藉 這 十 字 架 、 使 兩 下 歸 為 一 體 、 與 　 神 和 好 了 ．
Ngài lại đã đến rao truyền sự hòa bình cho anh em là kẻ ở xa, và sự hòa bình cho kẻ ở gần.|並 且 來 傳 和 平 的 福 音 給 你 們 遠 處 的 人 、 也 給 那 近 處 的 人 。
Vì ấy là nhờ Ngài mà chúng ta cả hai đều được phép đến gần Đức Chúa Cha, đồng trong một Thánh Linh.|因 為 我 們 兩 下 藉 著 他 被 一 個 聖 靈 所 感 、 得 以 進 到 父 面 前 。
Dường ấy anh em chẳng phải là người ngoại, cũng chẳng phải là kẻ ở trọ nữa, nhưng là người đồng quốc với các thánh đồ, và là người nhà của Đức Chúa Trời.|這 樣 、 你 們 不 再 作 外 人 、 和 客 旅 、 是 與 聖 徒 同 國 、 是 　 神 家 裡 的 人 了 ．
Anh em đã được dựng nên trên nền của các sứ đồ cùng các đấng tiên tri, chính Đức Chúa Jêsus Christ là đá góc nhà,|並 且 被 建 造 在 使 徒 和 先 知 的 根 基 上 、 有 基 督 耶 穌 自 己 為 房 角 石 ．
cả cái nhà đã dựng lên trên đá đó, sắp đặt cách hẳn hoi, để làm nên một đền thờ thánh trong Chúa.|各 〔 或 作 全 〕 房 靠 他 聯 絡 得 合 式 、 漸 漸 成 為 主 的 聖 殿 ．
Ay, anh em cũng nhờ Ngài mà được dự phần vào nhà đó, đặng trở nên nhà ở của Đức Chúa Trời trong Thánh Linh.|你 們 也 靠 他 同 被 建 造 成 為 　 神 藉 著 聖 靈 居 住 的 所 在 。

					Ê-phê-sô 3				|
						以弗所書 3					
Ay bởi điều đó, mà tôi, Phao-lô, vì anh em là người ngoại mà làm kẻ tù của Đức Chúa Jêsus Christ.|因 此 、 我 保 羅 為 你 們 外 邦 人 作 了 基 督 耶 穌 被 囚 的 、 替 你 們 祈 禱 ． 〔 此 句 乃 照 對 十 四 節 所 加 〕
Vả, anh em có nghe Đức Chúa Trời ban chức cho tôi, là ân điển mà Ngài vì anh em phó cho tôi,|諒 必 你 們 曾 聽 見 　 神 賜 恩 給 我 、 將 關 切 你 們 的 職 分 託 付 我 、
thể nào bởi sự tỏ ra, tôi đã hiểu biết điều mầu nhiệm mà tôi mới bày tỏ cùng anh em mấy lời.|用 啟 示 使 我 知 道 福 音 的 奧 秘 、 正 如 我 以 前 略 略 寫 過 的 ．
Đọc đến thì anh em có thể rõ sự hiểu biết của tôi về lẽ mầu nhiệm của Đấng Christ,|你 們 念 了 、 就 能 曉 得 我 深 知 基 督 的 奧 秘 ．
là lẽ mầu nhiệm trong các đời khác, chưa từng phát lộ cho con cái loài người, mà bây giờ đã được Đức Thánh Linh tỏ ra cho các sứ đồ thánh và tiên tri của Ngài.|這 奧 秘 在 以 前 的 世 代 、 沒 有 叫 人 知 道 、 像 如 今 藉 著 聖 靈 啟 示 他 的 聖 使 徒 和 先 知 一 樣 ．
Lẽ mầu nhiệm đó tức là: Dân ngoại là kẻ đồng kế tự, là các chi của đồng một thể, đều có phần chung với chúng ta về lời hứa đã nhờ Tin Lành mà lập trong Đức Chúa Jêsus Christ;|這 奧 秘 就 是 外 邦 人 在 基 督 耶 穌 裡 、 藉 著 福 音 、 得 以 同 為 後 嗣 、 同 為 一 體 、 同 蒙 應 許 。
còn tôi đã trở nên kẻ giúp việc Tin Lành ấy cứ sự ban cho của ân điển Đức Chúa Trời, là ân điển đã ban cho tôi bởi công hiệu của quyền phép Ngài.|我 作 了 這 福 音 的 執 事 、 是 照 　 神 的 恩 賜 ． 這 恩 賜 是 照 他 運 行 的 大 能 賜 給 我 的 ．
Phải, ân điển đó đã ban cho tôi, là kẻ hèn hơn hết mọi thánh đồ, để rao truyền cho dân ngoại sự giàu có không dò được của Đấng Christ,|我 本 來 比 眾 聖 徒 中 最 小 的 還 小 ． 然 而 他 還 賜 我 這 恩 典 、 叫 我 把 基 督 那 測 不 透 的 豐 富 、 傳 給 外 邦 人 ．
và soi sáng cho mọi người biết sự phân phát lẽ mầu nhiệm, từ đời thượng cổ đã giấu kín trong Đức Chúa Trời là Đấng dựng nên muôn vật.|又 使 眾 人 都 明 白 、 這 歷 代 以 來 隱 藏 在 創 造 萬 物 之 　 神 裡 的 奧 秘 、 是 如 何 安 排 的 ．
Ay vậy, hiện nay sự khôn sáng mọi đường của Đức Chúa Trời cậy Hội thánh mà bày tỏ ra cho những kẻ làm đầu và những kẻ cầm quyền trong các nơi trên trời,|為 要 藉 著 教 會 、 使 天 上 執 政 的 、 掌 權 的 、 現 在 得 知 　 神 百 般 的 智 慧 ．
theo ý định đời đời của Ngài đã làm xong trong Đức Chúa Jêsus Christ, Chúa chúng ta,|這 是 照 　 神 從 萬 世 以 前 、 在 我 們 主 基 督 耶 穌 裡 所 定 的 旨 意 。
trong Ngài chúng ta nhờ đức tin đến Ngài mà được tự do đến gần Đức Chúa Trời cách dạn dĩ.|我 們 因 信 耶 穌 、 就 在 他 裡 面 放 膽 無 懼 、 篤 信 不 疑 的 來 到 　 神 面 前 。
Tôi cũng xin anh em chớ nhơn sự hoạn nạn tôi chịu vì anh em mà ngã lòng điều đó là điều vinh hiển của anh em vậy.|所 以 我 求 你 們 、 不 要 因 我 為 你 們 所 受 的 患 難 喪 膽 ． 這 原 是 你 們 的 榮 耀 。
Ay là vì cớ đó mà tôi quì gối trước mặt Cha,|因 此 。 我 在 父 面 前 屈 膝 、
bởi Cha mà cả nhà trên trời và dưới đất đều được đặt tên,|（ 天 上 地 上 的 各 〔 或 作 全 〕 家 、 都 是 從 他 得 名 ）
tôi cầu xin Ngài tùy sự giàu có vinh hiển Ngài khiến anh em được quyền phép bởi Thánh Linh mà nên mạnh mẽ trong lòng;|求 他 按 著 他 豐 盛 的 榮 耀 、 藉 著 他 的 靈 、 叫 你 們 心 裡 力 量 剛 強 起 來 、
đến nỗi Đấng Christ nhơn đức tin mà ngự trong lòng anh em;|使 基 督 因 你 們 的 信 、 住 在 你 們 心 裡 、 叫 你 們 的 愛 心 、 有 根 有 基 、
để anh em khi đã đâm rễ vững nền trong sự yêu thương, được hiệp cùng các thánh đồ mà hiểu thấu bề rộng, bề dài, bề cao, bề sâu của nó là thể nào,|能 以 和 眾 聖 徒 一 同 明 白 基 督 的 愛 、 是 何 等 長 闊 高 深 、
và được biết sự yêu thương của Đấng Christ, là sự trổi hơn mọi sự thông biết, hầu cho anh em được đầy dẫy mọi sự dư dật của Đức Chúa Trời.|並 知 道 這 愛 是 過 於 人 所 能 測 度 的 、 便 叫 　 神 一 切 所 充 滿 的 、 充 滿 了 你 們 。
Vả, Đức Chúa Trời, bởi quyền lực cảm động trong chúng ta, có thể làm trổi hơn vô cùng mọi việc chúng ta cầu xin hoặc suy tưởng,|　 神 照 著 運 行 在 我 們 心 裡 的 大 力 、 充 充 足 足 的 成 就 一 切 超 過 我 們 所 求 所 想 的 ．
nguyền Ngài được vinh hiển trong Hội thánh, và trong Đức Chúa Jêsus Christ, trải các thời đại, đời đời vô cùng. A-men.|但 願 他 在 教 會 中 、 並 在 基 督 耶 穌 裡 、 得 著 榮 耀 、 直 到 世 世 代 代 、 永 永 遠 遠 。 阿 們 。

					Ê-phê-sô 4				|
						以弗所書 4					
Vậy, tôi là kẻ tù trong Chúa, khuyên anh em phải ăn ở một cách xứng đáng với chức phận mà Chúa đã gọi anh em,|我 為 主 被 囚 的 勸 你 們 、 既 然 蒙 召 、 行 事 為 人 就 當 與 蒙 召 的 恩 相 稱 ．
phải khiêm nhường đến điều, mềm mại đến điều, phải nhịn nhục, lấy lòng thương yêu mà chìu nhau,|凡 事 謙 虛 、 溫 柔 、 忍 耐 、 用 愛 心 互 相 寬 容 、
dùng dây hòa bình mà giữ gìn sự hiệp một của Thánh Linh.|用 和 平 彼 此 聯 絡 、 竭 力 保 守 聖 靈 所 賜 合 而 為 一 的 心 。
Chỉ có một thân thể, một Thánh Linh, như anh em bởi chức phận mình đã được gọi đến một sự trông cậy mà thôi;|身 體 只 有 一 個 、 聖 靈 只 有 一 個 、 正 如 你 們 蒙 召 、 同 有 一 個 指 望 、
chỉ có một Chúa, một đức tin, một phép báp tem;|一 主 、 一 信 、 一 洗 、
chỉ có một Đức Chúa Trời và một Cha của mọi người, Ngài là trên cả mọi người, giữa mọi người và ở trong mọi người.|一 　 神 、 就 是 眾 人 的 父 、 超 乎 眾 人 之 上 、 貫 乎 眾 人 之 中 、 也 住 在 眾 人 之 內 。
Nhưng, đã ban ân điển cho mỗi một người trong chúng ta theo lượng sự ban cho của Đấng Christ.|我 們 各 人 蒙 恩 、 都 是 照 基 督 所 量 給 各 人 的 恩 賜 。
Vậy nên có chép rằng: Ngài đã lên nơi cao, dẫn muôn vàn kẻ phu tù, Và ban các ơn cho loài người.|所 以 經 上 說 、 『 他 升 上 高 天 的 時 候 、 擄 掠 了 仇 敵 、 將 各 樣 的 恩 賜 賞 給 人 。 』
Và, những chữ "Ngài đã lên" có nghĩa gì, há chẳng phải là Ngài cũng đã xuống trong các miền thấp ờ dưới đất sao?|（ 既 說 升 上 、 豈 不 是 先 降 在 地 下 麼 ．
Đấng đã xuống tức là Đấng đã lên trên hết các từng trời, để làm cho đầy dẫy mọi sự.|那 降 下 的 、 就 是 遠 升 諸 天 之 上 要 充 滿 萬 有 的 。 ）
Ay chính Ngài đã cho người nầy làm sứ đồ, kẻ kia làm tiên tri, người khác làm thầy giảng Tin Lành, kẻ khác nữa làm mục sư và giáo sư,|他 所 賜 的 有 使 徒 、 有 先 知 ． 有 傳 福 音 的 ． 有 牧 師 和 教 師 ．
để các thánh đồ được trọn vẹn về công việc của chức dịch và sự gây dựng thân thể Đấng Christ,|為 要 成 全 聖 徒 、 各 盡 其 職 、 建 立 基 督 的 身 體 ．
cho đến chừng chúng ta thảy đều hiệp một trong đức tin và trong sự hiểu biết Con Đức Chúa Trời, mà nên bậc thành nhơn, được tầm thước vóc giạc trọn vẹn của Đấng Christ.|直 等 到 我 們 眾 人 在 真 道 上 同 歸 於 一 、 認 識 　 神 的 兒 子 、 得 以 長 大 成 人 、 滿 有 基 督 長 成 的 身 量 ．
Ngài muốn chúng ta không như trẻ con nữa, bị người ta lừa đảo, bị mưu chước dỗ dành làm cho lầm lạc, mà day động và dời đổi theo chiều gió của đạo lạc,|使 我 們 不 再 作 小 孩 子 、 中 了 人 的 詭 計 、 和 欺 騙 的 法 術 、 被 一 切 異 教 之 風 搖 動 、 飄 來 飄 去 、 就 隨 從 各 樣 的 異 端 ．
nhưng muốn cho chúng ta lấy lòng yêu thương nói ra lẽ chơn thật, để trong mọi việc chúng ta đều được thêm lên trong Đấng làm đầu, tức là Đấng Christ.|惟 用 愛 心 說 誠 實 話 、 凡 事 長 進 、 連 於 元 首 基 督 ．
Ay nhờ Ngài mà cả thân thể ràng buộc vững bền bởi những cái lắt léo, khiến các phần giao thông với nhau, tùy lượng sức mạnh của từng phần, làm cho thân thể lớn lên, và tự gây dựng trong sự yêu thương.|全 身 都 靠 他 聯 絡 得 合 式 、 百 節 各 按 各 職 、 照 著 各 體 的 功 用 、 彼 此 相 助 、 便 叫 身 體 漸 漸 增 長 、 在 愛 中 建 立 自 己 。
Vậy, nầy là điều tôi nói và điều tôi nhơn danh Chúa mà rao ra: ấy là anh em chớ nên ăn ở như người ngoại đạo nữa, họ theo sự hư không của ý tưởng mình,|所 以 我 說 、 且 在 主 裡 確 實 的 說 、 你 們 行 事 、 不 要 再 像 外 邦 人 存 虛 妄 的 心 行 事 ．
bởi sự ngu muội ở trong họ, và vì lòng họ cứng cỏi nên trí khôn tối tăm, xa cách sự sống của Đức Chúa Trời.|他 們 心 地 昏 昧 、 與 　 神 所 賜 的 生 命 隔 絕 了 、 都 因 自 己 無 知 、 心 裡 剛 硬 ．
Họ đã mất cả sự cảm biết, đành bỏ mình trong một đời buông lung, đem lòng mê đắm không biết chán mà phạm hết mọi điều ô uế.|良 心 既 然 喪 盡 、 就 放 縱 私 慾 、 貪 行 種 種 的 污 穢 。
Nhưng anh em học cho biết Đấng Christ thì chẳng phải như vậy,|你 們 學 了 基 督 、 卻 不 是 這 樣 ．
vì anh em đã nghe đạo Ngài, và được dạy dỗ trong Ngài|如 果 你 們 聽 過 他 的 道 、 領 了 他 的 教 、 學 了 他 的 真 理 、
rằng anh em phải bỏ cách ăn nết ở ngày trước, thoát lốt người cũ là người bị hư hỏng bởi tư dục dỗ dành,|就 要 脫 去 你 們 從 前 行 為 上 的 舊 人 ． 這 舊 人 是 因 私 慾 的 迷 惑 、 漸 漸 變 壞 的 ．
mà phải làm nên mới trong tâm chí mình,|又 要 將 你 們 的 心 志 改 換 一 新 ．
và mặc lấy người mới, tức là người đã được dựng nên giống như Đức Chúa Trời, trong sự công bình và sự thánh sạch của lẽ thật.|並 且 穿 上 新 人 ． 這 新 人 是 照 著 　 神 的 形 像 造 的 、 有 真 理 的 仁 義 、 和 聖 潔 。
Như vậy, mỗi người trong anh em phải chừa sự nói dối, hãy nói thật với kẻ lân cận mình, vì chúng ta làm chi thể cho nhau.|所 以 你 們 要 棄 絕 謊 言 、 各 人 與 鄰 舍 說 實 話 ． 因 為 我 們 是 互 相 為 肢 體 。
Ví bằng anh em đương cơn giận, thì chớ phạm tội; chớ căm giận cho đến khi mặt trời lặn,|生 氣 卻 不 要 犯 罪 ． 不 可 含 怒 到 日 落 ．
và đừng cho ma quỉ nhơn dịp.|也 不 可 給 魔 鬼 留 地 步 。
Kẻ vốn hay trộm cắp chớ trộm cắp nữa; nhưng thà chịu khó, chính tay mình làm nghề lương thiện, đặng có vật chi giúp cho kẻ thiếu thốn thì hơn.|從 前 偷 竊 的 、 不 要 再 偷 ． 總 要 勞 力 、 親 手 作 正 經 事 、 就 可 有 餘 、 分 給 那 缺 少 的 人 。
chớ có một lời dữ nào ra từ miệng anh em; nhưng khi đáng nói hãy nói một vài lời lành giúp ơn cho và có ích lợi cho kẻ nghe đến.|污 穢 的 言 語 、 一 句 不 可 出 口 、 只 要 隨 事 說 造 就 人 的 好 話 、 叫 聽 見 的 人 得 益 處 。
Anh em chớ làm buồn cho Đức Thánh Linh của Đức Chúa Trời, vì nhờ Ngài anh em được ấn chứng đến ngày cứu chuộc.|不 要 叫 　 神 的 聖 靈 擔 憂 ． 你 們 原 是 受 了 他 的 印 記 、 等 候 得 贖 的 日 子 來 到 。
Phải bỏ khỏi anh em những sự cay đắng, buồn giận, tức mình, kêu rêu, mắng nhiếc, cùng mọi điều hung ác.|一 切 苦 毒 、 惱 恨 、 忿 怒 、 嚷 鬧 、 毀 謗 、 並 一 切 惡 毒 、 〔 或 作 陰 毒 〕 都 當 從 你 們 中 間 除 掉 ．
Hãy ở với nhau cách nhơn từ, đầy dẫy lòng thương xót, tha thứ nhau như Đức Chúa Trời đã tha thứ anh em trong Đấng Christ vậy.|並 要 以 恩 慈 相 待 、 存 憐 憫 的 心 、 彼 此 饒 恕 、 正 如 　 神 在 基 督 裡 饒 恕 了 你 們 一 樣 。

					Ê-phê-sô 5				|
						以弗所書 5					
Vậy anh em hãy trở nên kẻ bắt chước Đức Chúa Trời như con cái rất yêu dấu của Ngài;|所 以 你 們 該 效 法 　 神 、 好 像 蒙 慈 愛 的 兒 女 一 樣 ．
hãy bước đi trong sự yêu thương, cũng như Đấng Christ đã yêu thương anh em, và vì chúng ta phó chính mình Ngài cho Đức Chúa Trời làm của dâng và của tế lễ, như một thức hương có mùi thơm.|也 要 憑 愛 心 行 事 、 正 如 基 督 愛 我 們 、 為 我 們 捨 了 自 己 、 當 作 馨 香 的 供 物 、 和 祭 物 、 獻 與 　 神 。
Phàm những sự gian dâm, hoặc sự ô uế, hoặc sự tham lam, cũng chớ nên nói đến giữa anh em, theo như cách xứng đáng cho các thánh đồ.|至 於 淫 亂 、 並 一 切 污 穢 、 或 是 貪 婪 、 在 你 們 中 間 連 題 都 不 可 、 方 合 聖 徒 的 體 統 。
