
					Ai Ca 1				|
Đức Giê-hô-va đã làm sự mình định; đã làm trọn lời mà xưa kia mình đã truyền; Ngài đã lật đổ chẳng thương xót, Đã làm cho kẻ thù ngươi vui vì cớ ngươi, khiến sừng kẻ địch ngươi cất lên.|耶 和 華 成 就 了 他 所 定 的 、 應 驗 了 他 古 時 所 命 定 的 ． 他 傾 覆 了 、 並 不 顧 惜 、 使 你 的 仇 敵 向 你 誇 耀 、 使 你 敵 人 的 角 、 也 被 高 舉 。
Lòng dân ngươi kêu van đến Chúa. Hỡi tường thành con gái Si-ôn, hãy cho nước mắt ngươi ngày đêm chảy như sông! Đừng cho nghỉ ngơi; con ngươi mắt người chẳng thôi.|錫 安 民 的 心 哀 求 主 ． 錫 安 的 城 牆 阿 、 願 你 流 淚 如 河 、 晝 夜 不 息 ． 願 你 眼 中 的 瞳 人 、 淚 流 不 止 。
Hãy chổi dậy kêu van lúc ban đêm, vừa đầu các phiên canh; Đổ lòng ra như nước ở trước mặt Chúa. Hãy giơ tay hướng về Chúa vì sự sống con nhỏ ngươi, chúng nó ngất đi vì đói nơi góc phố.|夜 間 、 每 逢 交 更 的 時 候 要 起 來 呼 喊 、 在 主 面 前 傾 心 如 水 ． 你 的 孩 童 在 各 市 口 上 受 餓 發 昏 ． 你 要 為 他 們 的 性 命 向 主 舉 手 禱 告 。
Hỡi Đức Giê-hô-va, xin đoái xem! Ngài đã hề đãi ai như thế? Đờn bà há ăn trái ruột mình, tức con cái ẵm trong tay ư? Thầy tế lễ cùng tiên tri, há nên giết trong nơi thánh Chúa ư?|耶 和 華 阿 、 求 你 觀 看 、 見 你 向 誰 這 樣 行 ． 婦 人 豈 可 喫 自 己 所 生 育 手 裡 所 搖 弄 的 嬰 孩 麼 ． 祭 司 和 先 知 、 豈 可 在 主 的 聖 所 中 被 殺 戮 麼 。
Những người trẻ và già nằm sải trên đất trong đường phố. Những gái trẻ và trai trẻ ta đều ngã dưới mũi gươm. Ngài giết đi nơi ngày thạnh nộ, tru diệt chẳng xót thương.|少 年 人 和 老 年 人 、 都 在 街 上 躺 臥 、 我 的 處 女 和 壯 丁 、 都 倒 在 刀 下 ． 你 發 怒 的 日 子 、 殺 死 他 們 ． 你 殺 了 、 並 不 顧 惜 。
Ngài đã nhóm như ngày hội trọng thể những sự kinh hãi của tôi mọi bề. Nơi ngày thạnh nộ của Đức Giê-hô-va, chẳng ai thoát khỏi và sót lại. Những kẻ tôi đã bồng ẵm và thấy lớn lên, hết thảy đã bị quân nghịch hủy hại.|你 招 聚 四 圍 驚 嚇 我 的 、 像 在 大 會 的 日 子 招 聚 人 一 樣 ． 耶 和 華 發 怒 的 日 子 、 無 人 逃 脫 、 無 人 存 留 ． 我 所 搖 弄 所 養 育 的 嬰 孩 、 仇 敵 都 殺 淨 了 。

					Ai Ca 3				|
						耶利米哀歌 3					
Ta là người đã thấy khốn khổ bởi gậy thạnh nộ của Ngài.|我 是 因 耶 和 華 忿 怒 的 杖 、 遭 遇 困 苦 的 人 。
Ngài đã dắt ta và khiến ta bước đi trong tối tăm, chẳng bước đi trong sáng láng.|他 引 導 我 、 使 我 行 在 黑 暗 中 、 不 行 在 光 明 裡 。
Chắc Ngài trở tay cả ngày nghịch cùng ta nhiều lần.|他 真 是 終 日 再 三 反 手 攻 擊 我 。
Ngài đã làm hao mòn thịt và da, đã bẻ gãy xương ta,|他 使 我 的 皮 肉 枯 乾 ． 他 折 斷 〔 或 作 壓 傷 〕 我 的 骨 頭 。
Đã xây đắp nghịch cùng ta, vây ta bằng mật đắng và sự nhọc nhằn,|他 築 壘 攻 擊 我 、 用 苦 楚 〔 原 文 作 苦 膽 〕 和 艱 難 圍 困 我 。
Khiến ta ở trong nơi tối tăm, như người đã chết từ lâu đời.|他 使 我 住 在 幽 暗 之 處 、 像 死 了 許 久 的 人 一 樣 。
Ngài đã bao bọc ta bằng tường, mà không cho ra; lại làm cho nặng xiềng ta.|他 用 籬 笆 圍 住 我 、 使 我 不 能 出 去 ． 他 使 我 的 銅 鍊 沉 重 。
Khi ta kỳ lạ và xin cứu, Ngài bịt tai chẳng nghe lời cầu nguyện;|我 哀 號 求 救 、 他 使 我 的 禱 告 、 不 得 上 達 。
Lấy những đá đẽo lấp lối ta; Ngài đã làm cho đường nẻo ta quanh quẹo.|他 用 鑿 過 的 石 頭 、 擋 住 我 的 道 ． 他 使 我 的 路 彎 曲 。
Ngài đối với ta như gấu rình rập, như sư tử nơi kín đáo;|他 向 我 如 熊 埋 伏 、 如 獅 子 在 隱 密 處 。
Khiến ta lạc đường và vồ xé ta, cho ta phải sầu não.|他 使 我 轉 離 正 路 、 將 我 撕 碎 、 使 我 淒 涼 。
Ngài đã giương cung và chọn ta làm tròng cho tên Ngài.|他 張 弓 將 我 當 作 箭 靶 子 。
Ngài đã khiến tên trong bao Ngài vào trái cật ta:|他 把 箭 袋 中 的 箭 、 射 入 我 的 肺 腑 。
Ta làm trò cười cho cả dân ta, họ lấy ta làm bài hát cả ngày.|我 成 了 眾 民 的 笑 話 ． 他 們 終 日 以 我 為 歌 曲 。
Ngài đã cho ta đầy dẫy sự đắng cay, cho ta no nê bằng ngải cứu.|他 用 苦 楚 充 滿 我 、 使 我 飽 用 茵 蔯 。
Ngài đã lấy sỏi bẻ răng ta; vùi ta vào trong tro.|他 又 用 沙 石 磣 斷 我 的 牙 、 用 灰 塵 將 我 蒙 蔽 。
Ngài khiến hồn ta xa sự bình an, ta đã quên phước lành.|你 使 我 遠 離 平 安 ． 我 忘 記 好 處 。
Ta rằng: Hết sức mạnh ta, dứt lòng trông đợi Đức Giê-hô-va.|我 就 說 、 我 的 力 量 衰 敗 、 我 在 耶 和 華 那 裡 、 毫 無 指 望 。
Hãy nhớ đến sự hoạn nạn khốn khổ ta, là ngải cứu và mật đắng.|耶 和 華 阿 、 求 你 記 念 我 如 茵 蔯 和 苦 膽 的 困 苦 窘 迫 。
Hồn ta còn nhớ đến, và hao mòn trong ta.|我 心 想 念 這 些 、 就 在 裡 面 憂 悶 。
Ta nhớ lại sự đó, thì có sự trông mong:|我 想 起 這 事 、 心 裡 就 有 指 望 。
Ay là nhờ sự nhơn từ Đức Giê-hô-va mà chúng ta chưa tuyệt. Vì sự thương xót của Ngài chẳng dứt.|我 們 不 至 消 滅 、 是 出 於 耶 和 華 諸 般 的 慈 愛 、 是 因 他 的 憐 憫 、 不 至 斷 絕 。
Mỗi buổi sáng thì lại mới luôn, sự thành tín Ngài là lớn lắm.|每 早 晨 這 都 是 新 的 ． 你 的 誠 實 、 極 其 廣 大 。
Hồn ta nói: Đức Giê-hô-va là cơ nghiệp ta, nên ta để lòng trông cậy nơi Ngài.|我 心 裡 說 、 耶 和 華 是 我 的 分 ． 因 此 、 我 要 仰 望 他 。
Đức Giê-hô-va ban sự nhơn từ cho những kẻ trông đợi Ngài, cho linh hồn tìm cầu Ngài.|凡 等 候 耶 和 華 、 心 裡 尋 求 他 的 、 耶 和 華 必 施 恩 給 他 。
Thật tốt cho người trông mong và yên lặng đợi chờ sự cứu rỗi của Đức Giê-hô-va.|人 仰 望 耶 和 華 、 靜 默 等 候 他 的 救 恩 、 這 原 是 好 的 。
Thật tốt cho người mang ách lúc trẻ thơ.|人 在 幼 年 負 軛 、 這 原 是 好 的 。
Phải, nó phải ngồi một mình và làm thinh, vì Ngài đã gán ách trên mình.|他 當 獨 坐 無 言 、 因 為 這 是 耶 和 華 加 在 他 身 上 的 。
Nó khá để miệng trong bụi đất! hoặc giả sẽ có sự trông mong.|他 當 口 貼 塵 埃 、 或 者 有 指 望 。
Nó khá đưa má ra cho kẻ vả, khá chịu đầy nhuốc nha.|他 當 由 人 打 他 的 腮 頰 ． 要 滿 受 凌 辱 。
Vì Chúa chẳng hề bỏ cho đến đời đời.|因 為 主 必 不 永 遠 丟 棄 人 。
Dầu Ngài đã làm cho lo buồn, còn sẽ thương xót theo sự dư dật của lòng nhơn từ Ngài;|主 雖 使 人 憂 愁 、 還 要 照 他 諸 般 的 慈 愛 發 憐 憫 。
Vì ấy là chẳng phải bổn tâm Ngài làm cho con cái loài người cực khổ và buồn rầu.|因 他 並 不 甘 心 使 人 受 苦 、 使 人 憂 愁 。
Khi người ta giày đạp mọi kẻ tù trong đất,|人 將 世 上 被 囚 的 、 踹 〔 原 文 作 壓 〕 在 腳 下 、
Khi uốn cong lý đoán của người trước mặt Đấng Rất Cao,|或 在 至 高 者 面 前 屈 枉 人 、
Khi điên đảo ai trong sự xét đoán, thì Chúa chẳng ưng chịu.|或 在 人 的 訟 事 上 、 顛 倒 是 非 ． 這 都 是 主 看 不 上 的 。
Nếu chẳng phải Chúa truyền lịnh, ai hay nói ra và sự ấy được thành?|除 非 主 命 定 、 誰 能 說 成 就 成 呢 。
Há chẳng phải từ miệng Đấng Rất Cao ra tai họa và phước lành?|禍 福 不 都 出 於 至 高 者 的 口 麼 。
Cớ sao người đang sống phàn nàn vì chịu hình phạt về tội lỗi mình?|活 人 因 自 己 的 罪 受 罰 、 為 何 發 怨 言 呢 。
Chúng ta hãy xét và thử đường mình, trở về cùng Đức Giê-hô-va.|我 們 當 深 深 考 察 自 己 的 行 為 、 再 歸 向 耶 和 華 。
Chúng ta hãy giơ lòng và tay lên đến Đức Chúa Trời trên trời.|我 們 當 誠 心 向 天 上 的 　 神 舉 手 禱 告 。
Chúng tôi đã phạm phép, đã bạn nghịch; Ngài đã chẳng dung thứ!|我 們 犯 罪 背 逆 、 你 並 不 赦 免 。
Ngài lấy giận che mình và đuổi theo chúng tôi, giết lát chúng tôi, chẳng thương xót.|你 自 被 怒 氣 遮 蔽 、 追 趕 我 們 ． 你 施 行 殺 戮 、 並 不 顧 惜 。
Ngài ẩn mình trong mây, đến nỗi chẳng lời cầu nguyện nào thấu qua được.|你 以 黑 雲 遮 蔽 自 己 、 以 至 禱 告 不 得 透 入 。
Ngài làm chúng tôi ra của bỏ, ra đồ rác rến trong dân sự.|你 使 我 們 在 萬 民 中 成 為 污 穢 和 渣 滓 。
Mọi kẻ nghịch thù hả miệng rộng nghịch cùng chúng tôi.|我 們 的 仇 敵 、 都 向 我 們 大 大 張 口 。
Chúng tôi đã mắc sự sợ hãi, hầm hố, hủy diệt, và hư hại.|恐 懼 和 陷 坑 、 殘 害 和 毀 滅 、 都 臨 近 我 們 。
Mắt tôi chảy dòng nước, vì gái dân tôi mắc diệt vong.|因 我 眾 民 遭 的 毀 滅 、 我 就 眼 淚 下 流 如 河 。
Mắt tôi tuôn nước mắt, không thôi cũng không ngớt,|我 的 眼 多 多 流 淚 、 總 不 止 息 、
Cho đến chừng nào Đức Giê-hô-va đoái xem, từ trên trời ngó xuống.|直 等 耶 和 華 垂 顧 、 從 天 觀 看 。
Mắt tôi làm khổ linh hồn tôi, vì mọi con gái của thành tôi.|因 我 本 城 的 眾 民 、 我 的 眼 、 使 我 的 心 傷 痛 。
