
					Xê-ca-ri-a 1				|
Vậy nên Đức Giê-hô-va phán như vầy: Ta lấy lòng thương xót trở về cùng Giê-ru-sa-lem; nhà ta sẽ xây lại trong nó, dây mực sẽ giăng trên Giê-ru-sa-lem, Đức Giê-hô-va vạn quân phán vậy.|所 以 耶 和 華 如 此 說 、 現 今 我 回 到 耶 路 撒 冷 、 仍 施 憐 憫 ． 我 的 殿 必 重 在 其 中 、 準 繩 必 拉 在 耶 路 撒 冷 之 上 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Hãy kêu lần nữa mà rằng: Đức Giê-hô-va vạn quân phán như vầy: Các thành ta sẽ còn đầy tràn sự thịnh vượng, Đức Giê-hô-va sẽ còn yên ủi Si-ôn, và còn kén chọn Giê-ru-sa-lem.|你 要 再 宣 告 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 的 城 邑 、 必 再 豐 盛 發 達 ． 耶 和 華 必 再 安 慰 錫 安 、 揀 選 耶 路 撒 冷 。
Đoạn, ta ngước mắt lên, ta nhìn xem, nầy, có bốn cái sừng.|我 舉 目 觀 看 、 見 有 四 角 。
Ta bèn nói cùng thiên sứ đương nói với ta rằng: Những vật ấy là gì? Người đáp cùng ta rằng: Ay là những sừng đã làm tan tác Giu-đa, Y-sơ-ra-ên, và Giê-ru-sa-lem.|我 就 問 與 我 說 話 的 天 使 說 、 這 是 甚 麼 意 思 ． 他 回 答 說 、 這 是 打 散 猶 大 、 以 色 列 、 和 耶 路 撒 冷 的 角 。
Đoạn, Đức Giê-hô-va cho ta xem bốn người thợ rèn;|耶 和 華 又 指 四 個 匠 人 給 我 看 。
thì ta hỏi rằng: Những kẻ nầy đến làm chi? Ngài đáp rằng: Ay đó là những sừng đã làm tan tác Giu-đa, cho đến nỗi không người nào ngóc đầu lên được; nhưng những kẻ nầy đã đến để làm kinh hãi chúng nó, và để ném xuống những sừng của các nước đã cất sừng lên nghịch cùng đất Giu-đa đặng làm tan tác nó.|我 說 、 他 們 來 作 甚 麼 呢 ． 他 說 、 這 是 打 散 猶 大 的 角 、 使 人 不 敢 抬 頭 ． 但 這 些 匠 人 來 威 嚇 列 國 、 打 掉 他 們 的 角 、 就 是 舉 起 打 散 猶 大 地 的 角 。

					Xê-ca-ri-a 2				|
						撒迦利亞書 2					
Ta lại ngước mắt lên và nhìn xem; kìa, một người cầm dây đo trong tay.|我 又 舉 目 觀 看 、 見 一 人 手 拿 準 繩 。
Ta bèn nói cùng người rằng: Ong đi đâu? Người đáp rằng: Ta đi đo Giê-ru-sa-lem, để xem bề rộng và bề dài nó là bao nhiêu.|我 說 、 你 往 那 裡 去 ． 他 對 我 說 、 要 去 量 耶 路 撒 冷 、 看 有 多 寬 、 多 長 。
Nầy, thiên sứ đương nói cùng ta bèn đi ra, và một thiên sứ khác đi ra đón người,|與 我 說 話 的 天 使 去 的 時 候 、 又 有 一 位 天 使 迎 著 他 來 、
và bảo người rằng: Hãy chạy nói cùng người trai trẻ đó rằng: Giê-ru-sa-lem sẽ có dân cư và như làng không có tường thành, vì cớ rất đông người và súc vật ở giữa nó.|對 他 說 、 你 跑 去 告 訴 那 少 年 人 、 說 、 耶 路 撒 冷 必 有 人 居 住 、 好 像 無 城 牆 的 鄉 村 、 因 為 人 民 和 牲 畜 甚 多 。
Vì ta, Đức Giê-hô-va phán: Ta sẽ làm tường bằng lửa chung quanh nó, và sẽ làm sự vinh hiển ở giữa nó.|耶 和 華 說 、 我 要 作 耶 路 撒 冷 四 圍 的 火 城 、 並 要 作 其 中 的 榮 耀 。
Đức Giê-hô-va phán: Hè hè! các ngươi khá trốn, khá trốn khỏi đất phương bắc; vì ta đã làm cho các ngươi tan tác như bốn gió của trời, Đức Giê-hô-va phán vậy.|耶 和 華 說 、 我 從 前 分 散 你 們 在 天 的 四 方 ． 〔 原 文 作 猶 如 天 的 四 風 〕 現 在 你 們 要 從 北 方 之 地 逃 回 ． 這 是 耶 和 華 說 的 。
Hỡi Si-ôn ở với con gái Ba-by-lôn, hè, ngươi khá trốn đi.|與 巴 比 倫 人 同 住 的 錫 安 民 哪 、 應 當 逃 脫 。
Vì Đức Giê-hô-va vạn quân phán rằng: Sau sự vinh hiển, rồi Ngài sai ta đến cùng các nước cướp bóc các ngươi; vì ai đụng đến các ngươi tức là đụng đến con ngươi mắt Ngài.|萬 軍 之 耶 和 華 說 、 在 顯 出 榮 耀 之 後 、 差 遣 我 去 懲 罰 那 擄 掠 你 們 的 列 國 ． 摸 你 們 的 、 就 是 摸 他 眼 中 的 瞳 人 。
Vì nầy, ta sẽ vảy tay lên trên chúng nó, chúng nó sẽ làm mồi cho tôi tớ mình; và các ngươi sẽ biết rằng Đức Giê-hô-va vạn quân đã sai ta đến.|看 哪 、 我 〔 或 作 他 〕 要 向 他 們 掄 手 、 他 們 就 必 作 服 事 他 們 之 人 的 擄 物 、 你 們 便 知 道 萬 軍 之 耶 和 華 差 遣 我 了 。
Hỡi con gái Si-ôn, hãy hát mừng và vui vẻ; vì nầy, ta đến, và ta sẽ ở giữa ngươi, Đức Giê-hô-va phán vậy.|錫 安 城 阿 、 應 當 歡 樂 歌 唱 、 因 為 我 來 要 住 在 你 中 間 ． 這 是 耶 和 華 說 的 。
Trong ngày đó, nhiều nước sẽ quy phục Đức Giê-hô-va, và trở nên dân ta; ta sẽ ở giữa ngươi, ngươi sẽ biết rằng Đức Giê-hô-va vạn quân đã sai ta đến cùng ngươi.|那 時 、 必 有 許 多 國 歸 附 耶 和 華 、 作 他 〔 原 文 作 我 〕 的 子 民 ． 他 〔 原 文 作 我 〕 要 住 在 你 中 間 、 你 就 知 道 萬 軍 之 耶 和 華 差 遣 我 到 你 那 裡 去 了 。
Đức Giê-hô-va sẽ được Giu-đa làm phần sản nghiệp Ngài trong đất thánh, và Ngài sẽ còn kén chọn Giê-ru-sa-lem.|耶 和 華 必 收 回 猶 大 作 他 聖 地 的 分 、 也 必 再 揀 選 耶 路 撒 冷 。
Mọi xác thịt khá nín lặng trước mặt Đức Giê-hô-va; vì Ngài đã thức dậy từ nơi ngự thánh của Ngài.|凡 有 血 氣 的 、 都 當 在 耶 和 華 面 前 靜 默 無 聲 ． 因 為 他 興 起 、 從 聖 所 出 來 了 。

					Xê-ca-ri-a 3				|
						撒迦利亞書 3					
Đoạn, Đức Giê-hô-va cho ta xem thấy thầy tế lễ cả Giê-hô-sua đương đứng trước mặt thiên sứ Đức Giê-hô-va, và Sa-tan đứng bên hữu người đặng đối địch ngươi.|天 使 〔 原 文 作 他 〕 又 指 給 我 看 、 大 祭 司 約 書 亞 站 在 耶 和 華 的 使 者 面 前 、 撒 但 也 站 在 約 書 亞 的 右 邊 、 與 他 作 對 。
Đức Giê-hô-va phán cùng Sa-tan rằng: Hỡi Sa-tan, nguyền Đức Giê-hô-va quở trách ngươi; nguyền Đức Giê-hô-va là Đấng đã kén chọn Giê-ru-sa-lem quở trách ngươi. Chớ thì nầy há chẳng phải là cái đóm đã kéo ra từ lửa sao?|耶 和 華 向 撒 但 說 、 撒 但 哪 、 耶 和 華 責 備 你 、 就 是 揀 選 耶 路 撒 冷 的 耶 和 華 責 備 你 ． 這 不 是 從 火 中 抽 出 來 的 一 根 柴 麼 。
Vả, Giê-hô-sua mặc áo bẩn, đứng trước mặt thiên sứ.|約 書 亞 穿 著 污 穢 的 衣 服 、 站 在 使 者 面 前 。
Thiên sứ cất tiếng nói cùng những kẻ đứng ở trước mặt mình rằng: Hãy lột bỏ những áo bẩn khỏi nó. Lại nói cùng Giê-hô-sua rằng: Hãy nhìn xem, ta đã bỏ sự gian ác khỏi ngươi.|使 者 吩 咐 站 在 面 前 的 說 、 你 們 要 脫 去 他 污 穢 的 衣 服 。 又 對 約 書 亞 說 、 我 使 你 脫 離 罪 孽 、 要 給 你 穿 上 華 美 的 衣 服 。
Ta bèn nói rằng: Khá đội mũ sạch trên đầu người. Thì người ta đội trên đầu người một cái mũ sạch, đoạn mặc áo xống cho người; thiên sứ của Đức Giê-hô-va đương đứng đó.|我 說 、 要 將 潔 淨 的 冠 冕 戴 在 他 頭 上 ． 他 們 就 把 潔 淨 的 冠 冕 戴 在 他 頭 上 、 給 他 穿 上 華 美 的 衣 服 、 耶 和 華 的 使 者 在 旁 邊 站 立 。
Thiên sứ của Đức Giê-hô-va bèn đối chứng cùng Giê-hô-sua rằng:|耶 和 華 的 使 者 誥 誡 約 書 亞 說 、
Đức Giê-hô-va vạn quân phán như vầy: Nếu ngươi bước đi trong đường lối ta, vâng giữ điều ta dây phải giữ, thì ngươi sẽ được xét đoán nhà ta, và canh giữ hiên cửa ta, ta sẽ cho ngươi bước đi trong hàng những kẻ đứng chầu nầy.|萬 軍 之 耶 和 華 如 此 說 、 你 若 遵 行 我 的 道 、 謹 守 我 的 命 令 、 你 就 可 以 管 理 我 的 家 、 看 守 我 的 院 宇 ． 我 也 要 使 你 在 這 些 站 立 的 人 中 間 來 往 。
Hỡi Giê-hô-sua, thầy tế lễ cả, ngươi cùng bạn hữu ngươi ngồi trước mặt ngươi hãy nghe, vì những kẻ nầy làm dấu: nầy, quả thật ta sẽ làm cho đầy tớ ta là Chồi mống dấy lên.|大 祭 司 約 書 亞 阿 、 你 和 坐 在 你 面 前 的 同 伴 都 當 聽 ． （ 他 們 是 作 豫 兆 的 。 ） 我 必 使 我 僕 人 大 衛 的 苗 裔 發 出 。
Vì nầy, hòn đó mà ta để trước mặt Giê-hô-sua chỉ một hòn mà có bảy con mắt. Nầy, ta sẽ chạm trổ nó, và ta sẽ cất sự gian ác khỏi đất nầy trong một ngày, Đức Giê-hô-va vạn quân phán vậy.|看 哪 、 我 在 約 書 亞 面 前 所 立 的 石 頭 、 在 一 塊 石 頭 上 有 七 眼 。 萬 軍 之 耶 和 華 說 、 我 要 親 自 雕 刻 這 石 頭 、 並 要 在 一 日 之 間 除 掉 這 地 的 罪 孽 。
Đức Giê-hô-va vạn quân phán: Trong ngày đó, các ngươi ai nấy sẽ mời kẻ lân cận mình dưới cây nho và dưới cây vả.|當 那 日 你 們 各 人 要 請 鄰 舍 坐 在 葡 萄 樹 和 無 花 果 樹 下 ． 這 是 萬 軍 之 耶 和 華 說 的 。

					Xê-ca-ri-a 4				|
						撒迦利亞書 4					
Đoạn, thiên sứ nói cùng ta trở lại, đánh thức ta, như một người đương ngủ bị người ta đánh thức.|那 與 我 說 話 的 天 使 又 來 叫 醒 我 、 好 像 人 睡 覺 被 喚 醒 一 樣 。
Người nói cùng ta rằng: Ngươi thấy gì? Ta đáp rằng: Tôi nhìn xem, kìa một cái chơn đèn bằng vàng cả, và một cái chậu trên chót nó, nó có bảy ngọn đèn; có bảy cái ống cho mỗi ngọn đèn ở trên chót nó.|他 問 我 說 、 你 看 見 了 甚 麼 ． 我 說 、 我 看 見 了 一 個 純 金 的 燈 臺 、 頂 上 有 燈 盞 ． 燈 臺 上 有 七 盞 燈 、 每 盞 有 七 個 管 子 。
Ỡ kề bên lại có hai cây ô-li-ve, một cây ở bên hữu cái chậu, và một cái ở bên tả.|旁 邊 有 兩 棵 橄 欖 樹 、 一 棵 在 燈 盞 的 右 邊 、 一 棵 在 燈 盞 的 左 邊 。
Bấy giờ ta cất tiếng nói cùng thiên sứ đương nói với ta như vầy: Hỡi chúa tôi, những điều nầy là gì?|我 問 與 我 說 話 的 天 使 說 、 主 阿 、 這 是 甚 麼 意 思 。
Thiên sứ nói cùng ta đáp rằng: Ngươi không biết những điều nầy là gì sao? Ta nói: Thưa chúa! tôi không biết.|與 我 說 話 的 天 使 回 答 我 說 、 你 不 知 道 這 是 甚 麼 意 思 麼 ． 我 說 、 主 阿 、 我 不 知 道 。
Người đáp lại rằng: Đây là lời của Đức Giê-hô-va phán cho Xô-rô-ba-bên rằng: Ay chẳng phải là bởi quyền thế, cũng chẳng phải là bởi năng lực, bèn là bởi Thần ta, Đức Giê-hô-va vạn quân phán vậy.|他 對 我 說 、 這 是 耶 和 華 指 示 所 羅 巴 伯 的 ． 萬 軍 之 耶 和 華 說 、 不 是 倚 靠 勢 力 、 不 是 倚 靠 才 能 、 乃 是 倚 靠 我 的 靈 、 方 能 成 事 。
Hỡi núi lớn, ngươi là ai? Ở trước mặt Xô-rô-ba-bên ngươi sẽ trở nên đồng bằng. Nó sẽ đem đá chót ra; sẽ có tiếng kêu rằng: Xin ban ơn, ban ơn cho nó!|大 山 哪 、 你 算 甚 麼 呢 ． 在 所 羅 巴 伯 面 前 你 必 成 為 平 地 ． 他 必 搬 出 一 塊 石 頭 ． 安 在 殿 頂 上 ． 人 且 大 聲 歡 呼 、 說 、 願 恩 惠 恩 惠 、 歸 與 這 殿 。 〔 殿 或 作 石 〕
Lại có lời Đức Giê-hô-va phán cùng ta rằng:|耶 和 華 的 話 、 又 臨 到 我 說 、
Tay Xô-rô-ba-bên đã lập nền nhà nầy, thì tay nó cũng sẽ làm xong; và ngươi sẽ biết rằng Đức Giê-hô-va vạn quân đã sai ta đến cùng các ngươi.|所 羅 巴 伯 的 手 、 立 了 這 殿 的 根 基 ． 他 的 手 也 必 完 成 這 工 ． 你 就 知 道 萬 軍 之 耶 和 華 差 遣 我 到 你 們 這 裡 來 了 。
Vì ai là kẻ khinh dể ngày của những điều nhỏ mọn? Bảy con mắt Đức Giê-hô-va trải đi qua lại khắp đất, sẽ vui mà xem thấy dây chuẩn mực ở trong tay Xô-rô-ba-bên.|誰 藐 視 這 日 的 事 為 小 呢 ． 這 七 眼 乃 是 耶 和 華 的 眼 睛 、 遍 察 全 地 ． 見 所 羅 巴 伯 手 拿 線 鉈 就 歡 喜 。
Ta bèn đáp lại cùng người rằng: Hai nhánh ô-li-ve ở bên hữu và bên tả chơn đèn là gì?|我 又 問 天 使 說 、 這 燈 臺 左 右 的 兩 棵 橄 欖 樹 、 是 甚 麼 意 思 。
Ta lại cất tiếng nói cùng người lần thứ hai mà rằng: Hai nhánh ô-li-ve ở kề bên hai ống vòi vàng, có dầu vàng chảy ra, là gì?|我 二 次 問 他 說 、 這 兩 根 橄 欖 枝 、 在 兩 個 流 出 金 色 油 的 金 嘴 旁 邊 、 是 甚 麼 意 思 。
Người đáp rằng: Ngươi không biết những điều đó là gì sao? Ta nói: Thưa chúa, tôi không biết.|他 對 我 說 、 你 不 知 道 這 是 甚 麼 意 思 麼 ． 我 說 、 主 阿 、 我 不 知 道 。
Người bèn nói rằng: Ay là hai người chịu xức dầu, đứng bên Chúa của cả đất.|他 說 、 這 是 兩 個 受 膏 者 站 、 在 普 天 下 主 的 旁 邊 。

					Xê-ca-ri-a 5				|
						撒迦利亞書 5					
Đoạn, ta lại ngước mắt nhìn xem, nầy có một cuốn sách bay.|我 又 舉 目 觀 看 、 見 有 一 飛 行 的 書 卷 。
Người nói cùng ta rằng: Ngươi thấy gì? Ta trả lời rằng: Tôi thấy một cuốn sách bay, bề dài nó hai mươi cu-đê, bề ngang mười cu-đê.|他 問 我 說 、 你 看 見 甚 麼 ． 我 回 答 說 、 我 看 見 一 飛 行 的 書 卷 、 長 二 十 肘 、 寬 十 肘 。
Người bảo ta rằng: Ay là sự rủa sả tràn ra trên khắp mặt đất: hễ ai trộm cướp sẽ bị dứt đi theo chữ trên mặt nầy của cuốn sách nầy; hễ ai thề sẽ bị dứt đi theo chữ trên mặt kia của cuốn sách nầy.|他 對 我 說 、 這 是 發 出 行 在 遍 地 上 的 咒 詛 ． 凡 偷 竊 的 必 按 卷 上 這 面 的 話 除 滅 ． 凡 起 假 誓 的 必 按 卷 上 那 面 的 話 除 滅 。
Đức Giê-hô-va vạn quân phán rằng: Ta sẽ khiến cuốn sách nầy đi ra, nó sẽ vào trong nhà kẻ trộm, và trong nhà kẻ chỉ danh ta mà thề dối; thì nó sẽ ở giữa nhà kẻ ấy và thiêu nhà đi cả gỗ lẫn đá.|萬 軍 之 耶 和 華 說 、 我 必 使 這 書 卷 出 去 、 進 入 偷 竊 人 的 家 、 和 指 我 名 起 假 誓 人 的 家 、 必 常 在 他 家 裡 、 連 房 屋 帶 木 石 都 毀 滅 了 。
Thiên sứ nói cùng ta bèn đi ra và bảo ta rằng: Bây giờ hãy ngước mắt lên xem vật đi ra là gì.|與 我 說 話 的 天 使 出 來 、 對 我 說 、 你 要 舉 目 觀 看 、 見 所 出 來 的 是 甚 麼 。
Ta nói rằng: Ay là gì? Người đáp rằng: Ay là một cái ê-pha đương ra. Người lại nói, ấy là hình dáng chúng nó trong cả đất.|我 說 、 這 是 甚 麼 呢 ． 他 說 、 這 出 來 的 是 量 器 。 他 又 說 、 這 是 惡 人 在 遍 地 的 形 狀 ．
Đoạn, ta thấy một khối chi tròn được cất lên được cất lên, và một người đờn bà ngồi giữa ê-pha.|（ 我 見 有 一 片 圓 鉛 被 舉 起 來 。 ） 這 坐 在 量 器 中 的 是 個 婦 人 。
Người nói rằng: Ay đó là Sự hung ác. Rồi người quăng người đờn bà xuống vào giữa ê-pha, và chận khối chi trên miệng ê-pha.|天 使 說 、 這 是 罪 惡 ． 他 就 把 婦 人 扔 在 量 器 中 、 將 那 片 圓 鉛 扔 在 量 器 的 口 上 。
Bấy giờ ta ngước mắt nhìn xem, nầy, có hai người đờn bà ra, gió thổi trong những cánh chúng nó; và chúng nó có cánh như cánh con cò; và chúng nó cất ê-pha lên giữa khoảng trời và đất.|我 又 舉 目 觀 看 、 見 有 兩 個 婦 人 出 來 、 在 他 們 翅 膀 中 有 風 、 飛 得 甚 快 、 翅 膀 如 同 鸛 鳥 的 翅 膀 。 他 們 將 量 器 抬 起 來 、 懸 在 天 地 中 間 。
Ta hỏi thiên sứ đương nói cùng ta rằng: Chúng nó đem ê-pha đi đâu?|我 問 與 我 說 話 的 天 使 說 、 他 們 要 將 量 器 抬 到 那 裡 去 呢 。
Người đáp cùng ta rằng: Ay là để xây nhà cho nó trong đất Si-nê -a; khi đã sửa soạn rồi thì đặt nó vào chỗ nó.|他 對 我 說 、 要 往 示 拿 地 去 、 為 他 蓋 造 房 屋 ． 等 房 屋 齊 備 、 就 把 他 安 置 在 自 己 的 地 方 。

					Xê-ca-ri-a 6				|
						撒迦利亞書 6					
Ta lại ngước mắt lên, và nhìn xem; nầy, có bốn cỗ xe ra từ giữa hai hòn núi; và những núi ấy là núi bằng đồng.|我 又 舉 目 觀 看 、 見 有 四 輛 車 從 兩 山 中 間 出 來 ． 那 山 是 銅 山 。
Nơi cỗ xe thứ nhứt có những ngựa hồng; cổ xe thứ nhì ngựa ô;|第 一 輛 車 套 著 紅 馬 ． 第 二 輛 車 套 著 黑 馬 ．
cỗ xe thứ ba, ngựa trắng; cỗ xe thứ tư, ngựa xám vá.|第 三 輛 車 套 著 白 馬 ． 第 四 輛 車 套 著 有 斑 點 的 壯 馬 。
Đoạn ta cất tiếng hỏi thiên sứ nói cùng ta, mà rằng: Thưa chúa! những vật ấy là gì?|我 就 問 與 我 說 話 的 天 使 說 、 主 阿 、 這 是 甚 麼 意 思 。
Thiên sứ đáp cùng ta rằng: Ay là bốn gió trên trời, ra từ nơi mà chúng nó đứng trước mặt Chúa của khắp đất.|天 使 回 答 我 說 、 這 是 天 的 四 風 、 是 從 普 天 下 的 主 面 前 出 來 的 。
Những ngựa ô gác xe kia kéo ra đến xứ phương bắc, và những ngựa trắng ra theo nó; còn những ngựa vá kéo ra đến xứ phương nam.|套 著 黑 馬 的 車 往 北 方 去 、 白 馬 跟 隨 在 後 ． 有 斑 點 的 馬 往 南 方 去 。
Kế sau những ngựa mạnh kéo ra và đòi trải đi qua lại khắp đất. Thiên sứ nói cùng chúng nó rằng: Đi đi, và hãy chạy khắp đất. Vậy chúng nó trải đi qua lại khắp đất.|壯 馬 出 來 、 要 在 遍 地 走 來 走 去 ． 天 使 說 、 你 們 只 管 在 遍 地 走 來 走 去 ． 他 們 就 照 樣 行 了 。
Đoạn, người gọi ta và nói với ta rằng: Nầy, những ngựa ra đến phương bắc đã làm cho thần ta yên lặng ở phương bắc rồi.|他 又 呼 叫 我 說 、 看 哪 、 往 北 方 去 的 、 已 在 北 方 安 慰 我 的 心 。
Có lời của Đức Giê-hô-va phán cùng ta rằng:|耶 和 華 的 話 臨 到 我 說 、
Ngươi khá lấy những kẻ khỏi phu tù trở về từ Hiên-đai, từ Tô-bi-gia, từ Giê-đa-gia, nội ngày đó ngươi khá đến và vào nhà Giô-si -a, con trai Sô-phô-ni, là chỗ chúng nó từ Ba-by-lôn đã đến.|你 要 從 被 擄 之 人 中 取 黑 玳 、 多 比 雅 、 耶 大 雅 的 金 銀 ． 這 三 人 是 從 巴 比 倫 來 到 西 番 雅 的 兒 子 約 西 亞 的 家 裡 ． 當 日 你 要 進 他 的 家 、
Hãy nhận lấy bạc và vàng làm mũ triều thiên đội trên đầu thầy tế lễ cả Giê-hô-sua, con trai Giô-xa-đác.|取 這 金 銀 作 冠 冕 、 戴 在 約 撒 答 的 兒 子 大 祭 司 約 書 亞 的 頭 上 、
Ngươi khá nói cùng người rằng: Đức Giê-hô-va vạn quân có phán như vầy: Nầy, có một người tên là Chồi mống, sẽ nứt ra từ chỗ ngươi, và người ấy sẽ xây đền thờ Đức Giê-hô-va.|對 他 說 、 萬 軍 之 耶 和 華 如 此 說 、 看 哪 、 那 名 稱 為 大 衛 苗 裔 的 、 他 要 在 本 處 長 起 來 ． 並 要 建 造 耶 和 華 的 殿 。
Chính người sẽ xây đền thờ Đức Giê-hô-va; và chính người sẽ được sự oai nghiêm, ngồi cai trị trên ngôi mình, làm thầy tế lễ ở trên ngôi mình; và sẽ có mưu hòa bình ở giữa cả hai.|他 要 建 造 耶 和 華 的 殿 、 並 擔 負 尊 榮 、 坐 在 位 上 、 掌 王 權 ． 又 必 在 位 上 作 祭 司 、 使 兩 職 之 間 籌 定 和 平 。
Nhưng mũ triều thiên sẽ thuộc về Hê-lem, Tô-bi-gia, Giê-đa-gia, và Hên, con trai của Sô-phô-ni, để làm sự ghi nhớ trong đền thờ Đức Giê-hô-va.|這 冠 冕 要 歸 希 連 、 〔 就 是 黑 玳 〕 多 比 雅 、 耶 大 雅 、 和 西 番 雅 的 兒 子 賢 、 〔 賢 就 是 約 西 亞 〕 放 在 耶 和 華 的 殿 裡 為 記 念 。
