
					Hô-sê-a 1				|
Ta lại sẽ ban vườn nho cho nó từ nơi đó, và trũng A-cô sẽ trở nên cửa trông cậy. Nó sẽ trả lời tại đó như trong ngày trẻ tuổi nó, và như trong ngày nó ra khỏi đất Ê-díp-tô.|他 從 那 裡 出 來 、 我 必 賜 他 葡 萄 園 、 又 賜 他 亞 割 谷 作 為 指 望 的 門 、 他 必 在 那 裡 應 聲 、 〔 或 作 歌 唱 〕 、 與 幼 年 的 日 子 一 樣 、 與 從 埃 及 地 上 來 的 時 候 相 同 。
Đức Giê-hô-va phán rằng: Trong ngày đó ngươi sẽ gọi ta là: Chồng tôi, và sẽ không gọi ta là: Chủ tôi nữa.|耶 和 華 說 、 那 日 你 必 稱 呼 我 伊 施 、 〔 就 是 我 夫 的 意 思 〕 不 再 稱 呼 我 巴 力 、 〔 就 是 我 主 的 意 思 〕
Vì ta sẽ cất tên của các tượng Ba-anh khỏi miệng nó; và không ai nói đến tên chúng nó nữa.|因 為 我 必 從 我 民 的 口 中 除 掉 諸 巴 力 的 名 號 、 這 名 號 不 再 題 起 。
Trong ngày đó, ta sẽ vì chúng nó lập ước cùng những thú đồng, những chim trời, và côn trùng trên đất. Ta sẽ bẻ gãy và làm cho biến mất khỏi đất nầy những cung, những gươm, và giặc giã; và sẽ khiến dân sự được nằm yên ổn.|當 那 日 我 必 為 我 的 民 、 與 田 野 的 走 獸 、 和 空 中 的 飛 鳥 、 並 地 上 的 昆 蟲 立 約 ． 又 必 在 國 中 折 斷 弓 刀 、 止 息 爭 戰 、 使 他 們 安 然 躺 臥 。
Ta sẽ cưới ngươi cho ta đời đời; ta sẽ cưới ngươi cho ta trong sự công bình và chánh trực, nhơn từ và thương xót.|我 必 聘 你 永 遠 歸 我 為 妻 、 以 仁 義 、 公 平 、 慈 愛 、 憐 憫 聘 你 歸 我 ．
Phải, ta sẽ cưới ngươi cho ta trong sự thành tín, và ngươi sẽ biết Đức Giê-hô-va.|也 以 誠 實 聘 你 歸 我 、 你 就 必 認 識 我 耶 和 華 。
Đức Giê-hô-va phán: Trong ngày đó, ta sẽ trả lời, ta sẽ trả lời cho các từng trời, các từng trời sẽ trả lời cho đất.|耶 和 華 說 、 那 日 我 必 應 允 、 我 必 應 允 天 、 天 必 應 允 地 、
Đất sẽ trả lời cho lúa mì, cho rượu mới, cho dầu, và ba thứ nầy sẽ trả lời cho Gít-rê-ên.|地 必 應 允 五 榖 、 新 酒 、 和 油 、 這 些 必 應 允 耶 斯 列 民 、 〔 耶 斯 列 就 是 　 神 栽 種 的 意 思 〕
Đoạn ta sẽ gieo nó cho ta trong đất, và sẽ làm sự thương xót cho kẻ chưa được thương xót. Ta sẽ nói cùng những kẻ chưa làm dân ta rằng: Ngươi là dân ta, và nó sẽ trả lời rằng: Ngài là Đức Chúa Trời tôi.|我 必 將 他 種 在 這 地 、 素 不 蒙 憐 憫 的 、 我 必 憐 憫 、 本 非 我 民 的 、 我 必 對 他 說 、 你 是 我 的 民 、 他 必 說 、 你 是 我 的 　 神 。

					Hô-sê-a 3				|
						何西阿書 3					
Đức Giê-hô-va bảo ta rằng: Hãy đi, lại yêu một người đờn bà tà dâm đã có bạn yêu mình, theo như Đức Giê-hô-va vẫn yêu con cái Y-sơ-ra-ên, dầu chúng nó xây về các thần khác, và ưa bánh ngọt bằng trái nho.|耶 和 華 對 我 說 、 你 再 去 愛 一 個 淫 婦 、 就 是 他 情 人 所 愛 的 、 好 像 以 色 列 人 、 雖 然 偏 向 別 神 、 喜 愛 葡 萄 餅 、 耶 和 華 還 是 愛 他 們 。
Vậy ta đã mua đờn bà ấy bằng mười lăm miếng bạc và một hô-me rưỡi mạch nha.|我 便 用 銀 子 十 五 舍 客 勒 、 大 麥 一 賀 梅 珥 半 、 買 他 歸 我 。
Rồi ta bảo nó rằng: Ngươi khá chờ đợi ta lâu ngày; đừng làm sự gian dâm và chớ làm vợ cho người nam nào, thì ta đối với ngươi cũng sẽ làm như vậy.|我 對 他 說 、 你 當 多 日 為 我 獨 居 、 不 可 行 淫 、 不 可 歸 別 人 為 妻 、 我 向 你 也 必 這 樣 。
Vì con cái Y-sơ-ra-ên sẽ trải qua nhiều ngày, không vua, không quan trưởng, không của lễ, không trụ tượng, không ê-phót, và không thê-ra-phim.|以 色 列 人 也 必 多 日 獨 居 、 無 君 王 、 無 首 領 、 無 祭 祀 、 無 柱 像 、 無 以 弗 得 、 無 家 中 的 神 像 。
Nhưng, rồi đó, con cái Y-sơ-ra-ên sẽ trở lại tìm kiếm Giê-hô-va Đức Chúa Trời mình, và Đa-vít vua mình. Chúng nó sẽ kính sợ mà trở về cùng Đức Giê-hô-va, và được ơn Ngài trong những ngày sau rốt.|後 來 以 色 列 人 必 歸 回 、 〔 或 作 回 心 轉 意 〕 尋 求 他 們 的 　 神 耶 和 華 、 和 他 們 的 王 大 衛 ． 在 末 後 的 日 子 、 必 以 敬 畏 的 心 歸 向 耶 和 華 、 領 受 他 的 恩 惠 。

					Hô-sê-a 4				|
						何西阿書 4					
Hỡi con cái Y-sơ-ra-ên, hãy nghe lời của Đức Giê-hô-va; vì Đức Giê-hô-va có sự kiện cáo với dân đất nầy, bởi trong đất nầy chẳng có lẽ thật, chẳng có nhơn từ, cũng chẳng có sự nhận biết Đức Chúa Trời.|以 色 列 人 哪 、 你 們 當 聽 耶 和 華 的 話 ． 耶 和 華 與 這 地 的 居 民 爭 辯 、 因 這 地 上 無 誠 實 、 無 良 善 、 無 人 認 識 　 神 。
Ở đó chỉ thấy những sự thề gian, thất tín, giết người, ăn trộm, và tà dâm; chúng nó làm sự tàn bạo, máu chồng trên máu.|但 起 假 誓 、 不 踐 前 言 、 殺 害 、 偷 盜 、 姦 淫 、 行 強 暴 、 殺 人 流 血 接 連 不 斷 。
Vậy nên, đất ấy sẽ sầu thảm; hết thảy người ở đó sẽ hao mòn, những thú đồng và chim trời cũng vậy; những cá biển cũng sẽ bị lấy đi.|因 此 、 這 地 悲 哀 、 其 上 的 民 、 田 野 的 獸 、 空 中 的 鳥 、 必 都 衰 微 、 海 中 的 魚 也 必 消 滅 。
Dầu vậy, chớ có ai biện luận, chớ có ai quở trách! Vì dân ngươi giống như những người cãi lẫy thầy tế lễ.|然 而 人 都 不 必 爭 辯 、 也 不 必 指 責 、 因 為 這 民 與 抗 拒 祭 司 的 人 一 樣 。
Ngươi sẽ vấp ngã giữa ban ngày; chính mình kẻ tiên tri cũng sẽ vấp ngã với ngươi trong ban đêm, và ta sẽ diệt mẹ ngươi.|你 這 祭 司 、 必 日 間 跌 倒 、 ． 先 知 也 必 夜 間 與 你 一 同 跌 倒 ． 我 必 滅 絕 你 的 母 親 。
Dân ta bị diệt vì cớ thiếu sự thông biết. Bởi ngươi bỏ sự thông biết thì ta cũng bỏ ngươi, đặng ngươi không làm thầy tế lễ cho ta nữa; bởi ngươi đã quên luật pháp của Đức Chúa Trời mình, thì ta cũng sẽ quên con cái ngươi.|我 的 民 因 無 知 識 而 滅 亡 ． 你 棄 掉 知 識 、 我 也 必 棄 掉 你 、 使 你 不 再 給 我 作 祭 司 ． 你 既 忘 了 你 　 神 的 律 法 、 我 也 必 忘 記 你 的 兒 女 。
Chúng nó sanh sản nhiều ra bao nhiêu, thì chúng nó lại phạm tội nghịch cùng ta bấy nhiêu: ta sẽ đổi sự vinh hiển của chúng nó ra sỉ nhục.|祭 司 越 發 增 多 、 就 越 發 得 罪 我 ． 我 必 使 他 們 的 榮 耀 變 為 羞 辱 、
Chúng nó ăn tội lỗi dân ta; ham hố sự gian ác của nó.|他 們 喫 我 民 的 贖 罪 祭 、 滿 心 願 意 我 民 犯 罪 。
Sẽ xảy ra dân thể nào thì thầy tế lễ cũng thể ấy: ta sẽ phạt nó vì đường lối nó và sẽ trả cho nó tùy việc nó làm.|將 來 民 如 何 、 祭 司 也 必 如 何 、 我 必 因 他 們 所 行 的 懲 罰 他 們 、 照 他 們 所 作 的 報 應 他 們 。
Chúng nó sẽ ăn mà không được no, hành dâm mà không sanh sản thêm, vì chúng nó đã bỏ Đức Giê-hô-va không nghĩ đến Ngài nữa.|他 們 喫 、 卻 不 得 飽 ． 行 淫 、 而 不 得 立 後 ． 因 為 他 們 離 棄 耶 和 華 、 不 遵 他 的 命 。
Sự dâm dục, rượu cũ và rượu mới cất lấy hết trí khôn chúng nó.|姦 淫 和 酒 、 並 新 酒 、 奪 去 人 的 心 。
Dân ta hỏi tượng gỗ nó, thì gậy nó trả lời; vì lòng dâm làm lầm lạc chúng nó, và chúng nó phạm tội tà dâm mà lìa bỏ Đức Chúa Trời mình.|我 的 民 求 問 木 偶 、 以 為 木 杖 能 指 示 他 們 、 因 為 他 們 的 淫 心 使 他 們 失 迷 、 他 們 就 行 淫 離 棄 　 神 、 不 守 約 束 。
Chúng nó dâng tế lễ trên các chót núi; đốt hương trên các đồi, dưới những cây dẽ, cây liễu, cây thông, vì bóng nó mát mẻ lắm. Vậy nên, con gái các ngươi hành dâm, và dâu các ngươi phạm tội ngoại tình.|在 各 山 頂 、 各 高 岡 的 橡 樹 、 楊 樹 、 栗 樹 之 下 、 獻 祭 燒 香 、 因 為 樹 影 美 好 ． 所 以 你 們 的 女 兒 淫 亂 、 你 們 的 新 婦 〔 或 作 兒 婦 下 同 〕 行 淫 。
Ta sẽ không phạt con gái các ngươi bởi cớ hành dâm, cũng không phạt dâu các ngươi bởi cớ ngoại tình; vì những đờn ông đi riêng với đồ điếm đĩ, và dâng của lễ với đờn bà dâm đãng. Vậy nên dân sự chẳng hiểu biết sẽ bị úp đổ.|你 們 的 女 兒 淫 亂 、 你 們 的 新 婦 行 淫 、 我 卻 不 懲 罰 他 們 、 因 為 你 們 自 己 離 群 與 娼 妓 同 居 、 與 妓 女 一 同 獻 祭 、 這 無 知 的 民 、 必 致 傾 倒 。
Hỡi Y-sơ-ra-ên, dầu ngươi tà dâm, Giu-đa cũng không nên phạm tội! Vậy chớ vào nơi Ghinh-ganh! Chớ lên nơi Bết -A-ven! Chớ có thề mà rằng: Thật như Đức Giê-hô-va hằng sống.|以 色 列 阿 、 你 雖 然 行 淫 、 猶 大 卻 不 可 犯 罪 ． 不 要 往 吉 甲 去 、 不 要 上 到 伯 亞 文 、 也 不 要 指 著 永 生 的 耶 和 華 起 誓 。
Vì Y-sơ-ra-ên đã bạn nghịch như con bò cái tơ bất trị, nên bây giờ Đức Giê-hô-va cho chúng nó ăn cỏ như chiên con thả trong đồng rộng.|以 色 列 倔 強 、 猶 如 倔 強 的 母 牛 ． 現 在 耶 和 華 要 放 他 們 、 如 同 放 羊 羔 在 寬 闊 之 地 。
Ep-ra-im sa mê thần tượng, hãy để mặc nó!|以 法 蓮 親 近 偶 像 、 任 憑 他 罷 。
Đồ chúng nó uống đã chua đi; chúng nó làm sự gian dâm chẳng thôi. Các quan trưởng nó vui lòng trong sự sỉ nhục.|他 們 所 喝 的 已 經 發 酸 ． 他 們 時 常 行 淫 、 他 們 的 官 長 最 愛 羞 恥 的 事 。
Gió đã lấy cánh cuốn nó, và chúng nó sẽ mang xấu hổ vì của lễ mình.|風 把 他 們 裹 在 翅 膀 裡 ． 他 們 因 所 獻 的 祭 必 致 蒙 羞 。

					Hô-sê-a 5				|
						何西阿書 5					
Hỡi các thầy tế lễ, hãy nghe điều nầy; hỡi nhà Y-sơ-ra-ên, khá để ý; hỡi nhà vua, hãy lắng tai! Sự phán xét có quan hệ với các ngươi, vì các ngươi là bẫy ở Mích-ba, và giăng lưới trên Tha-bô.|眾 祭 司 阿 、 要 聽 我 的 話 。 以 色 列 家 阿 、 要 留 心 聽 ． 王 家 阿 、 要 側 耳 而 聽 ． 審 判 要 臨 到 你 們 、 因 你 們 在 米 斯 巴 如 網 羅 、 在 他 泊 山 如 鋪 張 的 網 。
Chúng nó là kẻ bạn nghịch đã vào sâu trong sự giết lát, nhưng ta sẽ quở trách chúng nó hết thảy.|這 些 悖 逆 的 人 、 肆 行 殺 戮 、 罪 孽 極 深 ． 我 卻 斥 責 他 們 眾 人 。
Ta biết Ep-ra-im, và Y-sơ-ra-ên không giấu với ta. Vả, hỡi Ep-ra-im, ngươi đã phạm tội tà dâm! Y-sơ-ra-ên bị ô uế!|以 法 蓮 為 我 所 知 ． 以 色 列 不 能 向 我 隱 藏 ． 以 法 蓮 哪 、 現 在 你 行 淫 了 、 以 色 列 被 玷 污 了 。
Công việc chúng nó làm ngăn trở chúng nó về cùng Đức Chúa Trời mình; vì lòng dâm trong chúng nó, và chúng nó không nhận biết Đức Giê-hô-va.|他 們 所 行 的 使 他 們 不 能 歸 向 　 神 、 因 有 淫 心 在 他 們 裡 面 、 他 們 也 不 認 識 耶 和 華 。
Sự kiêu ngạo của Y-sơ-ra-ên làm chứng tận mặt nó, nên Y-sơ-ra-ên và Ep-ra-im sẽ ngã xuống vì cớ tội lỗi mình; Giu-đa cũng sẽ ngã xuống với chúng nó.|以 色 列 的 驕 傲 當 面 見 證 自 己 ． 故 此 、 以 色 列 和 以 法 蓮 必 因 自 己 的 罪 孽 跌 倒 、 猶 大 也 必 與 他 們 一 同 跌 倒 。
Chúng nó sẽ đi với các bầy chiên bầy bò mình, đặng tìm kiếm Đức Giê-hô-va; song không thấy Ngài! Ngài đã lìa khỏi chúng nó.|他 們 必 牽 著 牛 羊 去 尋 求 耶 和 華 、 卻 尋 不 見 ． 他 已 經 轉 去 離 開 他 們 。
Chúng nó đã phỉnh dối Đức Giê-hô-va, vì đã sanh những con cái ngoại tình. Đến ngày trăng mới, chúng nó sẽ cùng sản nghiệp mình đều bị nuốt đi!|他 們 向 耶 和 華 行 事 詭 詐 、 生 了 私 子 ． 到 了 月 朔 、 他 們 與 他 們 的 地 業 必 被 吞 滅 。
Hãy thổi kèn ở Ghi-bê -a, hãy thổi loa ở Ra-ma! Hãy la lối ở Bết -A-ven! Hỡi Bên-gia-min, nó ở đằng sau ngươi!|你 們 當 在 基 比 亞 吹 角 、 在 拉 瑪 吹 號 、 在 伯 亞 文 吹 出 大 聲 、 說 、 便 雅 憫 哪 、 有 仇 敵 在 你 後 頭 。
Ep-ra-im sẽ nên hoang vu trong ngày quở trách; ta rao ra cho các chi phái Y-sơ-ra-ên một sự chắc sẽ xảy đến.|在 責 罰 的 日 子 、 以 法 蓮 必 變 為 荒 場 ． 我 在 以 色 列 支 派 中 、 指 示 將 來 必 成 的 事 。
Các quan trưởng Giu-đa giống như kẻ lấn địa giới; ta sẽ đổ cơn giận ta trên chúng nó như trút nước.|猶 大 的 首 領 如 同 挪 移 地 界 的 人 、 我 必 將 忿 怒 倒 在 他 們 身 上 、 如 水 一 般 。
Ep-ra-im bị hà hiếp, bị nghiền nát trong sự đoán xét, vì nó đã bằng lòng theo điều răn của loài người.|以 法 蓮 因 樂 從 人 的 命 令 、 就 受 欺 壓 、 被 審 判 壓 碎 。
Vậy nên, ta giống như con mọt cho Ep-ra-im, và như sự mục nát cho nhà Giu-đa.|我 使 以 法 蓮 如 蟲 蛀 之 物 、 使 猶 大 家 如 朽 爛 之 木 。
Khi Ep-ra-im đã biết bịnh mình, thì Ep-ra-im đi đến cùng người A-si-ri, và sai đến cùng vua Gia-rép. Nhưng nó không thể chữa lành các ngươi, và không buộc vết thương cho các ngươi.|以 法 蓮 見 自 己 有 病 、 猶 大 見 自 己 有 傷 、 他 們 就 打 發 人 往 亞 述 去 見 耶 雷 布 王 、 他 卻 不 能 醫 治 你 們 、 不 能 治 好 你 們 的 傷 。
Vì ta sẽ như một con sư tử cho Ep-ra-im, như một sư tử con cho nhà Giu-đa. Thật, chính ta, chính ta sẽ cắn xé rồi đi luôn; ta sẽ bắt đem đi và chẳng ai có thể giải cứu.|我 必 向 以 法 蓮 如 獅 子 、 向 猶 大 家 如 少 壯 獅 子 、 我 必 撕 裂 而 去 、 我 要 奪 去 、 無 人 搭 救 。
Ta sẽ đi, sẽ vào nơi ta, cho đến chừng nào chúng nó nhận biết mình phạm tội và tìm kiếm mặt ta. Trong cơn khốn nạn, chúng nó sẽ cố tìm ta.|我 要 回 到 原 處 、 等 他 們 自 覺 有 罪 、 〔 或 作 承 認 己 罪 〕 尋 求 我 面 、 他 們 在 急 難 的 時 候 必 切 切 尋 求 我 。

					Hô-sê-a 6				|
						何西阿書 6					
Hãy đến, chúng ta hãy trở về cùng Đức Giê-hô-va; vì Ngài đã xé chúng ta, song Ngài sẽ chữa lành cho; Ngài đã đánh chúng ta, song sẽ buộc vết tích.|來 罷 、 我 們 歸 向 耶 和 華 ． 他 撕 裂 我 們 、 也 必 醫 治 ． 他 打 傷 我 們 、 也 必 纏 裹 。
Trong hai ngày, Ngài sẽ khiến chúng ta tỉnh lại; ngày thứ ba, Ngài sẽ dựng chúng ta dậy, chúng ta sẽ sống trước mặt Ngài.|過 兩 天 他 必 使 我 們 甦 醒 、 第 三 天 他 必 使 我 們 興 起 、 我 們 就 在 他 面 前 得 以 存 活 。
Chúng ta khá nhận biết Đức Giê-hô-va; chúng ta khá gắng sức nhận biết Ngài. Sự hiện ra của Ngài là chắc chắn như sự hiện ra của mặt trời sớm mai, Ngài sẽ đến cùng chúng ta như mua, như mua cuối mùa tưới đất.|我 們 務 要 認 識 耶 和 華 、 竭 力 追 求 認 識 他 ． 他 出 現 確 如 晨 光 、 他 必 臨 到 我 們 像 甘 雨 、 像 滋 潤 田 地 的 春 雨 。
Ta sẽ làm gì cho ngươi, hỡi Ep-ra-im? Ta sẽ làm gì cho ngươi, hỡi Giu-đa? Vì lòng nhơn từ của các ngươi giống như mây buổi sáng, như móc tan ra vừa lúc sớm mai.|主 說 、 以 法 蓮 哪 、 我 可 向 你 怎 樣 行 呢 ． 猶 大 阿 、 我 可 向 你 怎 樣 作 呢 ． 因 為 你 們 的 良 善 如 同 早 晨 的 雲 霧 、 又 如 速 散 的 甘 露 。
Vậy nên ta đã dùng các tiên tri sửa phạt chúng nó; ta đã giết chúng nó bởi lời nói từ miệng ta: những sự phán xét của ta mọc lên như ánh sáng.|因 此 、 我 藉 先 知 砍 伐 他 們 、 以 我 口 中 的 話 殺 戮 他 們 、 我 施 行 的 審 判 如 光 發 出 。
Vì ta ưa sự nhơn từ và không ưa của lễ, ưa sự nhận biết Đức Chúa Trời hơn là ưa của lễ thiêu.|我 喜 愛 良 善 、 〔 或 作 憐 恤 〕 不 喜 愛 祭 祀 、 喜 愛 認 識 　 神 、 勝 於 燔 祭 。
