
					Ê-xê-ki-ên 1				|
Khi các vật sống đi, các bánh xe cũng đi kề bên; các vật sống bị cất lên khỏi đất, các bánh xe cũng bị cất lên như vậy.|活 物 行 走 輪 也 在 旁 邊 行 走 ． 活 物 從 地 上 升 、 輪 也 都 上 升 。
Thần muốn đi đâu thì các vật sống đi đó; thần đi đó thì các bánh xe cũng bị cất lên kề bên các vật sống; vì thần của vật sống đó ở trong các bánh xe.|靈 往 那 裡 去 、 活 物 就 往 那 裡 去 ． 活 物 上 升 、 輪 也 在 活 物 旁 邊 上 升 ． 因 為 活 物 的 靈 在 輪 中 。
Khi các vật sống đi, chúng nó cũng đi; dừng, chúng nó cũng dừng; và khi các vật sống bị cất lên khỏi đất, thì các bánh xe cũng bị cất lên kề bên, vì thần của vật sống ở trong các bánh xe.|那 些 行 走 、 這 些 也 行 走 、 那 些 站 住 、 這 些 也 站 住 、 那 些 從 地 上 升 、 輪 也 在 旁 邊 上 升 、 因 為 活 物 的 靈 在 輪 中 。
Ở trên đầu vật sống, thấy một vòng khung, giống như thủy tinh dễ sợ, giãi ra trên đầu chúng nó.|活 物 的 頭 以 上 、 有 穹 蒼 的 形 像 、 看 著 像 可 畏 的 水 晶 、 鋪 張 在 活 物 的 頭 以 上 。
Dưới vòng khung đó, các cánh nó sè thẳng ra, cái nầy đối với cái kia. Các vật ấy mỗi con có hai cánh che thân thể mình ở bên nầy và bên kia.|穹 蒼 以 下 、 活 物 的 翅 膀 直 張 、 彼 此 相 對 ． 每 活 物 有 兩 個 翅 膀 遮 體 。
Khi đi tới, ta nghe tiếng của những cánh chúng nó, như nước lớn ầm ầm, như tiếng của Đấng Toàn năng, tiếng om sòm như tiếng một đạo binh vậy. Khi dừng lại, thì xủ cánh xuống.|活 物 行 走 的 時 候 、 我 聽 見 翅 膀 的 響 聲 、 像 大 水 的 聲 音 、 像 全 能 者 的 聲 音 、 也 像 軍 隊 鬨 嚷 的 聲 音 、 活 物 站 住 的 時 候 、 便 將 翅 膀 垂 下 。
Lúc chúng nó dừng lại và xủ cánh xuống, thì từ nơi vòng khung trên đầy có tiếng vang ra.|在 他 們 頭 以 上 的 穹 蒼 之 上 有 聲 音 ． 他 們 站 住 的 時 候 、 便 將 翅 膀 垂 下 。
Bên trên vòng khung giãi trên đầu các vật sống, có hình như cái ngai, trạng nó như là bính ngọc; trên hình ngai ấy có hình như người ở trên nó.|在 他 們 頭 以 上 的 穹 蒼 之 上 、 有 寶 座 的 形 像 、 彷 彿 藍 寶 石 ． 在 寶 座 形 像 以 上 、 有 彷 彿 人 的 形 狀 。
Trong ngai và mọi nơi chung quanh, ta cũng thấy như đồng bóng nhoáng, giống lửa, từ trạng ngang lưng người ấy trở lên; và từ trạng ngang lưng trở xuống, ta thấy như lửa sáng hừng chung quanh.|我 見 從 他 腰 以 上 、 有 彷 彿 光 耀 的 精 金 、 周 圍 都 有 火 的 形 狀 、 又 見 從 他 腰 以 下 、 有 彷 彿 火 的 形 狀 、 周 圍 也 有 光 輝 。
Anh sáng thấy chung quanh đó giống như ánh sáng của cái mống trong mây khi đương mưa. Ay là tỏ ra hình trạng của sự vinh quang Đức Giê-hô-va. Ta thấy thì sấp mặt xuống, và nghe tiếng của một Đấng phán cùng ta.|下 雨 的 日 子 、 雲 中 虹 的 形 狀 怎 樣 、 周 圍 光 輝 的 形 狀 也 是 怎 樣 ． 這 就 是 耶 和 華 榮 耀 的 形 像 ． 我 一 看 見 就 俯 伏 在 地 、 又 聽 見 一 位 說 話 的 聲 音 。

					Ê-xê-ki-ên 2				|
						以西結書 2					
Ngài phán cùng ta rằng: Hỡi con người, chơn ngươi hãy đứng, ta sẽ phán cùng ngươi.|他 對 我 說 、 人 子 阿 、 你 站 起 來 、 我 要 和 你 說 話 。
Ngài vừa phán cùng ta như vậy, thì Thần vào trong ta, làm cho chơn ta đứng lên, và ta nghe Đấng đã phán cùng ta.|他 對 我 說 話 的 時 候 、 靈 就 進 入 我 裡 面 、 使 我 站 起 來 、 我 便 聽 見 那 位 對 我 說 話 的 聲 音 ．
Ngài phán cùng ta rằng: Hỡi con người, ta sai ngươi đến cùng con cái Y-sơ-ra-ên, đến các dân bạn nghịch nổi loạn nghịch cùng ta; chúng nó và tổ phụ mình đã phạm phép nghịch cùng ta cho đến chính ngày nay.|他 對 我 說 、 人 子 阿 、 我 差 你 往 悖 逆 的 國 民 以 色 列 人 那 裡 去 ． 他 們 是 悖 逆 我 的 、 他 們 和 他 們 的 列 祖 違 背 我 、 直 到 今 日 。
Ay là con cái dày mặt cứng lòng, ta sai ngươi đến cùng chúng nó. Khá nói cùng chúng nó rằng: Chúa Giê-hô-va có phán như vậy!|這 眾 子 、 面 無 羞 恥 、 心 裡 剛 硬 ． 我 差 你 往 他 們 那 裡 去 、 你 要 對 他 們 說 、 主 耶 和 華 如 此 說 。
Còn như chúng nó, hoặc nghe ngươi, hoặc chẳng khứng nghe, vì là nhà bạn nghịch, ít nữa chúng nó cũng biết rằng ở giữa mình đã có một đấng tiên tri.|他 們 或 聽 、 或 不 聽 、 （ 他 們 是 悖 逆 之 家 ） 必 知 道 在 他 們 中 間 有 了 先 知 。
Nhưng, hỡi con người, ngươi chớ sợ chúng nó, và chớ sợ lời chúng nó, dầu gai gốc ở với ngươi, và ngươi ở giữa bọ cạp mặc lòng. Phải, dầu chúng nó là nhà bạn nghịch, ngươi cũng đừng sợ lời chúng nó, và đừng kinh hãi mặt chúng nó.|人 子 阿 、 雖 有 荊 棘 和 蒺 藜 在 你 那 裡 、 你 又 住 在 蠍 子 中 間 、 總 不 要 怕 他 們 、 也 不 要 怕 他 們 的 話 、 他 們 雖 是 悖 逆 之 家 、 還 不 要 怕 他 們 的 話 、 也 不 要 因 他 們 的 臉 色 驚 惶 。
Vậy, ngươi khá đem lời ta nói cùng chúng nó, dầu nghe, dầu chẳng khứng nghe; vì chúng nó rất là bạn nghịch.|他 們 或 聽 、 或 不 聽 、 你 只 管 將 我 的 話 告 訴 他 們 ． 他 們 是 極 其 悖 逆 的 。
Nhưng, hỡi con người, hãy nghe điều ta phán cùng ngươi; chớ bạn nghịch như nhà nổi loạn ấy; hãy mở miệng, ăn lấy vật ta ban cho.|人 子 阿 、 要 聽 我 對 你 所 說 的 話 、 不 要 悖 逆 像 那 悖 逆 之 家 、 你 要 開 口 喫 我 所 賜 給 你 的 。
Ta bèn xem, nầy, có một cái tay giơ đến ta, cầm một bản sách cuốn.|我 觀 看 、 見 有 一 隻 手 向 我 伸 出 來 、 手 中 有 一 書 卷 。
Bản ấy giở ra trước mặt ta, có chữ đã chép, cả trong và ngoài; ấy là những lời ca thương, than thở, khốn nạn đã chép vào đó.|他 將 書 卷 在 我 面 前 展 開 、 內 外 都 寫 著 字 、 其 上 所 寫 的 有 哀 號 、 歎 息 、 悲 痛 的 話 。

					Ê-xê-ki-ên 3				|
						以西結書 3					
Ngài bèn phán cùng ta rằng: Hỡi con người, hãy ăn vật ngươi thấy; hãy ăn cuốn nầy, rồi đi, và nói cùng nhà Y-sơ-ra-ên.|他 對 我 說 、 人 子 阿 、 要 喫 你 所 得 的 、 要 喫 這 書 卷 、 好 去 對 以 色 列 家 講 說 。
Ta mở miệng ra, và Ngài khiến ta ăn cuốn ấy.|於 是 我 開 口 、 他 就 使 我 喫 這 書 卷 。
Ngài phán: Hỡi con người, hãy lấy cuốn ta cho ngươi mà khiến bụng ăn và làm đầy ruột. Vậy ta ăn lấy, thì trong miệng ngọt như mật.|又 對 我 說 、 人 子 阿 、 要 喫 我 所 賜 給 你 的 這 書 卷 、 充 滿 你 的 肚 腹 ． 我 就 喫 了 、 口 中 覺 得 其 甜 如 蜜 。
Ngài lại phán: Hỡi con người, hãy đi, hãy đến cùng nhà Y-sơ-ra-ên, đem những lời ta, thuật lại cho chúng nó.|他 對 我 說 、 人 子 阿 、 你 往 以 色 列 家 那 裡 去 、 將 我 的 話 對 他 們 講 說 。
Vả, ấy chẳng phải ta sai ngươi đến cùng dân nói tiếng mọi rợ khó hiểu; bèn là đến cùng nhà Y-sơ-ra-ên.|你 奉 差 遣 不 是 往 那 說 話 深 奧 、 言 語 難 懂 的 民 那 裡 去 、 乃 是 往 以 色 列 家 去 。
Thật, chẳng phải ta sai ngươi đến cùng nhiều dân nói tiếng mọi rợ khó hiểu, mà ngươi không thể hiểu lời chúng nó; nếu ta sai ngươi đến cùng chúng nó, chắc chúng nó sẽ nghe ngươi.|不 是 往 那 說 話 深 奧 、 言 語 難 懂 的 多 國 去 、 他 們 的 話 語 是 你 不 懂 得 的 、 我 若 差 你 往 他 們 那 裡 去 、 他 們 必 聽 從 你 。
Nhưng nhà Y-sơ-ra-ên chẳng nghe ngươi, vì nó không muốn nghe ta; bởi chưng cả nhà Y-sơ-ra-ên đều cứng trán cứng lòng.|以 色 列 家 卻 不 肯 聽 從 你 、 因 為 他 們 不 肯 聽 從 我 ． 原 來 以 色 列 全 家 是 額 堅 心 硬 的 人 。
Nầy, ta làm cho mặt ngươi dạn nghịch cùng mặt chúng nó, trán ngươi cứng nghịch cùng trán chúng nó.|看 哪 、 我 使 你 的 臉 硬 過 他 們 的 臉 、 使 你 的 額 硬 過 他 們 的 額 。
Ta làm cho trán ngươi cứng như kim cương, cứng hơn đá lửa. Đừng sợ và đừng run rẩy vì bộ mặt chúng nó, dầu chúng nó là nhà bạn nghịch mặc lòng!|我 使 你 的 額 像 金 鋼 鑽 、 比 火 石 更 硬 ． 他 們 雖 是 悖 逆 之 家 、 你 不 要 怕 他 們 、 也 不 要 因 他 們 的 臉 色 驚 惶 。
Đoạn, Ngài phán cùng ta rằng: Hỡi con người, hãy nhận vào lòng và nghe vào tai mọi lời ta sẽ phán cùng ngươi.|他 又 對 我 說 、 人 子 阿 、 我 對 你 所 說 的 一 切 話 、 要 心 裡 領 會 、 耳 中 聽 聞 。
Hãy đi, đến cùng những kẻ bị đày, cùng các con cái của dân ngươi. Khá nói cùng chúng nó, dầu chúng nó nghe, dầu chẳng khứng nghe, ngươi cũng nói với rằng: Chúa Giê-hô-va có phán như vậy.|你 往 你 本 國 被 擄 的 子 民 那 裡 去 、 他 們 或 聽 、 或 不 聽 、 你 要 對 他 們 講 說 、 告 訴 他 們 、 這 是 主 耶 和 華 說 的 。
Bấy giờ Thần cất ta lên, và ta nghe có tiếng ào ào rất lớn ở đằng sau ta rằng: Đáng chúc phước cho sự vinh hiển Đức Giê-hô-va từ nơi Ngài!|那 時 靈 將 我 舉 起 、 我 就 聽 見 在 我 身 後 有 震 動 轟 轟 的 聲 音 、 說 、 從 耶 和 華 的 所 在 顯 出 來 的 榮 耀 是 該 稱 頌 的 。
Ta cũng nghe tiếng cánh của các vật sống đập cái nầy với cái khác, tiếng của những bánh xe kề các vật ấy, và tiếng ào ào rất lớn.|我 又 聽 見 那 活 物 翅 膀 相 碰 、 與 活 物 旁 邊 輪 子 旋 轉 震 動 轟 轟 的 響 聲 。
Đoạn, Thần cất ta lên và đem ta đi; ta đi, lòng ta đầy sự cay đắng nóng nảy, tay Đức Giê-hô-va đặt trên ta cách mạnh mẽ.|於 是 靈 將 我 舉 起 帶 我 而 去 、 我 心 中 甚 苦 、 靈 性 忿 激 ． 並 且 耶 和 華 的 靈 〔 原 文 作 手 〕 在 我 身 上 大 有 能 力 。
Ta bèn đi đến Tên -A-bíp cùng những kẻ bị đày ở trên bờ sông Kê-ba. Ta dừng lại nơi họ đương ở, và trú lại giữa họ bảy ngày, buồn rầu lặng lẽ.|我 就 來 到 提 勒 亞 畢 住 在 迦 巴 魯 河 邊 被 擄 的 人 那 裡 、 到 他 們 所 住 的 地 方 ． 在 他 們 中 間 憂 憂 悶 悶 地 坐 了 七 日 。
Khỏi bảy ngày, có lời của Đức Giê-hô-va phán cùng ta như vầy:|過 了 七 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, ta đã lập ngươi lên đặng canh giữ nhà Y-sơ-ra-ên; khá nghe lời từ miệng ta, và thay ta răn bảo chúng nó.|人 子 阿 、 我 立 你 作 以 色 列 家 守 望 的 人 、 所 以 你 要 聽 我 口 中 的 話 、 替 我 警 戒 他 們 。
Khi ta nói với kẻ dữ rằng: Mầy chắc sẽ chết! Nếu ngươi không răn bảo nó, không nói với nó đặng khuyên nó từ bỏ đường xấu để cứu mạng mình, thì người dự đó sẽ chết trong tội lỗi nó; nhưng ta sẽ đòi huyết nó nơi tay ngươi.|我 何 時 指 著 惡 人 說 、 他 必 要 死 、 你 若 不 警 戒 他 、 也 不 勸 戒 他 、 使 他 離 開 惡 行 、 拯 救 他 的 性 命 、 這 惡 人 必 死 在 罪 孽 之 中 、 我 卻 要 向 你 討 他 喪 命 的 罪 。 〔 原 文 作 血 〕
Trái lại, nếu ngươi răn bảo kẻ dữ, mà nó không từ bỏ sự dự cùng đường xấu mình, thì nó sẽ chết trong tội lỗi nó; còn ngươi, thì giải cứu được linh hồn mình.|倘 若 你 警 戒 惡 人 、 他 仍 不 轉 離 罪 惡 、 也 不 離 開 惡 行 、 他 必 死 在 罪 孽 之 中 、 你 卻 救 自 己 脫 離 了 罪 。
Cũng một lẽ ấy, nếu người công bình bỏ sự công bình mà phạm tội, và ta đặt sự ngăn trở trước mặt nó, thì nó sẽ chết. Thế thì, vì ngươi không răn bảo người ấy, nên nó sẽ chết trong tội lỗi nó, và không còn được ghi nhớ những việc công bình nó đã làm; nhưng ta sẽ đòi huyết nó nơi tay ngươi.|再 者 、 義 人 何 時 離 義 而 犯 罪 、 我 將 絆 腳 石 放 在 他 面 前 、 他 就 必 死 ． 因 你 沒 有 警 戒 他 、 他 必 死 在 罪 中 、 他 素 來 所 行 的 義 不 被 記 念 、 我 卻 要 向 你 討 他 喪 命 的 罪 。 〔 原 文 作 血 〕
Trái lại, nếu ngươi răn bảo người công bình, khiến đừng phạm tội, mà thật ra nó không phạm tội, thì chắc nó sẽ sống, vì đã nghe lời răn bảo; còn ngươi, thì giải cứu được linh hồn mình.|倘 若 你 警 戒 義 人 、 使 他 不 犯 罪 、 他 就 不 犯 罪 、 他 因 受 警 戒 就 必 存 活 、 你 也 救 自 己 脫 離 了 罪 。
Tại đó, tay Đức Giê-hô-va ở trên ta, và Ngài phán cùng ta rằng: Hãy chờ dậy, đi trong nơi đồng bằng, tại đó ta sẽ phán cùng ngươi.|耶 和 華 的 靈 〔 原 文 作 手 〕 在 那 裡 降 在 我 身 上 、 他 對 我 說 、 你 起 來 往 平 原 去 、 我 要 在 那 裡 和 你 說 話 。
Vậy ta chờ dậy và ra đi trong đồng bằng. Nầy, sự vinh hiển Đức Giê-hô-va đứng đó, như sự vinh hiển ta đã thấy trên bờ sông Kê-ba. Ta bèn ngã sấp mặt xuống,|於 是 我 起 來 往 平 原 去 、 不 料 、 耶 和 華 的 榮 耀 、 正 如 我 在 迦 巴 魯 河 邊 所 見 的 一 樣 、 停 在 那 裡 、 我 就 俯 伏 於 地 。
thì Thần vào trong ta, làm cho chơn ta đứng lên. Đoạn, Ngài phán cùng ta, và bảo rằng: Hãy đi, giam mình trong nhà ngươi.|靈 就 進 入 我 裡 面 、 使 我 站 起 來 ． 耶 和 華 對 我 說 、 你 進 房 屋 去 、 將 門 關 上 。
Hỡi con người, nầy, người ta sẽ lấy dây trói ngươi, và ngươi không thể đi ra giữa chúng nó.|人 子 阿 、 人 必 用 繩 索 捆 綁 你 、 你 就 不 能 出 去 在 他 們 中 間 來 往 。
Ta sẽ khiến lưỡi ngươi dính vào cửa họng ngươi: ngươi sẽ câm, không quở trách chúng nó được; vì chúng nó là nhà bạn nghịch.|我 必 使 你 的 舌 頭 貼 住 上 膛 、 以 致 你 啞 口 、 不 能 作 責 備 他 們 的 人 ． 他 們 原 是 悖 逆 之 家 。
Nhưng khi ta phán cùng ngươi, ta sẽ mở miệng ngươi, và ngươi khá bảo chúng nó rằng: Chúa Giê-hô-va phán như vầy: Ai nghe, hãy nghe; ai không nghe, thì đừng nghe! Vì chúng nó là nhà bạn nghịch.|但 我 對 你 說 話 的 時 候 、 必 使 你 開 口 、 你 就 要 對 他 們 說 、 主 耶 和 華 如 此 說 、 聽 的 可 以 聽 、 不 聽 的 任 他 不 聽 ． 因 為 他 們 是 悖 逆 之 家 。

					Ê-xê-ki-ên 4				|
						以西結書 4					
Hỡi con người, hãy lấy một tấm ngói, đặt nó trước mặt ngươi, và vẽ thành Giê-ru-sa-lem ở trên.|人 子 阿 、 你 要 拿 一 塊 磚 、 擺 在 你 面 前 、 將 一 座 耶 路 撒 冷 城 、 畫 在 其 上 。
Ngươi khá vây hãm nó; dựng đồn, đắp lũy nghịch cùng nó; đóng quân vây bọc lấy, và đặt máy phá thành xung quanh nghịch cùng nó.|又 圍 困 這 城 、 造 臺 築 壘 、 安 營 攻 擊 、 在 四 圍 安 設 撞 錘 攻 城 。
Lại hãy lấy một chảo sắt, đặt nó làm cái tường sắt giữa ngươi và thành; rồi ngươi xây mặt lại cùng nó; nó sẽ bị vây, và ngươi sẽ vây nó. Đó sẽ là một điềm cho nhà Y-sơ-ra-ên.|又 要 拿 個 鐵 鏊 、 放 在 你 和 城 的 中 間 、 作 為 鐵 牆 ． 你 要 對 面 攻 擊 這 城 、 使 城 被 困 、 這 樣 、 好 作 以 色 列 家 的 豫 兆 。
Kế đó, ngươi khá nằm nghiêng mình bên tả, và để tội lỗi nhà Y-sơ-ra-ên tại đó. Ngươi nằm như vậy bao nhiêu ngày, thì mang lấy tội lỗi chúng nó cũng bấy nhiêu.|你 要 向 左 側 臥 、 承 當 以 色 列 家 的 罪 孽 ． 要 按 你 向 左 側 臥 的 日 數 、 擔 當 他 們 的 罪 孽 ．
Vì ta đã định cho ngươi một số ngày bằng với số năm của tội lỗi chúng nó, là ba trăm chín mươi ngày, ngươi sẽ mang lấy tội lỗi nhà Y-sơ-ra-ên như vậy.|因 為 我 已 將 他 們 作 孽 的 年 數 、 定 為 你 向 左 側 臥 的 日 數 、 就 是 三 百 九 十 日 、 你 要 這 樣 擔 當 以 色 列 家 的 罪 孽 。
Vả lại, khi những ngày ấy đã mãn, ngươi khá nằm nghiêng mình bên hữu, và mang lấy tội lỗi của nhà Giu-đa, trải bốn mươi ngày, ta định cho ngươi mỗi một ngày thay vì một năm.|再 者 、 你 滿 了 這 些 日 子 、 還 要 向 右 側 臥 、 擔 當 猶 大 家 的 罪 孽 、 我 給 你 定 規 側 臥 四 十 日 、 一 日 頂 一 年 。
Ngươi khá xây mặt và quay cánh tay trần về sự vây hãm thành Giê-ru-sa-lem; ngươi khá nói tiên tri nghịch cùng nó.|你 要 露 出 膀 臂 、 面 向 被 困 的 耶 路 撒 冷 、 說 豫 言 攻 擊 這 城 。
Nầy, ta dùng dây trói ngươi, và ngươi sẽ chẳng quay bên nầy bên kia, cho đến những ngày ngươi vây thành đã trọn.|我 用 繩 索 捆 綁 你 、 使 你 不 能 輾 轉 、 直 等 你 滿 了 困 城 的 日 子 。
Cũng hãy lấy lúa mì, mạch nha, đậu, biển đậu, kê và đại mạch, để vào một bình, dùng làm bánh cho mình; ngươi nằm nghiêng bao nhiêu ngày, thì ngươi sẽ ăn bánh ấy trong bấy nhiêu ngày, tức là ba trăm chín mươi ngày.|你 要 取 小 麥 、 大 麥 、 豆 子 、 紅 豆 、 小 米 、 粗 麥 、 裝 在 一 個 器 皿 中 、 用 以 為 自 己 作 餅 、 要 按 你 側 臥 的 三 百 九 十 日 喫 這 餅 。
Đồ ăn ngươi sẽ ăn, cứ mỗi ngày nặng hai mươi siếc-lơ; ngươi sẽ ăn theo thì giờ.|你 所 喫 的 、 要 按 分 兩 喫 、 每 日 二 十 舍 客 勒 、 按 時 而 喫 。
Nước ngươi uống cũng sẽ lường, là một phần sáu hin; theo thì giờ mà uống.|你 喝 水 也 要 按 制 子 、 每 日 喝 一 欣 六 分 之 一 、 按 時 而 喝 。
Ngươi sẽ ăn bánh ấy như bánh mạch nha, mà phải dùng phân ngươi nấu chín trước mắt chúng nó.|你 喫 這 餅 、 像 喫 大 麥 餅 一 樣 、 要 用 人 糞 在 眾 人 眼 前 燒 烤 。
Đức Giê-hô-va lại phán: Ay con cái Y-sơ-ra-ên sẽ ăn bánh dơ bẩn của chúng nó như vậy, trong các nước mà ta sẽ đuổi chúng nó đến.|耶 和 華 說 、 以 色 列 人 在 我 所 趕 他 們 到 的 各 國 中 、 也 必 這 樣 喫 不 潔 淨 的 食 物 。
Ta bèn nói: Oi! hỡi Chúa Giê-hô-va, nầy, linh hồn tôi chẳng hề bị ô uế. Từ lúc còn nhỏ đến bây giờ, tôi chẳng hề ăn con vậy đã chết tự nhiên, hoặc bị thú vật xé; và chẳng có thịt gớm ghiếc nào đã vào trong miệng tôi.|我 說 、 哎 、 主 耶 和 華 阿 、 我 素 來 未 曾 被 玷 污 、 從 幼 年 到 如 今 沒 有 喫 過 自 死 的 、 或 被 野 獸 撕 裂 的 、 那 可 憎 的 肉 也 未 曾 入 我 的 口 。
Ngài đáp rằng: Ta cho phép ngươi lấy phân bò thay phân người; ngươi khá dùng nó mà hấp bánh.|於 是 他 對 我 說 、 看 哪 、 我 給 你 牛 糞 代 替 人 糞 、 你 要 將 你 的 餅 烤 在 其 上 。
Đoạn, Ngài lại phán: Hỡi con người, nầy, ta sẽ bẻ gậy bánh trong Giê-ru-sa-lem đi; chúng nó sẽ cân bánh mà ăn, và sợ hãi, lường nước mà uống, và sững sờ.|他 又 對 我 說 、 人 子 阿 、 我 必 在 耶 路 撒 冷 折 斷 他 們 的 杖 、 就 是 斷 絕 他 們 的 糧 、 他 們 喫 餅 要 按 分 兩 、 憂 慮 而 喫 、 喝 水 也 要 按 制 子 、 驚 惶 而 喝 ．
Thế thì chúng nó thiếu bánh và nước, cùng nhau thất kinh, và hao mòn trong tội lỗi mình.|使 他 們 缺 糧 、 缺 水 、 彼 此 驚 惶 、 因 自 己 的 罪 孽 消 滅 。

					Ê-xê-ki-ên 5				|
						以西結書 5					
Hỡi con người, còn như ngươi, hãy lấy một cái gươm bén như dao cạo râu, lấy mà đưa qua trên đầu và râu ngươi. Rồi dùng cân cân, và chia tóc.|人 子 阿 、 你 要 拿 一 把 快 刀 、 當 作 剃 頭 刀 、 用 這 刀 剃 你 的 頭 髮 、 和 你 的 鬍 鬚 、 用 天 平 將 鬚 髮 平 分 。
Khi những ngày vây thành đã mãn, ngươi hãy đốt nó một phần ba tại giữa thành; rồi lấy một phần ba khác, dùng gươm mà đánh nó tại chung quanh thành. Sau lai, hãy rắc tan một phần ba cuối cùng ra trước gió, chính ta sẽ tuốt gươm theo sau.|圍 困 城 的 日 子 滿 了 、 你 要 將 三 分 之 一 在 城 中 用 火 焚 燒 、 將 三 分 之 一 在 城 的 四 圍 用 刀 砍 碎 、 將 三 分 之 一 任 風 吹 散 ． 我 也 要 拔 刀 追 趕 。
Trong những cái còn lại, ngươi khá lấy một ít mà buộc vào vạt áo choàng mình;|你 要 從 其 中 取 幾 根 、 包 在 衣 襟 裡 ．
