
					Giê-rê-mi-a 1				|
Như kẻ trộm bị bắt, xấu hổ thể nào, thì nhà Y-sơ-ra-ên, nào vua, nào quan trưởng, nào thầy tế lễ, nào kẻ tiên tri, cũng sẽ xấu hổ thể ấy.|賊 被 捉 拿 、 怎 樣 羞 愧 、 以 色 列 家 、 和 他 們 的 君 王 、 首 領 、 祭 司 、 先 知 、 也 照 樣 羞 慚 ．
Chúng nói với gỗ rằng: Ngài là cha tôi; với đá rằng: Ngài đã sanh ra tôi. Vì chúng đã xây lưng lại cùng ta, mà không xây mặt lại với ta. Đoạn, đến ngày hoạn nạn, chúng sẽ nói rằng: Hãy chỗi dậy, cứu lấy chúng tôi!|他 們 向 木 頭 說 、 你 是 我 的 父 、 向 石 頭 說 、 你 是 生 我 的 ． 他 們 以 背 向 我 、 不 以 面 向 我 ． 及 至 遭 遇 患 難 的 時 候 卻 說 、 起 來 拯 救 我 們 。
Vậy chớ nào các thần mà các ngươi đã làm ra cho mình ở đâu? Nếu các thần ấy có thể cứu các ngươi trong kỳ hoạn nạn, thì hãy chỗi dậy mà cứu! Hỡi Giu-đa, vì số các thần ngươi cũng bằng các thành ngươi!|你 為 自 己 作 的 神 在 那 裡 呢 ． 你 遭 遇 患 難 的 時 候 、 叫 他 們 起 來 拯 救 你 罷 。 猶 大 阿 、 你 神 的 數 目 、 與 你 城 的 數 目 相 等 。
Sao ngươi biện luận cùng ta? Các ngươi thảy đều đã phạm tội nghịch cùng ta, Đức Giê-hô-va phán vậy.|耶 和 華 說 、 你 們 為 何 與 我 爭 辯 呢 ． 你 們 都 違 背 了 我 。
Ta đã đánh con cái các ngươi là vô ích: chúng nó chẳng chịu sự dạy dỗ. Gươm các ngươi đã nuốt các kẻ tiên tri mình, như sư tử phá hại.|我 責 打 你 們 的 兒 女 、 是 徒 然 的 ． 他 們 不 受 懲 治 ． 你 們 自 己 的 刀 、 吞 滅 你 們 的 先 知 、 好 像 殘 害 的 獅 子 。
Hỡi dòng dõi nầy! Hãy rõ lời Đức Giê-hô-va phán: Ta há là một đồng vắng hay là một đất tối tăm mờ mịt cho dân Y-sơ-ra-ên sao? Làm sao dân ta có nói rằng: chúng tôi đã buông tuồng, không đến cùng Ngài nữa?|這 世 代 的 人 哪 、 你 們 要 看 明 耶 和 華 的 話 。 我 豈 向 以 色 列 作 曠 野 呢 ． 或 作 幽 暗 之 地 呢 ． 我 的 百 姓 為 何 說 、 我 們 脫 離 約 束 、 再 不 歸 向 你 了 。
Con gái đồng trinh há quên đồ trang sức mình, này dâu mới há quên áo đẹp của mình sao? Nhưng dân ta đã quên ta từ những ngày không tính ra được.|處 女 豈 能 忘 記 他 的 妝 飾 呢 、 新 婦 豈 能 忘 記 他 的 美 衣 呢 ． 我 的 百 姓 、 卻 忘 記 了 我 無 數 的 日 子 。
Sao ngươi cứ dọn đường mình để tìm tình ái! đến nỗi đã dạy cho những đờn bà xấu nết theo lối mình.|你 怎 麼 修 飾 你 的 道 路 、 要 求 愛 情 呢 ． 就 是 惡 劣 的 婦 人 、 你 也 叫 他 們 行 你 的 路 。
Nơi vạt áo ngươi cũng đã thấy máu của kẻ nghèo nàn vô tội, chẳng phải vì cớ nó đào ngạch, bèn là vì cớ mọi điều đó.|並 且 你 的 衣 襟 上 有 無 辜 窮 人 的 血 ． 你 殺 他 們 、 並 不 是 遇 見 他 們 挖 窟 窿 、 乃 是 因 這 一 切 的 事 。
Ngươi lại còn nói rằng: Tôi vô tội, thật cơn giận của Ngài lìa khỏi tôi! Nầy, vì ngươi nói rằng: Tôi không có tội, ừ, ta sẽ đoán xét ngươi.|你 還 說 、 我 無 辜 ． 耶 和 華 的 怒 氣 、 必 定 向 我 消 了 ． 看 哪 、 我 必 審 問 你 、 因 你 自 說 、 我 沒 有 犯 罪 。
Sao ngươi chạy mau để đổi đường ngươi? Xưa kia ngươi xấu hổ về A-si-ri, nay cũng sẽ xấu hổ về Ê-díp-tô.|你 為 何 東 跑 西 奔 、 要 更 換 你 的 路 呢 ． 你 必 因 埃 及 蒙 羞 、 像 從 前 因 亞 述 蒙 羞 一 樣 。
Ngươi sẽ chấp tay lên trên đầu, mà đi ra từ nơi đó. Vì Đức Giê-hô-va duồng bỏ những kẻ mà ngươi trông cậy, ngươi sẽ chẳng được thạnh vượng gì bởi chúng nó.|你 也 必 兩 手 抱 頭 、 從 埃 及 出 來 ． 因 為 耶 和 華 已 經 棄 絕 你 所 倚 靠 的 、 你 必 不 因 他 們 得 順 利 。

					Giê-rê-mi-a 3				|
						耶利米書 3					
Người ta nói rằng: Nếu người kia bỏ vợ mình, và nếu khi ly dị rồi vợ lấy chồng khác, thì người chồng trước có lẽ nào còn trở lại cùng đờn bà đó sao? Nếu vậy thì trong đất há chẳng bị ô uế lắm sao? Vả, ngươi đã hành dâm với nhiều người yêu, còn toan trở lại cùng ta sao? Đức Giê-hô-va phán vậy.|有 話 說 、 人 若 休 妻 、 妻 離 他 而 去 、 作 了 別 人 的 妻 、 前 夫 豈 能 再 收 回 他 來 ． 若 收 回 他 來 、 那 地 豈 不 是 大 大 玷 污 了 麼 ． 但 你 和 許 多 親 愛 的 行 邪 淫 、 還 可 以 歸 向 我 ． 這 是 耶 和 華 說 的 。
Hãy ngước mắt xem các gò hoang; có nơi nào mà ngươi chẳng hành dâm? Người đã ngồi bên đường để chờ đợi người yêu, như người A rạp trong đồng vắng; và ngươi đã đem sự đâm loạn bậy bạ mà làm dơ nhớp đất nầy.|你 向 淨 光 的 高 處 舉 目 觀 看 ． 你 在 何 處 沒 有 淫 行 呢 ． 你 坐 在 道 旁 等 候 、 好 像 亞 拉 伯 人 在 曠 野 埋 伏 一 樣 ． 並 且 你 的 淫 行 邪 惡 玷 污 了 全 地 。
Vậy nên mưa đã bị ngăn cấm, không được mưa cuối mùa. Dầu thế, ngươi cũng vênh trán lên như đờn bà dâm đãng; chẳng biết xấu hổ.|因 此 甘 霖 停 止 、 春 〔 原 文 作 晚 〕 雨 不 降 ． 你 還 是 有 娼 妓 之 臉 、 不 顧 羞 恥 。
Từ nay về sau ngươi há chẳng kêu đến ta rằng: Hỡi Cha tôi, Ngài là Đấng dẫn dắt tôi trong khi tôi trẻ, hay sao?|從 今 以 後 、 你 豈 不 向 我 呼 叫 說 、 我 父 阿 、 你 是 我 幼 年 的 恩 主 。
Ngài há sẽ cầm giận mãi mãi, và nuôi cơn thạnh nộ đến cuối cùng sao?... Nầy, ngươi dầu nói như vậy, mà cũng cứ phạm tội, theo lòng mình muốn.|耶 和 華 豈 永 遠 懷 怒 、 存 留 到 底 麼 ． 看 哪 、 你 又 發 惡 言 、 又 行 壞 事 、 隨 自 己 的 私 意 而 行 。 〔 或 作 你 雖 這 樣 說 還 是 行 惡 放 縱 慾 心 〕
Đương đời vua Giô-si -a, Đức Giê-hô-va phán cùng tôi rằng: Ngươi có thấy điều mà Y-sơ-ra-ên, là dân bội nghịch, đã làm chăng? Nó đã lên mỗi núi cao, đến dưới mỗi cây xanh, mà hành dâm tại đó.|約 西 亞 王 在 位 的 時 候 、 耶 和 華 又 對 我 說 、 背 道 的 以 色 列 所 行 的 、 你 看 見 沒 有 ． 他 上 各 高 山 、 在 各 青 翠 樹 下 行 淫 。
Ta từng nói rằng: Sau khi nó đã làm hết mọi sự ấy, sẽ trở về cùng ta. Nhưng nó không trở về. Em gái quỉ quyệt nó là Giu-đa đã thấy.|他 行 這 些 事 以 後 、 我 說 、 他 必 歸 向 我 ． 他 卻 不 歸 向 我 ． 他 奸 詐 的 妹 妹 猶 大 、 也 看 見 了 。
Dầu ta đã bỏ Y-sơ-ra-ên bội nghịch và đã cho nó tờ để, vì cớ nó ngoại tình, ta cũng còn thấy em gái quỉ quyệt nó, là Giu-đa, chẳng sợ sệt chi; nhưng nó cũng cứ đi hành dâm.|背 道 的 以 色 列 行 淫 ． 我 為 這 緣 故 給 他 休 書 休 他 ． 我 看 見 他 奸 詐 的 妹 妹 猶 大 、 還 不 懼 怕 、 也 去 行 淫 。
Vì nó khinh sự dâm loạn mình, thì làm ô uế đất nầy, hành dâm với đá và gỗ.|因 以 色 列 輕 忽 了 他 的 淫 亂 、 和 石 頭 木 頭 行 淫 、 地 就 被 玷 污 了 。
Dầu vậy, em gái quỉ quyệt nó, là Giu-đa, cũng chẳng trở về cùng ta cách hết lòng, chẳng qua là giả dối, Đức Giê-hô-va phán vậy.|雖 有 這 一 切 的 事 、 他 奸 詐 的 妹 妹 猶 大 、 還 不 一 心 歸 向 我 、 不 過 是 假 意 歸 我 ． 這 是 耶 和 華 說 的 。
Đức Giê-hô-va cũng có phán cùng tôi rằng: Y-sơ-ra-ên bội nghịch so với Giu-đa quỉ quyệt, còn tỏ ra công bình hơn.|耶 和 華 對 我 說 、 背 道 的 以 色 列 、 比 奸 詐 的 猶 大 還 顯 為 義
Hãy đi, xây về phía bắc, rao lên những lời nầy: Đức Giê-hô-va phán: Hỡi Y-sơ-ra-ên bội nghịch; hãy trở về! Ta sẽ không lấy nét mặt giận nhìn ngươi đâu, vì ta hay thương xót; ta chẳng ngậm giận đời đời, Đức Giê-hô-va phán vậy.|你 去 向 北 方 宣 告 說 、 耶 和 華 說 、 背 道 的 以 色 列 阿 、 回 來 罷 ． 我 必 不 怒 目 看 你 們 ． 因 為 我 是 慈 愛 的 、 我 必 不 永 遠 存 怒 ． 這 是 耶 和 華 說 的 。
Chỉn ngươi phải nhận lỗi mình: ngươi đã phạm tội nghịch cùng Giê-hô-va Đức Chúa Trời ngươi; ngươi đã chạy khắp mọi ngả nơi các thần khác ở dưới mỗi cây xanh, mà không vâng theo tiếng ta, Đức Giê-hô-va phán vậy.|只 要 承 認 你 的 罪 孽 、 就 是 你 違 背 耶 和 華 你 的 　 神 、 在 各 青 翠 樹 下 、 向 別 神 東 奔 西 跑 、 沒 有 聽 從 我 的 話 ． 這 是 耶 和 華 說 的 。
Đức Giê-hô-va phán: Hỡi con cái bội nghịch, hãy trở về; vì ta là chồng ngươi. Trong vòng các ngươi, ta sẽ lựa mỗi thành một người, mỗi họ hai người, mà đem đến Si-ôn.|耶 和 華 說 、 背 道 的 兒 女 阿 、 回 來 罷 ． 因 為 我 作 你 們 的 丈 夫 ． 並 且 我 必 將 你 們 從 一 城 取 一 人 、 從 一 族 取 兩 人 、 帶 到 錫 安 。
Ta sẽ ban các kẻ chăn giữ vừa lòng ta cho các ngươi, các kẻ ấy sẽ lấy sự sáng suốt khôn ngoan mà chăn nuôi các ngươi.|我 也 必 將 合 我 心 的 牧 者 、 賜 給 你 們 ． 他 們 必 以 知 識 和 智 慧 、 牧 養 你 們 。
Đức Giê-hô-va phán: Trong những ngày đó, khi các ngươi sanh sản thêm nhiều ra trong đất, thì người ta sẽ không nói đến hòm giao ước của Đức Giê-hô-va nữa! Người ta sẽ không còn tưởng đến, không còn nhớ đến, không còn tiếc đến, và không làm một cái khác.|耶 和 華 說 、 你 們 在 國 中 生 養 眾 多 、 當 那 些 日 子 、 人 必 不 再 題 說 、 耶 和 華 的 約 櫃 ． 不 追 想 、 不 記 念 、 不 覺 缺 少 、 也 不 再 製 造 。
Trong thời đó người ta sẽ gọi Giê-ru-sa-lem là ngôi của Đức Giê-hô-va, và hết thảy các nước đều nhóm về Giê-ru-sa-lem, về danh Đức Giê-hô-va; mà không bước theo sự cứng cỏi của lòng ác mình nữa.|那 時 、 人 必 稱 耶 路 撒 冷 為 耶 和 華 的 寶 座 ． 萬 國 必 到 耶 路 撒 冷 、 在 耶 和 華 立 名 的 地 方 聚 集 ． 他 們 必 不 再 隨 從 自 己 頑 梗 的 惡 心 行 事 。
Trong những ngày đó nhà Giu-đa sẽ đồng đi với nhà Y-sơ-ra-ên, hai đàng cùng nhau từ đất phương bắc trở về trong đất mà ta đã ban cho tổ phụ các ngươi làm sản nghiệp.|當 那 些 日 子 、 猶 大 家 要 和 以 色 列 家 同 行 、 從 北 方 之 地 、 一 同 來 到 我 賜 給 你 們 列 祖 為 業 之 地 。
