
					I Các Vua 1				|
Nhưng người chẳng mời Na-than, là đấng tiên tri, Bê-na-gia, các dõng sĩ, cùng Sa-lô-môn, em mình.|惟 獨 先 知 拿 單 、 和 比 拿 雅 、 並 勇 士 、 與 他 的 兄 弟 所 羅 門 、 他 都 沒 有 請 。
Bấy giờ, Na-than nói với Bát-Sê-ba, mẹ của Sa-lô-môn, mà rằng: Bà há chẳng hay rằng A-đô-ni-gia, con trai Ha-ghít, đã làm vua, mà Đa-vít, chúa ta, chẳng hay biết sao?|拿 單 對 所 羅 門 的 母 親 拔 示 巴 說 、 哈 及 的 兒 子 亞 多 尼 雅 作 王 了 、 你 沒 有 聽 見 麼 ． 我 們 的 主 大 衛 卻 不 知 道 。
Thế thì, bây giờ, hãy nghe; tôi sẽ cho bà một kế để bà cứu mạng sống mình và mạng sống của Sa-lô-môn.|現 在 我 可 以 給 你 出 個 主 意 、 好 保 全 你 和 你 兒 子 所 羅 門 的 性 命 。
Hãy đi ra mắt vua Đa-vít, và tâu rằng: Oi vua, chúa tôi! chúa há chẳng có thề cùng con đòi của chúa rằng: Con trai ngươi là Sa-lô-môn ắt sẽ trị vì?|你 進 去 見 大 衛 王 、 對 他 說 、 我 主 我 王 阿 、 你 不 曾 向 婢 女 起 誓 說 、 你 兒 子 所 羅 門 必 接 續 我 作 王 、 坐 在 我 的 位 上 麼 ． 現 在 亞 多 尼 雅 怎 麼 作 了 王 呢 。
Trong lúc bà tâu với vua như vậy, thì chính tôi cũng sẽ đi vào sau, làm cho quả quyết các lời của bà.|你 還 與 王 說 話 的 時 候 、 我 也 隨 後 進 去 、 證 實 你 的 話 。
Vậy, Bát-Sê-ba đi đến cùng vua, tại trong phòng. Vua đã già lắm có A-bi-sác, người Su-nem, hầu hạ người.|拔 示 巴 進 入 內 室 見 王 、 王 甚 老 邁 、 書 念 的 童 女 亞 比 煞 正 伺 候 王 。
Bát-Sê-ba cúi mình xuống và lạy trước mặt vua. Vua hỏi rằng: Ngươi muốn chi?|拔 示 巴 向 王 屈 身 下 拜 ． 王 說 、 你 要 甚 麼 。
Bà tâu rằng: Chúa tôi ôi! chúa đã nhơn danh Giê-hô-va Đức Chúa Trời chúa thề cùng con đòi của chúa rằng: Sa-lô-môn con trai ngươi sẽ trị vì kế ta, và nó sẽ ngồi trên ngôi ta.|他 說 、 我 主 阿 、 你 曾 向 婢 女 指 著 耶 和 華 你 的 　 神 起 誓 說 、 你 兒 子 所 羅 門 必 接 續 我 作 王 、 坐 在 我 的 位 上 。
Oi vua chúa tôi! nhưng bây giờ, A-đô-ni-gia làm vua, mà chúa chẳng biết chi đến.|現 在 亞 多 尼 雅 作 王 了 、 我 主 我 王 卻 不 知 道 。
Người lại có giết bò đực, bò tơ mập, và chiên rất nhiều, cũng có mời hết thảy các vương tử với A-bia-tha, thầy tế lễ, và Giô-áp, quan tổng binh; nhưng người không mời Sa-lô-môn, kẻ tôi tớ vua.|他 宰 了 許 多 牛 羊 、 肥 犢 、 請 了 王 的 眾 子 、 和 祭 司 亞 比 亞 他 、 並 元 帥 約 押 、 惟 獨 王 的 僕 人 所 羅 門 、 他 沒 有 請 。
Oi vua chúa tôi! cả Y-sơ-ra-ên đều xây mắt về vua, đợi vua cho họ biết ai là người kế vua phải ngồi trên ngai của vua, là chúa tôi.|我 主 我 王 阿 、 以 色 列 眾 人 的 眼 目 都 仰 望 你 、 等 你 曉 諭 他 們 、 在 我 主 我 王 之 後 、 誰 坐 你 的 位 。
Chẳng vậy, khi vua chúa tôi an giấc với các tổ phụ, thì tôi và con trai tôi là Sa-lô-môn sẽ bị xử như kẻ có tội.|若 不 然 、 到 我 主 我 王 與 列 祖 同 睡 以 後 、 我 和 我 兒 子 所 羅 門 、 必 算 為 罪 人 了 。
Bà đương còn tâu với vua, thì tiên tri Na-than đến.|拔 示 巴 還 與 王 說 話 的 時 候 、 先 知 拿 單 也 進 來 了 。
Người ta đến thưa cùng vua rằng: Nầy có tiên tri Na-than. Na-than ra mắt vua, sấp mình xuống trước mặt người mà lạy.|有 人 奏 告 王 說 、 先 知 拿 單 來 了 ． 拿 單 進 到 王 前 、 臉 伏 於 地 。
và nói rằng: Oi vua chúa tôi! có phải vua đã phán rằng: A-đô-ni-gia sẽ trị vì kế ta và ngồi trên ngai ta, chăng?|拿 單 說 、 我 主 我 王 果 然 應 許 亞 多 尼 雅 說 、 你 必 接 續 我 作 王 、 坐 在 我 的 位 上 麼 。
Thật vậy, ngày nay, người đã đi xuống giết bò, bò tơ mập, và chiên rất nhiều, cùng mời hết thảy các vương tử, quan tướng, và thầy tế lễ A-bia-tha; kìa, họ ăn uống tại trước mặt người, và la lên rằng: A-đô-ni-gia vạn tuế!|他 今 日 下 去 、 宰 了 許 多 牛 羊 、 肥 犢 、 請 了 王 的 眾 子 和 軍 長 、 並 祭 司 亞 比 亞 他 、 他 們 正 在 亞 多 尼 雅 面 前 喫 喝 、 說 、 願 亞 多 尼 雅 王 萬 歲 。
Còn tôi là kẻ tôi tớ vua, thầy tế lễ Xa-đốc, Bê-na-gia, con trai Giê-hô-gia-đa, và Sa-lô-môn, tôi tớ vua, thì người chẳng có mời.|惟 獨 我 、 就 是 你 的 僕 人 、 和 祭 司 撒 督 、 耶 何 耶 大 的 兒 子 比 拿 雅 、 並 王 的 僕 人 所 羅 門 、 他 都 沒 有 請 。
Việc này há phải bởi vua chúa tôi mà ra? Và lại vua không cho các tôi tớ vua biết ai là người kế vua, phải ngồi trên ngai của vua chúa tôi.|這 事 果 然 出 乎 我 主 我 王 麼 、 王 卻 沒 有 告 訴 僕 人 們 、 在 我 主 我 王 之 後 、 誰 坐 你 的 位 。
Vua Đa-vít đáp rằng: Hãy gọi Bát-Sê-ba cho ta. Bà vào và đứng trước mặt vua.|大 衛 王 吩 咐 說 、 叫 拔 示 巴 來 、 拔 示 巴 就 進 來 站 在 王 面 前 。
Đa-vít bèn thề mà rằng: Nguyện Đức Giê-hô-va hằng sống, là Đấng đã giải cứu mạng sống ta khỏi các hoạn nạn!|王 起 誓 說 、 我 指 著 救 我 性 命 脫 離 一 切 苦 難 、 永 生 的 耶 和 華 起 誓 、
Ta nhơn danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên mà thề cùng ngươi rằng: Quả hẳn Sa-lô-môn, con trai ngươi, sẽ trị vì kế ta, nó sẽ ngồi trên ngai thế cho ta; thì ngày nay ta sẽ làm hoàn thành điều đó.|我 既 然 指 著 耶 和 華 以 色 列 的 　 神 向 你 起 誓 、 說 、 你 兒 子 所 羅 門 必 接 續 我 作 王 、 坐 在 我 的 位 上 、 我 今 日 就 必 照 這 話 而 行 。
Bát-Sê-ba cúi mặt xuống đất và lạy trước mặt vua, mà tâu rằng: Nguyện vua Đa-vít, chúa tôi, vạn tuế!|於 是 拔 示 巴 臉 伏 於 地 、 向 王 下 拜 、 說 、 願 我 主 大 衛 王 萬 歲 。
Đoạn, vua Đa-vít nói: Hãy gọi cho ta thầy tế lễ Xa-đốc, tiên tri Na-than, và Bê-na-gia, con trai của Giê-hô-gia-đa. Mấy người ấy bèn ra mắt vua.|大 衛 王 又 吩 咐 說 、 將 祭 司 撒 督 、 先 知 拿 單 、 耶 何 耶 大 的 兒 子 比 拿 雅 召 來 、 他 們 就 都 來 到 王 面 前 。
Rồi vua nói với họ rằng: Hãy đem các đầy tớ của chủ các ngươi theo, đỡ Sa-lô-môn, con trai ta, lên cỡi con la của ta, rồi đưa nó đến Ghi-hôn.|王 對 他 們 說 、 要 帶 領 你 們 主 的 僕 人 、 使 我 兒 子 所 羅 門 騎 我 的 騾 子 、 送 他 下 到 基 訓 ．
Ở đó, thầy tế lễ Xa-đốc và tiên tri Na-than phải xức dầu cho người làm vua Y-sơ-ra-ên. Đoạn, các ngươi hãy thổi kèn lên mà họ rằng:|在 那 裡 祭 司 撒 督 、 和 先 知 拿 單 要 膏 他 作 以 色 列 的 王 ． 你 們 也 要 吹 角 、 說 、 願 所 羅 門 王 萬 歲 。
Vua Sa-lô-môn vạn tuế! Các ngươi sẽ theo sau người mà ta đã lập làm vua của Y-sơ-ra-ên và Giu-đa.|然 後 要 跟 隨 他 上 來 、 使 他 坐 在 我 的 位 上 、 接 續 我 作 王 ． 我 已 立 他 作 以 色 列 和 猶 大 的 君 。
Bê-na-gia, con trai Giê-hô-gia-đa tâu cùng vua rằng: A-men! Giê-hô-va Đức Chúa Trời của vua chúa tôi, cũng phán định như vậy.|耶 何 耶 大 的 兒 子 比 拿 雅 、 對 王 說 、 阿 們 ． 願 耶 和 華 我 主 我 王 的 　 神 、 也 這 樣 命 定 。
Đức Giê-hô-va đã ở cùng vua chúa tôi thể nào, nguyện Ngài cũng ở cùng Sa-lô-môn thể ấy, và khiến ngôi người còn cao trọng hơn ngôi của vua Đa-vít, là chúa tôi!|耶 和 華 怎 樣 與 我 主 我 王 同 在 、 願 他 照 樣 與 所 羅 門 同 在 、 使 他 的 國 位 、 比 我 主 大 衛 王 的 國 位 更 大 。
Đoạn, thầy tế lễ Xa-đốc, tiên tri Na-than, Bê-na-gia, con trai Giê-hô-gia-đa, những người Kê-rê-thít và Phê-lê-thít, đều đi xuống, đỡ Sa-lô-môn lên cỡi con la của vua Đa-vít rồi đưa người đến Ghi-hôn.|於 是 祭 司 撒 督 、 先 知 拿 單 、 耶 何 耶 大 的 兒 子 比 拿 雅 、 和 基 利 提 人 、 比 利 提 人 、 都 下 去 使 所 羅 門 騎 大 衛 王 的 騾 子 、 將 他 送 到 基 訓 。
Thầy tế lễ Xa-đốc lấy cái sừng dầu trong Đền tạm, và xức cho Sa-lô-môn. Người ta thổi kèn, cả dân sự đều hô lên rằng: Vua Sa-lô-môn vạn tuế!|祭 司 撒 督 、 就 從 帳 幕 中 取 了 盛 膏 油 的 角 來 、 用 膏 膏 所 羅 門 ． 人 就 吹 角 、 眾 民 都 說 、 願 所 羅 門 王 萬 歲 。
Chúng đều theo người đi lên, thổi sáo, và vui mừng khôn xiết, đến nỗi đất rúng động bởi tiếng la của họ.|眾 民 跟 隨 他 上 來 、 且 吹 笛 、 大 大 歡 呼 、 聲 音 震 地 。
A-đô-ni-gia và hết thảy kẻ dự tiệc với mình đều nghe tiếng này khi vừa ăn xong. Lúc Giô-áp nghe tiếng kèn, thì nói: Sao trong thành có tiếng xôn xao ấy?|亞 多 尼 雅 和 所 請 的 眾 客 筵 宴 方 畢 、 聽 見 這 聲 音 ． 約 押 聽 見 角 聲 就 說 、 城 中 為 何 有 這 響 聲 呢 。
Người hãy còn nói, kìa Giô-na-than, con trai thầy tế lễ A-bia-tha, chợt đến. A-đô-ni-gia nói với người rằng: Hãy vào, vì ngươi là một tay dõng sĩ, chắc ngươi đem những tin lành.|他 正 說 話 的 時 候 、 祭 司 亞 比 亞 他 的 兒 子 約 拿 單 來 了 、 亞 多 尼 雅 對 他 說 、 進 來 罷 、 你 是 個 忠 義 的 人 、 必 是 報 好 信 息 。
Nhưng Giô-na-than đáp với A-đô-ni-gia rằng: Thật trái hẳn. Vua Đa-vít, chúa chúng ta, đã lập Sa-lô-môn làm vua.|約 拿 單 對 亞 多 尼 雅 說 、 我 們 的 主 大 衛 王 、 誠 然 立 所 羅 門 為 王 了 。
Vua có sai thầy tế lễ Xa-đốc, tiên tri Na-than, Bê-na-gia, con trai Giê-hô-gia-đa, người Kê-rê-thít cùng người Phê-lê-nít đi theo người, và họ đã đỡ người lên cỡi con la của vua.|王 差 遣 祭 司 撒 督 、 先 知 拿 單 、 耶 何 耶 大 的 兒 子 比 拿 雅 、 和 基 利 提 人 、 比 利 提 人 、 都 去 使 所 羅 門 騎 王 的 騾 子 。
Đoạn, tại Ghi-hôn, thầy tế lễ Xa-đốc và tiên tri Na-than đã xức dầu cho người làm vua; họ đã từ đó trở lên cách reo mừng, và cả thành đều vang động. Đó là tiếng xôn xao mà các ông đã nghe.|祭 司 撒 督 和 先 知 拿 單 、 在 基 訓 已 經 膏 他 作 王 ． 眾 人 都 從 那 裡 歡 呼 著 上 來 、 聲 音 使 城 震 動 、 這 就 是 你 們 所 聽 見 的 聲 音 。
Lại, Sa-lô-môn đã ngồi trên ngôi nước;|並 且 所 羅 門 登 了 國 位 。
các tôi tớ của vua đến chúc phước cho vua Đa-vít, chúa chúng ta, mà tâu rằng: Nguyện Đức Chúa Trời của vua làm cho danh Sa-lô-môn tôn vinh hơn danh của vua, và khiến cho ngôi người cao trọng hơn ngôi của vua! Rồi cúi lạy nơi giường mình;|王 的 臣 僕 也 來 為 我 們 的 主 大 衛 王 祝 福 、 說 、 願 王 的 　 神 使 所 羅 門 的 名 、 比 王 的 名 更 尊 榮 、 使 他 的 國 位 、 比 王 的 國 位 更 大 ． 王 就 在 床 上 屈 身 下 拜 。
và có nói như vầy: Đáng khen ngợi thay Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì ngày nay Ngài có ban một người để ngồi trên ngôi của tôi mà mắt tôi xem thấy.|王 又 說 、 耶 和 華 以 色 列 的 　 神 是 應 當 稱 頌 的 、 因 他 賜 我 一 人 今 日 坐 在 我 的 位 上 、 我 也 親 眼 看 見 了 。
Bấy giờ, hết thảy các người dự tiệc với A-đô-ni-gia đều bắt sợ hãi, đứng dậy, ai đi đường nấy.|亞 多 尼 雅 的 眾 客 聽 見 這 話 、 就 都 驚 懼 、 起 來 四 散 。
A-đô-ni-gia cũng sợ Sa-lô-môn hay điều đó, rằng: Nầy, A-đô-ni-gia sợ vua Sa-lô-môn; kìa người đã nắm các sừng bàn thờ.|亞 多 尼 雅 懼 怕 所 羅 門 、 就 起 來 、 去 抓 住 祭 壇 的 角 。
Có người đến thuật cho Sa-lô-môn hay điều đó, rằng: Nầy, A-đô-ni-gia sợ vua Sa-lô-môn; kìa người đã nắm các sừng bàn thờ, mà nói rằng: Hôm nay, vua Sa-lô-môn hãy thề với tôi rằng vua sẽ không giết đầy tớ người bằng gươm.|有 人 告 訴 所 羅 門 說 、 亞 多 尼 雅 懼 怕 所 羅 門 王 、 現 在 抓 住 祭 壇 的 角 、 說 、 願 所 羅 門 王 今 日 向 我 起 誓 、 必 不 用 刀 殺 僕 人 。
Sa-lô-môn đáp rằng: Nếu người ăn ở ra người tử tế, thì chẳng một sợi tóc nào của người sẽ rụng xuống đất; bằng có thấy sự ác nơi người, ắt người sẽ chết.|所 羅 門 說 、 他 若 作 忠 義 的 人 、 連 一 根 頭 髮 也 不 至 落 在 地 上 ． 他 若 行 惡 、 必 要 死 亡 。
Vua Sa-lô-môn sai kẻ đem người xuống khỏi bàn thờ. A-đô-ni-gia đến sấp mình xuống trước mặt Sa-lô-môn; Sa-lô-môn bèn nói với người rằng: Hãy trở về nhà ngươi.|於 是 所 羅 門 王 差 遣 人 、 使 亞 多 尼 雅 從 壇 上 下 來 、 他 就 來 向 所 羅 門 王 下 拜 、 所 羅 門 對 他 說 、 你 回 家 去 罷 。

					I Các Vua 2				|
						列王紀上 2					
Khi ngày của Đa-vít hầu trọn, người truyền lịnh cho Sa-lô-môn, con trai mình, mà rằng:|大 衛 的 死 期 臨 近 了 、 就 囑 咐 他 兒 子 所 羅 門 說 、
Ta hầu đi con đường chung của thế gian, khá mạnh dạn và nên người trượng phu!|我 現 在 要 走 世 人 必 走 的 路 、 所 以 你 當 剛 強 作 大 丈 夫 、
Hãy giữ điều Giê-hô-va Đức Chúa Trời muốn con giữ, để đi trong đường lối Ngài, gìn giữ những luật pháp, điều răn, mạng lịnh, và sự dạy dỗ của Ngài, y như đã chép trong luật pháp của Môi-se, hầu cho con làm điều chi hay là đi nơi nào cũng đều được thành công,|遵 守 耶 和 華 你 　 神 所 吩 咐 的 、 照 著 摩 西 律 法 上 所 寫 的 行 主 的 道 、 謹 守 他 的 律 例 、 誡 命 、 典 章 、 法 度 、 這 樣 、 你 無 論 作 甚 麼 事 、 不 拘 往 何 處 去 、 盡 都 亨 通 。
và Đức Giê-hô-va sẽ làm ứng nghiệm lời Ngài đã phán về ta, rằng: Nhược bằng các con trai ngươi cẩn thận về đường lối mình, hết lòng, hết ý theo lẽ thật mà đi ở trước mặt ta, thì ngươi sẽ chẳng hề thiếu người ngồi trên ngôi Y-sơ-ra-ên.|耶 和 華 必 成 就 向 我 所 應 許 的 話 說 、 你 的 子 孫 若 謹 慎 自 己 的 行 為 、 盡 心 盡 意 誠 誠 實 實 的 行 在 我 面 前 、 就 不 斷 人 坐 以 色 列 的 國 位 。
Con biết sự Giô-áp, con trai Xê-ru-gia, đã làm cho cha, sự nó đã làm cho hai quan tướng của Y-sơ-ra-ên, là Ap-ne, con trai của Nê-rơ, và A-ma-sa, con trai của Giê-the, là hai người nó đã giết, làm đổ huyết ra trong lúc hòa bình như trong cơn chiến trận, và khiến cho huyết đổ ra trong chiến trận dính vào đai nó thắt lưng, cùng vào giày nó mang nơi chơn.|你 知 道 洗 魯 雅 的 兒 子 約 押 向 我 所 行 的 、 就 是 殺 了 以 色 列 的 兩 個 元 帥 、 尼 珥 的 兒 子 、 押 尼 珥 、 和 益 帖 的 兒 子 亞 瑪 撒 、 他 在 太 平 之 時 流 這 二 人 的 血 、 如 在 爭 戰 之 時 一 樣 、 將 這 血 染 了 腰 間 束 的 帶 、 和 腳 上 穿 的 鞋 。
Con hãy cứ sự khôn ngoan con mà cư xử, chớ để đầu bạc nó xuống âm phủ cách bình yên.|所 以 你 要 照 你 的 智 慧 行 、 不 容 他 白 頭 安 然 下 陰 間 。
Con hãy ở với các con trai Bát-xi-lai, người Ga-la-át, cách nhơn từ cho họ ăn đồng bàn cùng con; vì chính chúng nó đã đãi cha như vậy, mà đến đón rước cha, lúc cha chạy trốn trước mặt Ap-sa-lôm, anh con.|你 當 恩 待 基 列 人 巴 西 萊 的 眾 子 、 使 他 們 常 與 你 同 席 喫 飯 、 因 為 我 躲 避 你 哥 哥 押 沙 龍 的 時 候 、 他 們 拿 食 物 來 迎 接 我 。
Nầy còn kẻ ở với con, là Si-mê -i, con trai Ghê-ra, người Bên-gia-min, ở A-hu-rim, là kẻ lấy những lời độc ác mà nguyền rủa cha trong ngày cha đi đến Ma-ha-na-im; nhưng nó xuống đón cha tại Giô-đanh, thì cha đã nhơn danh Đức Giê-hô-va mà thề với nó rằng: Ta sẽ chẳng giết ngươi bằng gươm.|在 你 這 裡 有 巴 戶 琳 的 便 雅 憫 人 、 基 拉 的 兒 子 示 每 ． 我 往 瑪 哈 念 去 的 那 日 、 他 用 狠 毒 的 言 語 咒 罵 我 、 後 來 卻 下 約 但 河 迎 接 我 、 我 就 指 著 耶 和 華 向 他 起 誓 、 說 、 我 必 不 用 刀 殺 你 。
Bây giờ, con chớ để nó khỏi phạt, vì con là khôn ngoan, biết thế nào phải xử nó: con khá làm cho đầu bạc nó dính máu mà xuống âm phủ.|現 在 你 不 要 以 他 為 無 罪 、 你 是 聰 明 人 、 必 知 道 怎 樣 待 他 、 使 他 白 頭 見 殺 、 流 血 下 到 陰 間 。
Đa-vít an giấc với các tổ phụ mình, và được chôn trong thành Đa-vít.|大 衛 與 他 列 祖 同 睡 、 葬 在 大 衛 城 。
Những ngày Đa-vít trị vì trên Y-sơ-ra-ên là bốn mươi năm: người trị vì bảy năm tại Hếp-rôn, và ba mươi ba năm tại Giê-ru-sa-lem.|大 衛 作 以 色 列 王 四 十 年 ． 在 希 伯 崙 作 王 七 年 、 在 耶 路 撒 冷 作 王 三 十 三 年 。
Đoạn, Sa-lô-môn ngồi trên ngai Đa-vít, cha mình, và nước người được lập rất vững bền.|所 羅 門 坐 他 父 親 大 衛 的 位 、 他 的 國 甚 是 堅 固 。
A-đô-ni-gia, con trai Ha-ghít, đến cùng Bát-sê-ba, mẹ của Sa-lô-môn. Bà nói: Ngươi đến có ý bình an chớ? Người thưa rằng: Phải, có ý bình an.|哈 及 的 兒 子 亞 多 尼 雅 、 去 見 所 羅 門 的 母 親 拔 示 巴 、 拔 示 巴 問 他 說 、 你 來 是 為 平 安 麼 ． 回 答 說 、 是 為 平 安 。
Người lại rằng: Tôi có một lời nói cùng bà. Bà đáp: Hãy nói.|又 說 、 我 有 話 對 你 說 、 拔 示 巴 說 、 你 說 罷 。
Người tiếp: Bà biết rằng nước vốn thuộc về tôi, và cả Y-sơ-ra-ên đều mong thấy tôi trị vì; nhưng ngôi nước đã trở nên của em tôi, vì do nơi Đức Giê-hô-va mà thuộc về người.|亞 多 尼 雅 說 、 你 知 道 國 原 是 歸 我 的 ． 以 色 列 眾 人 也 都 仰 望 我 作 王 ． 不 料 國 反 歸 了 我 兄 弟 、 因 他 得 國 是 出 乎 耶 和 華 。
Vậy bây giờ, tôi có một sự xin với bà, chớ từ chối. Bà đáp: Hãy nói.|現 在 我 有 一 件 事 求 你 、 望 你 不 要 推 辭 ． 拔 示 巴 說 、 你 說 罷 。
Người nói: Xin bà hãy nói với vua Sa-lô-môn , và cầu người cho tôi lấy A-bi-sác, người Su-nem, làm vợ.|他 說 、 求 你 請 所 羅 門 王 、 將 書 念 的 女 子 亞 比 煞 賜 我 為 妻 、 因 他 必 不 推 辭 你 。
Bát-Sê-ba đáp: Được, ta sẽ nói với vua giùm cho ngươi.|拔 示 巴 說 、 好 、 我 必 為 你 對 王 題 說 。
Bát-Sê-ba đi đến vua Sa-lô-môn, để nói với người giùm cho A-đô-ni-gia. Vua đứng dậy đi đón bà, cúi xuống lạy bà; đoạn, người ngồi trên ngai mình, và sai đặt một ngai khác cho mẹ mình; bà bèn ngồi bên tay hữu vua.|於 是 拔 示 巴 去 見 所 羅 門 王 、 要 為 亞 多 尼 雅 題 說 、 王 起 來 迎 接 、 向 他 下 拜 、 就 坐 在 位 上 、 吩 咐 人 為 王 母 設 一 座 位 ． 他 便 坐 在 王 的 右 邊 。
Bà nói với vua rằng: Mẹ có một việc nhỏ xin con, con chớ từ chối. Vua đáp: Mẹ ôi! xin hãy nói; vì tôi sẽ chẳng từ chối với mẹ đâu.|拔 示 巴 說 、 我 有 一 件 小 事 求 你 、 望 你 不 要 推 辭 ． 王 說 、 請 母 親 說 、 我 必 不 推 辭 。
Bà tiếp: Hãy ban A-bi-sác, người Su-nem, làm vợ A-đô-ni-gia, là anh con.|拔 示 巴 說 、 求 你 將 書 念 的 女 子 亞 比 煞 賜 給 你 哥 哥 亞 多 尼 雅 為 妻 。
Nhưng vua Sa-lô-môn thưa cùng mẹ mình rằng: Cớ sao mẹ xin A-bi-sác, người Su-nem, cho A-đô-ni-gia? Cũng hãy xin nước cho người luôn, vì người là anh cả tôi; hãy xin cho người, cho thầy tế lễ A-bia-tha, và cho Giô-áp, con trai Xê-ru-gia.|所 羅 門 王 對 他 母 親 說 、 為 何 單 替 他 求 書 念 的 女 子 亞 比 煞 呢 、 也 可 以 為 他 求 國 罷 ． 他 是 我 的 哥 哥 、 他 有 祭 司 亞 比 亞 他 、 和 洗 魯 雅 的 兒 子 約 押 為 輔 佐 。
Vua Sa-lô-môn bèn chỉ Đức Giê-hô-va mà thề rằng: A-đô-ni-gia có nói lời đó nghịch với mạng sống mình; bằng chẳng, nguyện Đức Chúa Trời xử tôi cách nặng nề!|所 羅 門 王 就 指 著 耶 和 華 起 誓 、 說 、 亞 多 尼 雅 這 話 是 自 己 送 命 、 不 然 、 願 　 神 重 重 的 降 罰 與 我 。
Bây giờ, tôi chỉ Đức Giê-hô-va hằng sống, là Đấng đã làm cho tôi vững vàng, và khiến tôi ngồi trên ngai của Đa-vít, cha tôi, cùng lập một nhà cho tôi y như lời Ngài đã hứa, mà thề rằng: A-đô-ni-gia sẽ bị xử tử chính ngày hôm nay.|耶 和 華 堅 立 我 、 使 我 坐 在 父 親 大 衛 的 位 上 、 照 著 所 應 許 的 話 為 我 建 立 家 室 、 現 在 我 指 著 永 生 的 耶 和 華 起 誓 、 亞 多 尼 雅 今 日 必 被 治 死 。
Vua Sa-lô-môn bèn truyền lịnh cho Bê-na-gia, con trai Giê-hô-gia-đa, xông đánh A-đô-ni-gia, thì người chết.|於 是 所 羅 門 王 差 遣 耶 何 耶 大 的 兒 子 比 拿 雅 、 將 亞 多 尼 雅 殺 死 。
